,open,high,low,close,volume
2019-10-25,29.4,30.89,29.3,30.86,13260235.0
2019-10-24,29.27,29.85,28.49,29.41,17890900.0
2019-10-23,28.25,28.4,27.88,28.29,8396900.0
2019-10-22,28.5,28.69,27.82,28.26,8022000.0
2019-10-21,28.51,28.91,28.43,28.62,6746400.0
2019-10-18,27.8,28.32,27.71,28.22,5689100.0
2019-10-17,28.31,28.44,27.85,27.93,6709600.0
2019-10-16,28.33,28.81,28.03,28.05,6353300.0
2019-10-15,27.63,28.37,27.28,28.27,7019200.0
2019-10-14,27.37,27.66,27.14,27.62,3167100.0
2019-10-11,27.63,28.02,27.34,27.36,7492400.0
2019-10-10,26.68,27.25,26.5,27.18,7057600.0
2019-10-09,26.78,27.33,26.69,27.07,8095500.0
2019-10-08,25.56,26.8,25.45,26.26,9028100.0
2019-10-07,25.8,26.06,25.52,25.83,5725400.0
2019-10-04,25.33,25.85,25.07,25.83,6446100.0
2019-10-03,25.47,25.51,24.51,25.27,8586400.0
2019-10-02,26.5,26.51,25.02,25.37,14178200.0
2019-10-01,27.08,27.66,26.59,26.8,6547000.0
2019-09-30,27.35,27.41,26.82,26.97,5109800.0
2019-09-27,27.01,27.81,26.91,27.01,5155100.0
2019-09-26,27.57,27.6,26.91,27.19,4831300.0
2019-09-25,27.13,27.83,27.02,27.44,6369400.0
2019-09-24,27.62,27.7,26.77,27.0,5558300.0
2019-09-23,27.71,27.88,27.36,27.5,5324400.0
2019-09-20,28.2,28.44,27.96,27.99,6885400.0
2019-09-19,28.63,28.74,28.16,28.3,5102700.0
2019-09-18,28.55,28.66,28.07,28.6,6129400.0
2019-09-17,28.02,29.25,27.92,28.64,12683400.0
2019-09-16,28.56,28.79,27.7,27.77,15507800.0
2019-09-13,30.2,30.34,29.87,29.95,7131900.0
2019-09-12,29.67,30.22,29.64,29.94,5808800.0
2019-09-11,29.16,29.93,28.73,29.76,10842600.0
2019-09-10,28.28,29.18,28.21,29.12,6377300.0
2019-09-09,27.79,28.75,27.71,28.44,8561600.0
2019-09-06,28.16,28.23,27.73,27.79,5791900.0
2019-09-05,27.45,28.11,27.44,27.69,6254600.0
2019-09-04,26.66,27.22,26.52,27.0,5653300.0
2019-09-03,26.16,26.66,25.95,26.51,6730000.0
2019-08-30,26.4,26.83,26.16,26.31,5076200.0
2019-08-29,25.79,26.61,25.7,26.32,7205600.0
2019-08-28,24.41,25.51,24.23,25.33,9079100.0
2019-08-27,25.27,25.34,24.32,24.45,7503700.0
2019-08-26,25.9,25.91,25.03,25.19,6722600.0
2019-08-23,26.27,26.51,25.35,25.42,8900100.0
2019-08-22,26.46,26.98,26.34,26.53,5957900.0
2019-08-21,26.06,26.6,26.01,26.42,6227500.0
2019-08-20,26.08,26.08,25.56,25.83,7658800.0
2019-08-19,26.2,26.69,26.08,26.1,9034800.0
2019-08-16,25.62,26.05,25.39,25.79,8826800.0
2019-08-15,26.2,26.31,25.14,25.41,10057900.0
2019-08-14,27.05,27.07,26.09,26.1,10104400.0
2019-08-13,27.62,28.37,27.327,27.51,12950000.0
2019-08-12,28.5,28.51,27.52,27.64,8015000.0
2019-08-09,28.85,29.065,28.555,28.78,4031300.0
2019-08-08,28.81,29.39,28.76,29.08,5028200.0
2019-08-07,28.0,28.76,27.82,28.63,6771500.0
2019-08-06,28.85,29.06,28.02,28.36,6010100.0
2019-08-05,28.97,28.97,28.0,28.53,8948900.0
2019-08-02,29.7,29.81,29.07,29.45,6475900.0
2019-08-01,30.43,30.57,29.43,29.84,8013000.0
2019-07-31,30.68,31.14,30.27,30.51,6269400.0
2019-07-30,30.45,30.81,30.21,30.71,5290200.0
2019-07-29,30.97,31.19,30.54,30.74,6963900.0
2019-07-26,32.0,32.25,31.16,31.24,7875200.0
2019-07-25,34.55,34.82,31.58,31.67,13152300.0
2019-07-24,33.62,34.99,33.62,34.59,7315300.0
2019-07-23,33.02,33.79,32.57,33.73,4524100.0
2019-07-22,33.2193,33.42,32.85,32.9,4005600.0
2019-07-19,33.82,34.02,33.06,33.08,4249000.0
2019-07-18,33.41,33.82,33.11,33.74,3049300.0
2019-07-17,34.34,34.42,33.11,33.26,5881900.0
2019-07-16,33.6997,34.67,33.7,34.22,6353600.0
2019-07-15,33.67,33.95,33.42,33.61,3483600.0
2019-07-12,33.12,33.9,33.0,33.78,5012200.0
2019-07-11,33.06,33.3,32.82,33.03,6842900.0
2019-07-10,32.93,33.69,32.59,32.94,8869700.0
2019-07-09,32.4,32.75,31.93,32.36,5450600.0
2019-07-08,31.99,32.92,31.98,32.79,5328800.0
2019-07-05,32.54,32.826,31.95,32.46,2583900.0
2019-07-03,32.4,32.85,32.35,32.72,2747700.0
2019-07-02,33.09,33.209,32.03,32.19,4765100.0
2019-07-01,33.14,33.663,32.527,32.88,8985600.0
2019-06-28,32.23,32.73,32.16,32.61,5238500.0
2019-06-27,31.56,32.551,31.42,32.15,4274500.0
2019-06-26,31.48,31.715,31.0634,31.46,4089700.0
2019-06-25,31.83,32.11,31.2385,31.26,6523600.0
2019-06-24,31.57,31.89,31.31,31.82,8425700.0
2019-06-21,32.03,32.3886,31.51,31.57,7481800.0
2019-06-20,33.66,33.81,31.9,32.15,8969200.0
2019-06-19,32.72,33.3,32.509,33.21,5535500.0
2019-06-18,32.78,33.3,32.42,32.52,3789300.0
2019-06-17,32.1,32.915,32.1,32.56,3420700.0
2019-06-14,32.97,33.2,32.22,32.68,6128000.0
2019-06-13,31.6881,33.32,31.41,33.09,10856500.0
2019-06-12,30.56,31.13,30.45,31.1,5185700.0
2019-06-11,31.1015,31.29,30.51,30.58,3461800.0
2019-06-10,31.15,31.72,30.715,30.76,5449400.0
2019-06-07,30.59,31.15,30.43,30.92,4843600.0
2019-06-06,30.4,30.51,29.88,30.38,5507600.0
