,open,high,low,close,volume
2019-10-25,81.45,81.965,81.08,81.65,4801832.0
2019-10-24,81.59,82.09,81.21,81.36,4470900.0
2019-10-23,80.69,81.6,80.41,81.27,4308300.0
2019-10-22,81.81,82.28,80.5,80.54,4764000.0
2019-10-21,83.14,83.28,81.52,81.65,5487900.0
2019-10-18,82.41,83.32,82.03,82.79,5219800.0
2019-10-17,81.52,83.0,81.47,82.38,4172800.0
2019-10-16,81.36,83.69,79.65,81.78,10707400.0
2019-10-15,80.7,82.75,80.7,81.98,6429100.0
2019-10-14,79.69,80.19,79.42,79.82,4228500.0
2019-10-11,80.73,81.33,79.55,79.63,4423000.0
2019-10-10,79.09,80.46,79.07,80.14,5085000.0
2019-10-09,79.31,79.81,78.88,79.5,4008500.0
2019-10-08,80.56,80.56,78.51,78.51,5924200.0
2019-10-07,81.4,81.98,80.97,81.04,2673200.0
2019-10-04,81.3,82.32,81.29,81.99,3390100.0
2019-10-03,79.25,81.13,78.77,81.07,3956000.0
2019-10-02,81.4,81.55,78.77,79.53,5547100.0
2019-10-01,84.03,84.77,81.77,81.84,4436700.0
2019-09-30,82.19,84.39,82.19,83.67,4340900.0
2019-09-27,83.04,83.34,81.42,81.84,3396600.0
2019-09-26,83.28,83.38,82.09,82.66,3265200.0
2019-09-25,82.4,83.05,82.1,82.86,2795100.0
2019-09-24,83.66,84.03,82.22,82.44,3525400.0
2019-09-23,83.43,83.72,83.13,83.16,2279900.0
2019-09-20,83.51,83.88,82.87,83.58,7130100.0
2019-09-19,83.83,84.25,83.1,83.23,3392900.0
2019-09-18,83.58,84.16,82.85,83.64,2767500.0
2019-09-17,83.4,84.5,83.21,83.58,3578300.0
2019-09-16,83.91,83.91,83.03,83.36,3991200.0
2019-09-13,85.3,85.36,83.89,84.27,3633200.0
2019-09-12,85.03,85.99,84.91,85.21,3517500.0
2019-09-11,82.45,84.56,82.25,84.52,4458900.0
2019-09-10,83.44,83.48,81.02,83.21,5613100.0
2019-09-09,86.34,86.43,83.87,84.22,4444600.0
2019-09-06,86.23,86.43,85.6,86.04,4451300.0
2019-09-05,85.0,86.16,84.56,85.9,4356400.0
2019-09-04,84.5,84.7,83.78,84.22,3673100.0
2019-09-03,84.43,84.64,83.26,84.06,4060600.0
2019-08-30,85.47,85.62,84.63,85.32,3627900.0
2019-08-29,85.0,85.11,84.47,84.82,3758600.0
2019-08-28,83.2,84.26,83.06,84.22,3889500.0
2019-08-27,83.82,84.2,83.22,83.65,4845200.0
2019-08-26,82.61,83.18,82.02,83.12,3521200.0
2019-08-23,83.84,84.25,81.36,81.93,6228400.0
2019-08-22,84.92,85.31,83.64,84.37,3207000.0
2019-08-21,85.05,85.15,84.29,84.9,3894300.0
2019-08-20,85.95,86.01,84.48,84.54,3322400.0
2019-08-19,85.79,86.13,85.33,85.56,4579800.0
2019-08-16,84.74,85.08,83.5162,84.78,5786300.0
2019-08-15,84.16,84.73,83.52,83.94,4952600.0
2019-08-14,85.88,86.31,83.91,83.94,4106200.0
2019-08-13,85.32,87.1,84.981,86.89,4808300.0
2019-08-12,86.39,86.51,84.33,84.66,3650800.0
2019-08-09,85.63,87.05,85.43,86.62,5102700.0
2019-08-08,85.11,86.27,85.01,85.56,6439300.0
2019-08-07,83.7962,85.0,82.31,84.6,5502600.0
2019-08-06,83.81,84.8928,83.68,84.86,4422500.0
2019-08-05,84.73,84.88,82.42,83.16,6253800.0
2019-08-02,85.95,86.1962,84.74,85.82,4756400.0
2019-08-01,87.18,88.06,85.64,86.08,7022000.0
2019-07-31,88.18,88.4,86.37,87.1,6197200.0
2019-07-30,88.18,88.73,87.85,88.31,2864700.0
2019-07-29,88.06,88.62,87.38,88.55,3623900.0
2019-07-26,88.35,88.62,87.3,87.75,4177700.0
2019-07-25,88.27,88.47,87.74,88.0,4671200.0
2019-07-24,88.45,88.69,87.59,88.59,3879100.0
2019-07-23,88.1,88.76,87.53,88.74,4049100.0
2019-07-22,87.36,88.71,87.27,88.07,6566100.0
2019-07-19,88.29,88.3348,87.45,87.49,5824000.0
2019-07-18,86.24,87.84,85.32,87.76,8311600.0
2019-07-17,85.89,86.75,85.43,85.76,9381400.0
2019-07-16,84.11,84.24,82.9,83.16,3886700.0
2019-07-15,83.81,84.24,83.41,83.81,5177700.0
2019-07-12,85.28,85.44,83.06,83.92,5667200.0
2019-07-11,85.65,85.99,85.19,85.77,3653600.0
2019-07-10,85.68,85.88,85.15,85.38,4315900.0
2019-07-09,84.96,85.3687,84.82,85.27,3126000.0
2019-07-08,85.28,85.28,84.69,85.09,3591100.0
2019-07-05,85.16,85.5,84.64,85.42,3784700.0
2019-07-03,85.05,85.65,84.92,85.64,2437500.0
2019-07-02,84.7452,84.96,84.15,84.95,4023300.0
2019-07-01,84.74,84.9764,83.75,84.49,4527600.0
2019-06-28,83.8149,84.26,83.12,84.1,16436700.0
2019-06-27,83.39,83.975,83.07,83.69,4111600.0
2019-06-26,84.05,84.368,82.63,82.96,5731400.0
2019-06-25,84.94,85.45,84.2335,84.24,4915300.0
2019-06-24,84.78,85.33,84.64,84.71,4531600.0
2019-06-21,85.3566,85.36,84.405,85.0,8855400.0
2019-06-20,84.84,85.32,84.319,84.94,6436400.0
2019-06-19,83.4,84.495,83.05,84.33,4113400.0
2019-06-18,82.45,83.5914,81.923,83.42,6253000.0
