,open,high,low,close,volume
2019-10-25,105.55,107.02,105.55,106.83,1641691.0
2019-10-24,106.37,106.68,104.92,105.32,3038400.0
2019-10-23,107.5,107.75,104.58,105.57,4584000.0
2019-10-22,111.25,112.24,110.73,110.88,1641100.0
2019-10-21,110.19,111.48,109.99,111.11,1327300.0
2019-10-18,110.17,110.43,108.42,109.48,1444800.0
2019-10-17,111.77,112.26,109.63,110.0,1494100.0
2019-10-16,112.71,113.25,110.39,110.59,1928100.0
2019-10-15,110.75,113.41,110.5,113.29,2615400.0
2019-10-14,110.57,111.0,109.99,110.34,1755600.0
2019-10-11,109.73,112.72,109.73,111.22,2613900.0
2019-10-10,107.8,109.77,107.52,108.44,1883200.0
2019-10-09,107.77,108.87,106.78,108.07,1869200.0
2019-10-08,109.99,110.36,106.09,106.13,3196500.0
2019-10-07,112.92,113.29,110.78,110.84,1658300.0
2019-10-04,111.85,113.22,111.19,113.03,1437500.0
2019-10-03,108.87,111.3,108.0,110.87,1816100.0
2019-10-02,109.13,109.81,108.11,108.97,1545800.0
2019-10-01,114.81,116.19,109.56,109.78,2901800.0
2019-09-30,112.15,112.24,110.54,111.73,2276600.0
2019-09-27,112.96,113.86,110.37,111.04,1517800.0
2019-09-26,112.85,113.44,111.67,113.14,1020500.0
2019-09-25,111.14,113.06,109.76,112.68,2349700.0
2019-09-24,115.04,115.06,110.61,110.96,2916400.0
2019-09-23,114.95,115.14,113.4,114.29,1593900.0
2019-09-20,115.76,116.62,114.62,115.33,3204100.0
2019-09-19,116.1,116.84,115.07,115.88,1636000.0
2019-09-18,115.21,116.62,114.82,116.56,1350500.0
2019-09-17,114.98,115.87,114.44,115.28,1426800.0
2019-09-16,115.18,115.81,114.57,115.26,1192000.0
2019-09-13,116.03,116.99,115.42,116.52,1646300.0
2019-09-12,118.0,118.46,115.53,116.21,2053700.0
2019-09-11,114.03,116.38,113.21,115.04,2387300.0
2019-09-10,112.36,113.98,111.25,113.98,1459700.0
2019-09-09,113.19,113.77,112.28,112.87,1208600.0
2019-09-06,113.23,113.55,112.43,112.67,1217100.0
2019-09-05,111.27,113.9,111.1,113.02,2294800.0
2019-09-04,108.21,109.23,108.14,109.19,1181100.0
2019-09-03,108.71,108.95,105.83,106.38,2607300.0
2019-08-30,109.96,110.96,109.17,109.83,1881700.0
2019-08-29,109.26,110.37,108.84,109.02,1949100.0
2019-08-28,106.44,108.06,105.83,108.03,1553300.0
2019-08-27,107.29,107.79,106.32,107.05,2222700.0
2019-08-26,105.57,106.09,105.0,106.03,2510400.0
2019-08-23,106.98,107.51,103.72,104.17,4382700.0
2019-08-22,108.55,109.4,107.22,108.63,2761400.0
2019-08-21,109.0,111.7,107.78,108.59,3236500.0
2019-08-20,110.37,111.46,109.93,110.29,2254700.0
2019-08-19,113.06,113.72,110.81,111.17,2784500.0
2019-08-16,109.81,111.25,109.2,110.52,2576200.0
2019-08-15,110.61,110.95,107.81,108.45,2161500.0
2019-08-14,110.58,111.71,109.55,110.31,1840600.0
2019-08-13,109.11,113.58,108.14,113.02,3047900.0
2019-08-12,110.22,110.62,108.28,108.96,1395200.0
2019-08-09,111.23,111.85,109.78,110.66,1713700.0
2019-08-08,110.22,112.46,109.4,112.33,1837600.0
2019-08-07,107.85,110.255,107.16,109.82,2048700.0
2019-08-06,108.86,110.39,108.13,109.28,2868500.0
2019-08-05,109.446,109.85,106.14,107.63,3642300.0
2019-08-02,114.21,114.94,112.24,112.68,2717700.0
2019-08-01,117.78,120.15,113.11,114.46,2978600.0
2019-07-31,120.97,120.97,116.06,117.46,2460100.0
2019-07-30,120.3,121.38,119.57,120.96,1163000.0
2019-07-29,122.08,122.5,120.82,121.21,1694700.0
2019-07-26,122.78,123.04,121.71,121.8,1372900.0
2019-07-25,123.19,124.1,120.58,122.18,2675400.0
2019-07-24,121.02,124.79,120.51,124.64,4240300.0
2019-07-23,118.4937,119.93,117.69,119.92,2307800.0
2019-07-22,116.05,118.08,115.55,117.71,1667000.0
2019-07-19,116.29,117.07,115.52,115.78,1558600.0
2019-07-18,114.0,116.25,113.25,116.01,2245000.0
2019-07-17,115.94,116.01,113.93,113.94,1545000.0
2019-07-16,116.0,116.09,114.16,115.46,2007400.0
2019-07-15,116.9,117.69,116.22,117.02,1228300.0
2019-07-12,114.2142,116.26,114.22,116.2,2139300.0
2019-07-11,114.27,114.27,113.03,113.92,1414200.0
2019-07-10,114.68,115.73,112.94,114.01,1762000.0
2019-07-09,111.76,113.92,111.4,113.29,1952600.0
2019-07-08,112.1795,112.62,111.43,111.83,1790500.0
2019-07-05,112.07,112.98,111.31,112.86,1022100.0
2019-07-03,113.62,113.67,111.86,113.17,1444500.0
2019-07-02,114.49,114.5,112.64,113.51,1357300.0
2019-07-01,117.17,118.14,114.41,115.0,2586300.0
2019-06-28,113.36,114.42,112.61,112.87,6136800.0
2019-06-27,111.69,113.715,111.28,112.84,2054000.0
2019-06-26,111.49,112.735,110.39,110.87,3823400.0
2019-06-25,113.01,113.54,109.8618,110.28,2516200.0
2019-06-24,113.71,114.32,112.66,112.9,2052100.0
2019-06-21,112.12,114.36,111.53,113.67,4351300.0
2019-06-20,113.5569,113.94,111.51,112.56,2437100.0
2019-06-19,110.49,111.53,109.5,111.04,2474500.0
2019-06-18,106.69,110.59,106.05,109.94,3190000.0
2019-06-17,104.2,105.78,103.47,105.1,1859200.0
2019-06-14,103.44,104.41,102.78,104.02,2327200.0
2019-06-13,104.78,105.873,104.492,105.78,1696200.0
2019-06-12,104.8877,104.89,103.659,104.37,1506600.0
