,open,high,low,close,volume
2019-10-25,106.35,107.29,104.13,104.8,1556121.0
2019-10-24,116.0,117.2,101.51,107.02,4068700.0
2019-10-23,124.3,124.75,123.23,123.76,572900.0
2019-10-22,124.55,125.78,123.01,124.4,474400.0
2019-10-21,124.49,125.74,124.11,124.77,476200.0
2019-10-18,123.05,124.62,122.46,123.54,650300.0
2019-10-17,123.45,124.89,122.79,123.36,563200.0
2019-10-16,123.89,124.85,122.8,123.21,663600.0
2019-10-15,122.85,124.22,121.23,123.7,598200.0
2019-10-14,122.55,123.72,120.94,122.54,492900.0
2019-10-11,120.33,123.04,119.72,122.55,700500.0
2019-10-10,119.09,121.21,117.08,118.21,483300.0
2019-10-09,119.41,119.61,116.68,118.42,603300.0
2019-10-08,121.72,121.88,118.09,118.66,616600.0
2019-10-07,123.14,124.61,122.67,122.88,510300.0
2019-10-04,122.97,123.95,121.32,123.88,315700.0
2019-10-03,122.65,123.32,119.09,122.56,581300.0
2019-10-02,125.06,125.18,121.62,123.12,577100.0
2019-10-01,129.04,130.9,125.48,126.04,322700.0
2019-09-30,126.59,128.79,125.85,128.13,456700.0
2019-09-27,128.67,129.29,126.39,126.42,332900.0
2019-09-26,127.85,128.59,127.17,127.78,376100.0
2019-09-25,126.57,128.5,126.19,127.88,422000.0
2019-09-24,129.31,129.53,125.5,126.75,732900.0
2019-09-23,129.59,130.71,128.24,129.3,553700.0
2019-09-20,131.3,133.33,130.11,130.19,920800.0
2019-09-19,131.65,134.47,130.71,130.72,537900.0
2019-09-18,131.43,131.43,129.47,130.91,652000.0
2019-09-17,132.8,133.18,129.31,131.41,711800.0
2019-09-16,132.47,135.61,132.47,132.95,742000.0
2019-09-13,136.06,137.29,133.56,133.73,580800.0
2019-09-12,135.41,135.89,132.82,134.69,625200.0
2019-09-11,134.89,135.47,131.69,135.37,899000.0
2019-09-10,128.83,132.36,128.57,132.28,1050600.0
2019-09-09,127.07,130.12,126.85,129.03,776800.0
2019-09-06,127.22,127.86,125.94,125.96,632600.0
2019-09-05,124.74,127.84,124.66,126.99,826400.0
2019-09-04,122.89,123.36,120.22,123.33,1588900.0
2019-09-03,122.7,122.92,118.4,122.05,1474100.0
2019-08-30,123.34,124.17,122.08,122.95,699300.0
2019-08-29,122.68,124.09,122.45,122.75,1226500.0
2019-08-28,121.26,123.31,120.77,122.24,893100.0
2019-08-27,127.64,127.86,121.85,122.08,1396300.0
2019-08-26,131.79,131.79,126.8,127.47,1373800.0
2019-08-23,134.69,136.41,129.94,130.58,1977900.0
2019-08-22,138.58,139.11,135.34,135.53,1080200.0
2019-08-21,137.0,139.96,135.0,138.07,2428800.0
2019-08-20,136.2,136.2,130.63,130.75,1641400.0
2019-08-19,138.85,153.85,135.71,136.54,1457900.0
2019-08-16,146.86,153.85,138.6,138.69,4969800.0
2019-08-15,151.13,153.85,150.52,152.5,3213900.0
2019-08-14,150.28,151.49,149.51,150.11,2513800.0
2019-08-13,150.11,154.2,150.11,152.44,1856000.0
2019-08-12,152.14,153.33,149.97,150.0,1513100.0
2019-08-09,154.57,155.0,152.66,153.72,902800.0
2019-08-08,154.0,155.65,153.28,155.28,897300.0
2019-08-07,151.35,153.3338,150.3,153.21,1534000.0
2019-08-06,153.3684,153.68,150.97,153.48,771200.0
2019-08-05,152.24,153.05,150.3,152.13,1004700.0
2019-08-02,155.21,156.58,153.89,155.76,608600.0
2019-08-01,157.2,158.52,154.49,156.04,724700.0
2019-07-31,157.7,158.37,155.5,156.92,548700.0
2019-07-30,156.5,158.04,155.76,157.77,579500.0
2019-07-29,158.74,159.18,156.6,157.55,501900.0
2019-07-26,157.41,159.41,157.16,158.87,525100.0
2019-07-25,158.0,158.69,156.01,156.64,634600.0
2019-07-24,155.14,157.38,154.7,157.34,711600.0
2019-07-23,153.52,155.21,152.87,155.08,779900.0
2019-07-22,152.5,154.0,151.78,152.74,1019800.0
2019-07-19,158.15,158.29,151.37,151.56,2151400.0
2019-07-18,152.25,159.23,151.53,158.0,2760800.0
2019-07-17,150.39,151.15,149.18,150.74,799800.0
2019-07-16,149.6,151.46,149.55,150.75,620500.0
2019-07-15,149.72,150.09,147.96,150.02,488900.0
2019-07-12,148.4,149.98,146.72,149.6,620700.0
2019-07-11,149.02,149.46,147.23,147.97,458200.0
2019-07-10,148.25,149.28,147.11,147.94,547700.0
2019-07-09,147.01,148.5,145.51,148.01,656600.0
2019-07-08,147.11,150.33,146.22,146.71,656700.0
2019-07-05,146.42,148.28,145.535,148.25,383700.0
2019-07-03,146.59,147.22,144.84,146.81,432400.0
2019-07-02,142.57,147.07,141.18,146.41,992100.0
2019-07-01,141.97,143.9,140.675,142.76,757700.0
2019-06-28,138.0462,140.34,137.42,140.13,1468800.0
2019-06-27,135.6,137.44,134.92,137.3,492000.0
2019-06-26,135.17,136.07,135.0,135.38,541000.0
2019-06-25,134.24,135.87,133.56,134.42,644000.0
2019-06-24,136.93,137.81,133.8,134.47,557200.0
2019-06-21,137.93,138.29,136.825,137.12,811300.0
2019-06-20,139.14,139.279,137.31,138.19,692000.0
2019-06-19,137.88,138.215,136.45,136.94,516500.0
2019-06-18,139.17,140.539,137.38,137.51,637600.0
2019-06-17,139.83,140.16,137.44,137.96,648100.0
2019-06-14,139.83,140.2,138.52,139.8,361900.0
2019-06-13,137.93,140.7,137.83,140.38,378700.0
2019-06-12,137.62,137.98,136.14,137.67,455900.0
2019-06-11,137.39,138.61,136.52,137.74,688900.0
2019-06-10,143.99,144.49,136.06,136.35,1169000.0
2019-06-07,143.1554,144.49,142.48,142.82,425500.0
2019-06-06,140.62,142.7,139.74,142.17,542300.0
