,open,high,low,close,volume
2019-10-25,77.58,77.6763,76.59,76.59,1292858.0
2019-10-24,77.15,77.9,77.08,77.49,896700.0
2019-10-23,77.02,77.29,76.6,77.06,1305200.0
2019-10-22,76.59,77.26,76.55,77.05,1568000.0
2019-10-21,76.41,76.89,76.28,76.66,1032800.0
2019-10-18,75.67,76.76,75.5,76.62,2104800.0
2019-10-17,75.76,76.11,75.28,75.8,1439000.0
2019-10-16,75.76,75.97,75.26,75.72,1762800.0
2019-10-15,76.36,76.7,75.39,75.8,1270700.0
2019-10-14,77.19,77.2,76.02,76.29,1037500.0
2019-10-11,76.71,77.55,76.33,77.05,1259100.0
2019-10-10,76.97,77.26,76.39,76.85,1184600.0
2019-10-09,77.65,77.78,76.9,77.34,1733900.0
2019-10-08,78.75,78.78,77.42,77.42,1476300.0
2019-10-07,79.46,79.46,78.68,78.94,1308900.0
2019-10-04,78.57,79.57,78.29,79.53,1150100.0
2019-10-03,78.86,79.04,78.15,78.5,1255100.0
2019-10-02,79.57,79.7,78.57,78.75,1393700.0
2019-10-01,79.71,80.05,79.17,79.66,1787300.0
2019-09-30,80.07,80.62,79.85,80.05,1606000.0
2019-09-27,80.55,80.55,79.42,80.0,1023800.0
2019-09-26,80.49,80.85,80.17,80.38,1657200.0
2019-09-25,79.45,80.34,78.91,80.26,1844400.0
2019-09-24,79.34,79.79,78.83,79.56,1949700.0
2019-09-23,78.95,79.39,78.85,78.97,1432800.0
2019-09-20,78.97,79.31,78.46,79.04,2436700.0
2019-09-19,78.6,78.76,78.26,78.66,1552200.0
2019-09-18,77.81,78.51,77.53,78.48,2134100.0
2019-09-17,78.1,78.54,77.23,77.54,1879300.0
2019-09-16,76.6,77.35,76.32,77.17,1518400.0
2019-09-13,76.3,77.5,75.89,76.6,2388000.0
2019-09-12,75.38,76.97,75.34,76.5,2929200.0
2019-09-11,74.04,74.88,73.32,74.77,2501300.0
2019-09-10,74.77,74.77,73.31,74.21,2045800.0
2019-09-09,75.96,76.0,74.9,75.18,2134500.0
2019-09-06,77.28,77.45,75.68,76.19,1964000.0
2019-09-05,78.17,78.41,77.02,77.14,1372100.0
2019-09-04,78.64,78.88,77.97,78.49,1105100.0
2019-09-03,77.22,78.51,76.96,78.49,2371500.0
2019-08-30,77.5,77.52,76.88,77.15,1811300.0
2019-08-29,76.21,77.24,75.87,77.15,2129300.0
2019-08-28,75.77,76.12,75.31,75.75,2168900.0
2019-08-27,76.01,76.46,75.72,75.75,1559900.0
2019-08-26,75.34,75.88,75.23,75.85,1428300.0
2019-08-23,77.05,77.3,75.06,75.33,1698900.0
2019-08-22,76.86,77.07,76.32,76.82,1160400.0
2019-08-21,76.62,76.96,76.4,76.92,1215000.0
2019-08-20,77.2,77.2,76.43,76.66,1719000.0
2019-08-19,76.65,77.31,76.07,76.97,1842900.0
2019-08-16,75.87,76.85,74.92,76.64,2310400.0
2019-08-15,75.04,76.1285,74.92,75.81,3140600.0
2019-08-14,76.7363,76.77,75.13,75.25,1528400.0
2019-08-13,76.58,76.99,76.16,76.51,2817400.0
2019-08-12,76.97,77.01,76.28,76.64,2022600.0
2019-08-09,76.42,76.9,75.59,76.69,2787400.0
2019-08-08,75.09,76.5,74.41,76.32,2579300.0
2019-08-07,75.11,75.64,74.02,75.22,2969400.0
2019-08-06,75.06,75.35,73.67,75.0,5268700.0
2019-08-05,76.08,76.7,74.63,75.05,2157700.0
2019-08-02,76.68,77.41,75.42,75.74,2160300.0
2019-08-01,75.5968,77.11,75.37,76.64,2349600.0
2019-07-31,76.18,76.69,75.44,75.69,1041300.0
2019-07-30,76.76,77.26,75.82,76.21,918100.0
2019-07-29,76.8,77.18,76.14,76.85,1078800.0
2019-07-26,76.35,76.82,75.91,76.59,1120500.0
2019-07-25,76.9,77.07,75.94,76.25,1219900.0
2019-07-24,76.61,76.61,75.71,76.43,847700.0
2019-07-23,76.3,76.67,75.71,76.23,988100.0
2019-07-22,76.13,76.74,75.42,76.28,1193300.0
2019-07-19,77.02,77.21,75.95,75.98,854700.0
2019-07-18,76.7951,77.2,76.13,77.16,867600.0
2019-07-17,76.56,77.28,76.5,76.74,917900.0
2019-07-16,76.07,76.43,75.57,76.23,1355100.0
2019-07-15,76.1,76.54,75.79,76.29,657700.0
2019-07-12,76.58,76.72,75.77,76.16,709100.0
2019-07-11,76.57,77.09,76.0,76.68,831100.0
2019-07-10,76.7,77.12,76.31,76.65,794000.0
2019-07-09,76.35,76.69,75.97,76.61,884400.0
2019-07-08,76.56,76.79,75.94,76.47,795700.0
2019-07-05,75.93,76.6,75.04,76.45,760900.0
2019-07-03,76.13,77.09,76.05,76.52,512700.0
2019-07-02,75.55,76.01,75.28,75.9,1147300.0
2019-07-01,75.1286,75.33,74.23,75.21,1140800.0
2019-06-28,74.56,75.62,74.45,75.11,2160000.0
2019-06-27,74.83,75.27,74.36,74.65,926400.0
2019-06-26,76.4,76.64,74.6614,74.73,1160100.0
2019-06-25,77.05,77.05,76.45,76.58,996700.0
2019-06-24,77.55,77.77,76.82,76.9,1414000.0
2019-06-21,77.42,77.58,76.46,77.45,1597200.0
2019-06-20,76.93,77.715,76.57,77.36,884000.0
2019-06-19,76.2221,77.23,76.03,76.9,1482000.0
2019-06-18,76.74,76.8,75.48,76.43,1426000.0
2019-06-17,76.73,77.19,75.81,76.2,908700.0
2019-06-14,76.45,77.03,76.29,76.71,1142200.0
2019-06-13,76.28,76.64,75.74,76.21,971900.0
2019-06-12,75.221,76.26,75.22,76.24,987600.0
2019-06-11,75.41,75.58,74.405,74.93,1084600.0
2019-06-10,75.63,76.12,75.22,75.92,1081100.0
2019-06-07,77.1,77.55,75.8797,75.88,1350200.0
2019-06-06,76.39,76.66,76.001,76.53,1166500.0
