,open,high,low,close,volume
2019-10-25,95.69,95.76,94.02,94.35,2109535.0
2019-10-24,94.77,96.22,94.77,95.72,2809200.0
2019-10-23,94.39,95.1,94.22,94.44,2369600.0
2019-10-22,94.7,94.7,93.89,94.15,2255400.0
2019-10-21,94.04,94.54,93.49,94.48,2123200.0
2019-10-18,92.8,94.28,92.67,94.14,2482100.0
2019-10-17,92.5,93.35,92.41,93.0,1904800.0
2019-10-16,91.74,92.67,91.35,92.6,2180100.0
2019-10-15,92.36,92.61,91.67,91.74,1546400.0
2019-10-14,92.71,92.85,91.82,92.03,1504300.0
2019-10-11,92.52,92.93,92.05,92.34,1818000.0
2019-10-10,92.48,93.08,92.11,92.61,1739900.0
2019-10-09,92.78,93.23,92.48,92.88,1752600.0
2019-10-08,93.86,93.95,92.56,92.56,2013400.0
2019-10-07,93.42,94.07,92.97,93.71,2234200.0
2019-10-04,92.75,93.83,92.35,93.61,2873000.0
2019-10-03,92.25,92.58,91.89,92.5,2473700.0
2019-10-02,93.27,93.3,91.68,92.13,2495300.0
2019-10-01,93.34,93.57,92.9,93.22,2926400.0
2019-09-30,93.85,94.67,93.54,93.69,2048200.0
2019-09-27,94.76,94.88,93.69,94.2,2178500.0
2019-09-26,93.9,94.53,93.74,94.29,3104900.0
2019-09-25,94.6,94.8,93.88,94.23,2354300.0
2019-09-24,93.75,94.89,93.5,94.59,2195900.0
2019-09-23,92.95,93.84,92.95,93.4,1610400.0
2019-09-20,93.33,93.56,92.84,93.18,3147400.0
2019-09-19,93.24,93.38,93.03,93.18,1200200.0
2019-09-18,93.15,93.16,92.24,93.02,2969500.0
2019-09-17,91.77,92.79,91.7,92.73,2788100.0
2019-09-16,91.86,92.16,90.94,91.71,2219300.0
2019-09-13,91.6,92.05,91.19,91.54,2014200.0
2019-09-12,92.42,92.71,91.68,92.02,1755700.0
2019-09-11,90.73,92.08,90.28,91.69,2003500.0
2019-09-10,91.05,91.31,90.08,91.09,3370100.0
2019-09-09,90.83,91.75,90.34,91.38,3278500.0
2019-09-06,91.56,91.97,90.74,91.09,1447900.0
2019-09-05,92.41,92.67,91.3,91.53,2318800.0
2019-09-04,93.0,93.23,92.31,93.05,1782700.0
2019-09-03,91.22,92.87,90.98,92.78,2043800.0
2019-08-30,91.0,91.5,90.31,91.15,2584700.0
2019-08-29,90.06,90.75,89.66,90.72,1856900.0
2019-08-28,90.94,90.94,89.51,89.63,4525300.0
2019-08-27,91.15,91.4,90.61,90.67,1339000.0
2019-08-26,89.7,90.85,89.51,90.83,1625500.0
2019-08-23,91.21,91.43,89.05,89.58,2253100.0
2019-08-22,91.28,91.46,90.61,90.97,1625600.0
2019-08-21,90.51,91.36,90.41,91.35,1332100.0
2019-08-20,91.0,91.05,90.08,90.77,1450400.0
2019-08-19,90.25,91.22,90.0,90.55,1734100.0
2019-08-16,90.47,90.79,88.2,90.23,2131000.0
2019-08-15,88.38,90.62,88.2,90.36,2874200.0
2019-08-14,90.08,90.57,88.09,88.48,4572300.0
2019-08-13,90.38,90.68,89.43,90.25,1810400.0
2019-08-12,90.13,90.6679,89.85,90.43,1497100.0
2019-08-09,89.77,90.39,89.54,89.97,1597500.0
2019-08-08,88.82,89.79,88.1,89.51,3090500.0
