,open,high,low,close,volume
2019-10-25,16.82,16.92,16.658,16.8,3417360.0
2019-10-24,17.2,17.21,16.85,16.88,5099800.0
2019-10-23,16.86,17.15,16.84,17.13,6329900.0
2019-10-22,16.48,16.92,16.34,16.9,5380000.0
2019-10-21,16.4,16.5,16.33,16.44,4114300.0
2019-10-18,16.19,16.48,16.12,16.38,4070200.0
2019-10-17,16.1,16.3,16.07,16.24,3028400.0
2019-10-16,15.97,16.14,15.95,16.13,4117100.0
2019-10-15,15.93,16.19,15.84,16.02,4768100.0
2019-10-14,16.03,16.04,15.87,15.99,2969700.0
2019-10-11,15.87,16.15,15.86,16.01,3461400.0
2019-10-10,15.52,15.85,15.49,15.82,3050400.0
2019-10-09,15.56,15.67,15.43,15.54,4693900.0
2019-10-08,15.8,15.87,15.49,15.51,4203400.0
2019-10-07,16.0,16.06,15.84,15.85,3266400.0
2019-10-04,15.86,16.03,15.67,16.03,3923500.0
2019-10-03,15.73,15.88,15.62,15.8,4055000.0
2019-10-02,16.25,16.25,15.7,15.7,4670900.0
2019-10-01,16.22,16.42,16.14,16.24,3743000.0
2019-09-30,16.37,16.45,16.22,16.34,3559100.0
2019-09-27,16.26,16.53,16.17,16.31,4431100.0
2019-09-26,16.19,16.3,16.05,16.22,3612100.0
2019-09-25,16.14,16.27,16.08,16.12,4336400.0
2019-09-24,16.3,16.35,16.05,16.17,4858000.0
2019-09-23,16.08,16.29,15.95,16.25,3675800.0
2019-09-20,15.97,16.19,15.91,16.09,7443100.0
2019-09-19,16.07,16.11,15.91,15.95,4635400.0
2019-09-18,15.94,16.06,15.8,16.05,3859500.0
2019-09-17,16.0,16.04,15.84,15.89,4324900.0
2019-09-16,15.84,16.01,15.62,16.0,4362400.0
2019-09-13,15.67,15.96,15.64,15.79,5643200.0
2019-09-12,15.6,15.77,15.43,15.67,6214100.0
2019-09-11,15.2,15.62,15.12,15.55,5890600.0
2019-09-10,15.01,15.19,14.99,15.18,3254000.0
2019-09-09,15.28,15.38,14.85,15.03,4366500.0
2019-09-06,15.53,15.57,15.28,15.31,3491100.0
2019-09-05,15.21,15.53,15.21,15.44,5652100.0
2019-09-04,15.42,15.48,15.22,15.29,3373200.0
2019-09-03,15.22,15.45,15.17,15.34,5740400.0
2019-08-30,15.2,15.41,15.16,15.33,5103600.0
2019-08-29,14.93,15.19,14.93,15.12,4897500.0
2019-08-28,14.61,14.92,14.6,14.86,5050200.0
2019-08-27,14.9,15.0,14.6,14.61,5481900.0
2019-08-26,14.85,14.95,14.78,14.84,2276100.0
2019-08-23,15.2,15.25,14.72,14.79,3937600.0
2019-08-22,15.28,15.32,15.02,15.2,3598300.0
2019-08-21,15.24,15.41,15.19,15.32,3385700.0
2019-08-20,15.35,15.38,15.1,15.19,6022700.0
2019-08-19,15.2,15.48,15.18,15.36,4586600.0
2019-08-16,14.79,15.25,14.63,15.2,5172500.0
2019-08-15,14.94,14.96,14.63,14.77,5641100.0
2019-08-14,15.08,15.11,14.71,14.79,6614400.0
2019-08-13,15.16,15.325,15.11,15.17,3489800.0
2019-08-12,15.52,15.52,15.15,15.24,4513100.0
2019-08-09,15.8,15.89,15.55,15.57,3548200.0
2019-08-08,15.66,15.94,15.61,15.85,5104400.0
2019-08-07,15.65,15.706,15.32,15.67,9128000.0
2019-08-06,16.01,16.19,15.37,15.7,12373600.0
2019-08-05,16.7197,16.79,16.19,16.32,4466700.0
2019-08-02,17.22,17.29,16.81,16.83,5935300.0
2019-08-01,16.77,17.37,16.76,17.3,5299500.0
2019-07-31,17.04,17.11,16.71,16.79,12159300.0
2019-07-30,16.92,17.1997,16.87,17.15,3871200.0
2019-07-29,17.01,17.09,16.91,17.06,3365700.0
2019-07-26,16.94,17.04,16.84,16.94,3677800.0
2019-07-25,16.8,16.97,16.78,16.91,2750600.0
2019-07-24,16.84,16.92,16.75,16.87,2357900.0
2019-07-23,17.04,17.06,16.76,16.83,2965600.0
2019-07-22,17.26,17.2899,16.86,17.06,5520900.0
2019-07-19,17.53,17.55,17.2095,17.22,3367400.0
2019-07-18,17.63,17.64,17.22,17.53,4861700.0
2019-07-17,17.34,17.8,17.33,17.65,11336300.0
2019-07-16,17.13,17.3,17.11,17.29,6047500.0
2019-07-15,17.08,17.17,16.9605,17.15,3370400.0
2019-07-12,16.98,17.09,16.85,17.08,2863000.0
2019-07-11,17.0,17.03,16.78,16.96,3450400.0
