,open,high,low,close,volume
2018-11-29,212.7,212.7,212.7,212.7,0.0
2018-11-28,212.57,213.36,211.79,212.7,11862705.0
2018-11-27,209.62,212.0,208.72,212.0,10341300.0
2018-11-26,208.94,211.03,208.93,210.1,7545901.0
2018-11-23,204.06,205.84,203.7,205.36,910863.0
2018-11-21,204.81,206.33,204.12,204.3,3893474.0
2018-11-20,207.13,207.22,204.0,204.0,5670493.0
2018-11-19,209.29,209.82,207.1,207.49,3387023.0
2018-11-16,208.95,209.98,208.91,209.01,2722997.0
2018-11-15,207.28,209.85,206.65,209.36,3287544.0
2018-11-14,209.89,210.9,207.68,208.05,2568920.0
2018-11-13,209.91,210.67,209.0,209.52,1755091.0
2018-11-12,209.16,210.61,209.02,209.33,1526797.0
2018-11-09,209.42,210.116,208.56,209.36,1980801.0
2018-11-08,208.62,209.7,207.871,209.23,3498370.0
2018-11-07,207.91,209.75,207.71,208.84,3392595.0
2018-11-06,202.62,207.13,202.15,207.05,4648657.0
2018-11-05,198.68,200.3,198.68,199.33,1094841.0
2018-11-02,200.97,201.54,197.81,198.21,1853113.0
2018-11-01,199.02,200.66,198.42,200.14,1820597.0
2018-10-31,198.01,199.38,197.185,198.4,2597000.0
2018-10-30,197.26,197.65,194.76,197.65,1351330.0
2018-10-29,196.44,197.32,194.39,195.13,1728848.0
2018-10-26,195.39,196.355,194.27,195.29,2298520.0
