,open,high,low,close,volume
2019-10-25,52.72,52.905,52.34,52.8,1725148.0
2019-10-24,53.37,53.58,52.72,52.9,1665700.0
2019-10-23,53.06,53.3,52.68,53.15,2669900.0
2019-10-22,54.29,54.29,53.16,53.24,3381800.0
2019-10-21,54.51,54.88,54.44,54.55,2069600.0
2019-10-18,53.9,54.28,53.86,53.97,2344000.0
2019-10-17,54.71,54.82,53.92,54.06,2494600.0
2019-10-16,54.37,54.56,53.7,54.34,3429200.0
2019-10-15,54.35,54.98,54.29,54.68,2215500.0
2019-10-14,53.91,54.35,53.63,54.21,1980600.0
2019-10-11,54.89,55.64,54.33,54.42,4531400.0
2019-10-10,53.14,54.45,52.99,54.06,3962000.0
2019-10-09,52.77,53.36,52.64,53.04,2943600.0
2019-10-08,52.92,53.08,52.39,52.42,3763600.0
2019-10-07,54.22,54.29,53.61,53.63,2592200.0
2019-10-04,53.19,54.53,53.19,54.43,3298100.0
2019-10-03,53.19,53.74,52.71,53.21,3702700.0
2019-10-02,54.09,54.25,53.3,53.47,3492000.0
2019-10-01,55.93,55.99,54.24,54.37,3643000.0
2019-09-30,56.3,56.36,55.55,55.7,3424500.0
2019-09-27,56.22,56.53,55.85,56.16,3496300.0
2019-09-26,56.6,56.6,55.54,55.88,3206200.0
2019-09-25,56.88,57.23,56.43,56.53,3355300.0
2019-09-24,57.53,57.7,56.82,57.0,3592400.0
2019-09-23,57.1,57.73,56.96,57.3,2752500.0
2019-09-20,58.22,58.35,57.29,57.45,6534700.0
2019-09-19,57.8,58.66,57.57,57.89,4671800.0
2019-09-18,56.67,57.67,56.44,57.65,4292100.0
2019-09-17,56.18,57.15,56.1,57.08,4317400.0
2019-09-16,56.22,56.68,55.93,56.32,2793600.0
2019-09-13,57.08,57.46,56.79,57.29,3324700.0
2019-09-12,56.14,57.11,56.03,56.76,3263600.0
2019-09-11,55.48,56.63,54.77,56.6,3093900.0
2019-09-10,55.44,55.98,55.24,55.5,3170500.0
2019-09-09,55.08,55.47,54.7,55.41,2898500.0
2019-09-06,54.61,55.38,54.53,54.85,1901200.0
2019-09-05,55.15,55.86,54.62,54.68,3124000.0
2019-09-04,52.96,54.42,52.71,54.4,3846900.0
2019-09-03,51.75,52.49,51.65,52.4,2897700.0
2019-08-30,52.88,52.88,51.8,52.04,4565000.0
2019-08-29,52.98,53.18,52.4,52.46,2921100.0
2019-08-28,52.53,52.96,52.3,52.45,2481500.0
2019-08-27,53.27,53.47,52.2,52.74,2747800.0
2019-08-26,52.71,53.11,52.42,53.08,2212600.0
2019-08-23,53.51,54.33,52.15,52.49,3712200.0
2019-08-22,53.98,54.32,53.59,53.75,2326600.0
2019-08-21,53.95,53.95,53.31,53.69,2464800.0
2019-08-20,54.67,54.67,53.37,53.43,3551200.0
2019-08-19,55.03,55.2,54.53,54.81,3319400.0
2019-08-16,54.27,54.73,53.27,54.31,4042200.0
2019-08-15,53.52,53.99,53.2697,53.74,4125000.0
2019-08-14,55.09,55.4,52.94,53.39,8548900.0
2019-08-13,54.83,56.5,54.66,56.12,4522200.0
2019-08-12,55.84,55.9,54.6,55.08,3576200.0
2019-08-09,56.5,56.75,55.85,56.26,3987100.0
2019-08-08,56.92,57.48,55.68,56.82,8893700.0
2019-08-07,53.31,54.63,52.89,54.41,4302000.0
2019-08-06,52.8402,54.41,52.7,54.38,4247700.0
2019-08-05,53.46,53.74,52.29,52.81,4323200.0
2019-08-02,54.55,54.86,54.0,54.33,2683600.0
2019-08-01,55.73,56.4,54.23,54.71,4706600.0
2019-07-31,56.42,56.94,55.53,55.99,3179200.0
2019-07-30,56.1,56.46,55.7,56.32,1828900.0
2019-07-29,57.08,57.22,56.35,56.48,2565100.0
2019-07-26,56.99,57.33,56.8,57.27,2899300.0
2019-07-25,57.58,57.59,56.94,57.08,2459300.0
2019-07-24,56.01,57.49,56.0,57.39,3909800.0
2019-07-23,55.87,56.29,55.51,56.29,2160300.0
2019-07-22,55.77,56.13,55.64,55.88,2069600.0
2019-07-19,56.07,56.68,55.8085,55.94,4852800.0
2019-07-18,55.45,55.78,55.3372,55.6,4175600.0
2019-07-17,56.0,56.1,54.88,55.37,3679400.0
2019-07-16,56.41,56.4762,56.02,56.03,2250600.0
2019-07-15,56.35,56.49,56.11,56.24,2900700.0
2019-07-12,55.85,56.35,55.51,56.27,2957700.0
2019-07-11,55.83,56.1476,55.27,55.48,3389300.0
2019-07-10,55.54,56.0,55.5,55.73,3898300.0
2019-07-09,54.68,55.53,54.56,55.52,3617100.0
2019-07-08,54.6,55.16,54.39,54.96,4378600.0
2019-07-05,54.85,54.99,54.23,54.61,2514000.0
2019-07-03,54.0,55.06,53.84,54.83,2948700.0
2019-07-02,53.88,53.89,53.14,53.79,3374800.0
2019-07-01,53.53,53.97,53.17,53.84,3200800.0
2019-06-28,53.2182,53.415,52.91,53.28,5214800.0
2019-06-27,52.37,53.09,52.2289,53.05,3878300.0
2019-06-26,52.9379,52.96,52.095,52.26,3883400.0
2019-06-25,53.23,53.53,52.51,52.73,5504100.0
2019-06-24,53.63,54.07,53.205,53.32,2745200.0
2019-06-21,54.64,54.73,53.63,53.65,5462500.0
2019-06-20,53.98,54.36,53.32,54.25,5000700.0
2019-06-19,53.5,53.94,53.4,53.6,4029000.0
2019-06-18,52.89,53.55,52.8583,53.35,3313800.0
2019-06-17,53.42,53.6,52.935,52.99,2711100.0
2019-06-14,53.27,53.43,52.85,53.31,3206900.0
2019-06-13,52.7,53.446,52.64,53.2,3860400.0
2019-06-12,53.15,53.24,52.62,52.96,2842400.0
2019-06-11,53.6,53.76,52.76,53.08,3587300.0
2019-06-10,53.1,53.55,52.97,53.33,4645800.0
2019-06-07,53.51,53.76,52.91,52.91,5206000.0
2019-06-06,53.59,54.17,53.375,53.55,4764200.0
