,open,high,low,close,volume
2019-10-25,63.79,65.49,62.5,63.59,5970547.0
2019-10-24,68.17,69.68,68.06,69.45,1374200.0
2019-10-23,67.39,68.16,66.94,67.46,766400.0
2019-10-22,67.24,67.87,64.88,66.79,1271000.0
2019-10-21,67.91,68.18,66.81,67.24,1153100.0
2019-10-18,68.23,68.74,67.11,67.13,908400.0
2019-10-17,68.35,69.09,67.75,68.22,1062800.0
2019-10-16,67.86,68.93,67.46,67.58,721600.0
2019-10-15,67.9,68.73,67.13,67.87,803200.0
2019-10-14,68.23,68.58,67.37,67.56,1194500.0
2019-10-11,66.53,69.3,66.25,68.91,1318400.0
2019-10-10,64.01,65.79,63.79,65.46,1093100.0
2019-10-09,64.36,64.73,62.77,63.6,1144100.0
2019-10-08,65.0,65.0,63.46,63.7,1148000.0
2019-10-07,65.88,66.5,64.67,65.68,1073600.0
2019-10-04,67.05,67.34,65.94,66.32,974100.0
2019-10-03,66.05,67.23,64.9,67.23,1122100.0
2019-10-02,67.38,67.47,66.1,66.57,1202800.0
2019-10-01,69.95,70.84,67.91,68.31,1721400.0
2019-09-30,68.25,69.87,67.99,69.52,1387800.0
2019-09-27,67.37,68.22,66.77,68.14,1667600.0
2019-09-26,68.1,68.13,66.76,67.19,989000.0
2019-09-25,67.82,68.51,67.39,68.3,999500.0
2019-09-24,68.5,68.71,66.97,67.89,1382700.0
2019-09-23,67.97,69.41,67.65,68.22,990400.0
2019-09-20,68.67,70.42,68.53,68.86,2741900.0
2019-09-19,67.4,68.47,66.71,68.29,1238600.0
2019-09-18,67.35,68.28,66.53,67.4,1131000.0
2019-09-17,68.19,68.66,67.21,67.76,1120500.0
2019-09-16,68.92,69.79,68.64,68.84,1003000.0
2019-09-13,69.89,70.41,68.2,69.28,1169900.0
2019-09-12,69.2,69.96,67.82,69.28,986700.0
2019-09-11,68.8,69.38,67.2,69.25,1839300.0
2019-09-10,65.49,68.5,65.49,68.28,2358000.0
2019-09-09,63.49,65.44,63.28,65.36,1216400.0
2019-09-06,63.04,63.78,61.93,63.23,1023700.0
2019-09-05,62.33,63.41,62.33,62.97,1854400.0
2019-09-04,61.6,61.98,60.86,61.31,898800.0
2019-09-03,61.0,61.0,59.51,60.23,1372100.0
2019-08-30,61.29,63.27,61.29,61.73,1403500.0
2019-08-29,60.58,61.41,60.1,60.49,2307100.0
2019-08-28,59.06,59.74,58.63,59.32,2283800.0
2019-08-27,61.43,61.44,59.13,59.3,1066600.0
2019-08-26,60.85,61.46,60.16,60.81,805200.0
2019-08-23,62.57,62.69,59.71,59.95,1778100.0
2019-08-22,64.71,65.12,62.69,63.22,1850400.0
2019-08-21,65.32,66.29,64.7,65.91,1003800.0
2019-08-20,64.45,64.68,63.71,64.17,1091500.0
2019-08-19,64.21,65.33,63.94,64.92,1388200.0
2019-08-16,62.28,64.34,61.24,63.09,1666700.0
2019-08-15,64.34,64.34,61.24,61.66,2688300.0
2019-08-14,66.46,66.95,64.01,64.29,2087400.0
2019-08-13,67.4035,71.18,66.8,68.45,1597200.0
2019-08-12,69.8,70.02,67.06,67.38,1516600.0
2019-08-09,71.9,72.329,69.395,70.25,2188000.0
2019-08-08,74.71,74.93,69.6883,73.49,4385400.0
2019-08-07,64.6,68.01,64.5074,67.59,2620800.0
2019-08-06,65.8,66.0041,64.1,65.45,1731500.0
2019-08-05,67.2,67.2,64.35,65.41,2421400.0
2019-08-02,68.99,70.05,67.44,68.68,1457500.0
2019-08-01,72.55,73.39,69.17,69.59,1568800.0
2019-07-31,73.48,74.35,72.38,72.96,1361500.0
2019-07-30,72.67,73.8,72.06,73.6,1056200.0
2019-07-29,74.37,74.66,72.98,73.09,1074900.0
