,open,high,low,close,volume
2019-10-25,69.0,71.98,68.8,71.57,1521174.0
2019-10-24,69.3,69.7,68.28,68.76,1480900.0
2019-10-23,69.09,69.38,68.85,68.91,741200.0
2019-10-22,68.99,69.77,68.33,69.19,1129400.0
2019-10-21,67.91,69.28,67.35,69.04,1441600.0
2019-10-18,66.61,67.52,66.08,66.84,969700.0
2019-10-17,67.14,67.76,66.51,66.98,749200.0
2019-10-16,67.34,67.47,66.57,66.83,942100.0
2019-10-15,66.42,67.73,65.98,67.33,928100.0
2019-10-14,65.87,66.59,65.39,66.21,593500.0
2019-10-11,66.0,67.63,65.0,66.08,1585100.0
2019-10-10,63.0,64.96,62.76,64.88,565600.0
2019-10-09,64.05,64.68,64.03,64.11,536900.0
2019-10-08,63.28,64.76,62.96,63.18,962300.0
2019-10-07,63.6,64.19,63.48,63.96,621300.0
2019-10-04,62.38,63.63,62.25,63.51,478200.0
2019-10-03,62.69,62.87,61.15,62.3,980000.0
2019-10-02,64.13,64.2,61.5,62.72,1334100.0
2019-10-01,65.45,65.91,64.64,64.95,612700.0
2019-09-30,64.4,65.24,64.24,64.91,808800.0
2019-09-27,64.98,65.57,63.93,64.18,814000.0
2019-09-26,65.05,65.08,64.18,64.57,541200.0
2019-09-25,64.68,65.43,64.59,65.05,522600.0
2019-09-24,65.13,65.27,64.38,64.65,596500.0
2019-09-23,64.73,65.21,64.42,64.64,632600.0
2019-09-20,64.95,65.46,64.61,65.0,1249100.0
2019-09-19,64.71,65.31,64.43,64.58,604500.0
2019-09-18,64.82,64.99,64.09,64.93,758600.0
2019-09-17,64.25,65.49,64.17,64.92,657000.0
2019-09-16,64.0,65.84,63.64,64.66,1295200.0
2019-09-13,66.28,66.52,65.82,65.87,588400.0
2019-09-12,65.79,66.47,65.3,65.68,668200.0
2019-09-11,64.98,65.9,64.32,65.83,787500.0
2019-09-10,65.01,65.48,64.51,64.99,723000.0
2019-09-09,63.08,65.05,62.65,64.77,951200.0
2019-09-06,63.78,64.18,62.9,63.09,1034000.0
2019-09-05,62.18,63.92,62.06,63.39,1285700.0
2019-09-04,60.63,61.87,60.06,61.77,1067000.0
2019-09-03,59.43,60.51,59.43,60.43,1110600.0
2019-08-30,60.13,60.34,59.37,59.72,842100.0
2019-08-29,59.33,60.17,59.06,59.96,788300.0
2019-08-28,57.79,59.04,57.71,58.74,728400.0
2019-08-27,58.78,58.88,57.12,58.01,1455500.0
2019-08-26,58.44,58.85,57.73,58.38,1044900.0
2019-08-23,59.56,59.9,57.57,57.93,1180800.0
2019-08-22,59.88,60.02,58.99,59.73,929300.0
2019-08-21,60.39,60.64,59.67,59.81,1038900.0
2019-08-20,60.31,60.34,59.51,60.11,740400.0
2019-08-19,60.68,61.51,60.48,60.59,903200.0
2019-08-16,59.31,60.51,58.82,60.36,952800.0
2019-08-15,59.34,59.53,58.82,59.02,1223100.0
2019-08-14,60.6,60.99,58.33,59.23,1416600.0
2019-08-13,61.82,62.79,61.11,61.17,1160200.0
2019-08-12,63.43,63.43,61.36,62.11,1041500.0
2019-08-09,64.16,64.79,63.9,63.93,746600.0
2019-08-08,63.47,64.67,63.435,64.53,769000.0
2019-08-07,62.12,63.37,61.56,63.11,749700.0
2019-08-06,61.97,62.66,61.84,62.47,797300.0
2019-08-05,62.54,62.65,60.51,61.52,1208400.0
2019-08-02,63.0,63.77,62.4355,63.27,1021100.0
2019-08-01,63.57,64.25,62.9,63.14,1069500.0
2019-07-31,63.98,64.5128,63.26,63.36,1171000.0
2019-07-30,63.69,64.56,63.49,64.01,812300.0
2019-07-29,64.23,64.24,62.67,63.97,1397800.0
2019-07-26,64.22,65.22,64.08,64.92,1637800.0
2019-07-25,64.73,65.57,63.3243,63.86,1599000.0
2019-07-24,65.1,65.91,64.85,65.57,1007400.0
2019-07-23,63.1,65.4,62.8314,65.1,1458400.0
2019-07-22,63.76,64.2,62.86,62.87,1303700.0
2019-07-19,64.52,65.14,63.48,63.49,1143300.0
2019-07-18,63.75,64.42,63.34,64.36,1018800.0
2019-07-17,65.27,65.32,63.73,63.78,1179000.0
2019-07-16,63.36,65.62,63.3,65.41,1385000.0
2019-07-15,64.14,64.58,63.25,63.36,946300.0
2019-07-12,63.56,64.61,63.33,64.24,958700.0
2019-07-11,63.2,63.55,62.42,63.31,982500.0
2019-07-10,64.15,64.39,62.56,62.94,1197000.0
2019-07-09,64.3,64.62,63.32,63.69,910700.0
2019-07-08,64.1621,64.91,64.08,64.68,1228500.0
2019-07-05,63.7174,64.22,63.15,64.07,566800.0
2019-07-03,63.4156,64.69,63.3,63.84,759900.0
2019-07-02,64.2,64.53,63.08,63.09,1096800.0
2019-07-01,64.1,64.6,62.9072,63.71,1121500.0
2019-06-28,63.3,64.0,63.05,63.91,2179700.0
2019-06-27,62.15,63.4914,62.15,63.11,862600.0
2019-06-26,61.85,62.23,61.42,61.91,646500.0
2019-06-25,62.3735,63.2,61.65,61.94,1388300.0
2019-06-24,62.23,62.67,61.91,62.42,936500.0
2019-06-21,60.86,62.59,60.301,62.08,2177600.0
2019-06-20,63.25,63.3,60.32,60.72,2019300.0
2019-06-19,63.17,63.22,62.38,62.86,589900.0
2019-06-18,62.7,63.63,62.51,62.94,673000.0
2019-06-17,63.2,63.2,62.49,62.52,916100.0
2019-06-14,62.3338,63.41,61.62,63.12,1236900.0
2019-06-13,61.01,62.33,61.01,62.16,916600.0
2019-06-12,60.92,61.383,60.52,60.96,593900.0
2019-06-11,61.0,61.28,60.53,60.76,645400.0
2019-06-10,60.88,61.8,60.57,60.64,815000.0
2019-06-07,61.0,61.53,60.49,60.53,984100.0
2019-06-06,61.5078,61.7,60.29,60.95,618500.0
