,open,high,low,close,volume
2019-10-25,114.05,115.98,112.83,113.33,911540.0
2019-10-24,108.8,114.11,108.15,113.66,2049900.0
2019-10-23,105.07,105.84,104.18,104.37,808300.0
2019-10-22,105.37,106.09,104.52,105.25,549200.0
2019-10-21,104.57,105.5,104.35,105.03,566200.0
2019-10-18,103.67,104.82,103.67,103.95,608000.0
2019-10-17,103.78,104.61,102.96,104.13,511100.0
2019-10-16,101.77,103.45,101.57,103.41,551200.0
2019-10-15,100.96,102.12,100.57,101.79,1113400.0
2019-10-14,101.14,101.65,100.33,100.45,494500.0
2019-10-11,102.03,102.89,101.39,101.46,877900.0
2019-10-10,100.93,101.9,100.63,100.7,1146500.0
2019-10-09,103.04,103.33,100.45,101.04,1063600.0
2019-10-08,101.49,103.14,100.64,102.33,888600.0
2019-10-07,102.8,103.21,102.38,102.58,428600.0
2019-10-04,101.09,103.41,101.09,103.32,519500.0
2019-10-03,99.83,101.15,98.4,101.1,624100.0
2019-10-02,100.31,100.64,98.91,100.24,466400.0
2019-10-01,104.25,104.81,100.63,101.1,603700.0
2019-09-30,102.86,104.7,102.67,103.65,712400.0
2019-09-27,103.11,103.34,101.91,102.5,340300.0
2019-09-26,101.82,103.09,101.38,102.66,568200.0
2019-09-25,101.53,101.88,100.99,101.85,490900.0
2019-09-24,101.63,102.36,101.19,101.59,591500.0
2019-09-23,100.98,101.71,100.96,101.16,376300.0
2019-09-20,102.29,102.7,101.34,101.57,605900.0
2019-09-19,102.27,102.93,100.82,102.13,489700.0
2019-09-18,100.67,102.56,100.06,102.31,536900.0
2019-09-17,101.87,102.72,101.16,101.56,627600.0
2019-09-16,101.63,102.24,100.89,102.13,667000.0
2019-09-13,100.73,102.47,100.66,102.24,1069600.0
2019-09-12,100.16,100.62,98.84,100.33,440200.0
2019-09-11,98.67,99.95,98.13,99.93,497800.0
2019-09-10,97.74,98.45,96.18,98.26,702500.0
2019-09-09,99.26,99.55,97.43,97.94,670800.0
2019-09-06,98.78,99.99,98.61,98.95,629000.0
2019-09-05,97.6,98.73,97.33,98.62,641100.0
2019-09-04,96.14,96.85,95.6,96.76,595300.0
2019-09-03,95.73,96.32,94.72,95.33,650300.0
2019-08-30,96.59,96.82,95.65,96.27,620900.0
2019-08-29,95.06,96.04,94.22,95.8,445300.0
2019-08-28,93.33,94.35,92.93,94.29,398600.0
2019-08-27,94.56,94.82,93.12,93.77,447600.0
2019-08-26,94.12,94.5,93.34,94.02,391600.0
2019-08-23,95.21,95.81,93.03,93.42,586000.0
2019-08-22,95.93,96.4,94.71,95.69,528900.0
2019-08-21,96.01,96.17,94.79,95.46,594700.0
2019-08-20,96.07,96.41,94.88,95.0,683900.0
2019-08-19,96.53,97.03,95.72,96.55,679800.0
2019-08-16,95.29,95.95,93.49,95.43,2424600.0
2019-08-15,94.3,94.98,93.49,94.72,747900.0
2019-08-14,96.96,97.07,93.77,94.08,770900.0
2019-08-13,96.61,98.21,96.3,97.46,962600.0
2019-08-12,98.2851,98.47,96.52,97.0,611200.0
2019-08-09,98.87,99.11,97.66,98.73,811300.0
2019-08-08,98.76,99.5712,98.23,99.15,874600.0
2019-08-07,98.66,98.905,97.53,98.33,637000.0
2019-08-06,100.13,100.3,98.607,99.83,614300.0
2019-08-05,99.98,100.95,99.13,99.68,967600.0
2019-08-02,102.13,103.21,100.95,101.83,645000.0
2019-08-01,103.49,104.67,102.25,102.48,1082100.0
2019-07-31,104.18,105.16,102.88,103.54,752800.0
2019-07-30,103.37,104.46,103.07,104.27,776700.0
2019-07-29,105.33,105.33,103.19,103.7,683100.0
2019-07-26,104.81,105.6,103.69,105.26,858000.0
2019-07-25,102.01,105.12,98.24,104.81,1800600.0
2019-07-24,108.72,109.08,107.92,108.22,765800.0
2019-07-23,108.53,108.93,107.8824,108.83,415100.0
2019-07-22,107.65,108.5031,107.46,108.02,623700.0
2019-07-19,110.0,110.21,107.55,107.59,538100.0
2019-07-18,108.72,109.48,108.47,109.44,772800.0
2019-07-17,110.9204,111.15,108.7,108.82,785500.0
2019-07-16,110.88,111.22,110.19,110.78,627900.0
2019-07-15,110.5,110.95,109.48,110.76,340600.0
2019-07-12,109.5,110.4438,108.96,110.44,427800.0
2019-07-11,109.49,109.99,108.7,109.27,398300.0
2019-07-10,110.76,111.4,109.26,109.32,538700.0
2019-07-09,109.86,110.3803,109.0,110.17,625400.0
2019-07-08,109.76,110.94,109.02,109.98,481100.0
2019-07-05,109.73,111.08,108.8,110.99,436500.0
2019-07-03,110.45,110.8,110.19,110.51,541000.0
2019-07-02,111.62,111.62,109.5,110.26,825100.0
