,open,high,low,close,volume
2019-10-25,54.9,55.84,54.53,55.72,7751810.0
2019-10-24,52.94,55.12,52.75,55.07,18652600.0
2019-10-23,51.29,51.45,50.24,50.53,8493800.0
2019-10-22,52.65,52.71,51.94,51.98,4442600.0
2019-10-21,52.19,52.71,51.99,52.64,5738200.0
2019-10-18,52.22,52.41,51.04,51.68,6419100.0
2019-10-17,52.46,53.25,51.84,52.14,5150400.0
2019-10-16,51.88,52.8,51.35,51.56,8383000.0
2019-10-15,52.07,53.14,51.88,52.91,8052200.0
2019-10-14,51.81,52.13,51.79,51.94,3395600.0
2019-10-11,52.16,52.39,51.71,51.75,6801000.0
2019-10-10,50.67,51.6,50.64,51.01,5330200.0
2019-10-09,50.12,51.17,50.0,50.84,6279400.0
2019-10-08,50.15,50.28,49.08,49.31,5706200.0
2019-10-07,50.82,51.11,50.58,50.65,5257200.0
2019-10-04,50.01,50.9,49.89,50.88,4596700.0
2019-10-03,49.42,49.77,48.78,49.64,6519300.0
2019-10-02,49.37,49.88,49.21,49.46,6426000.0
2019-10-01,50.41,51.0,49.78,50.02,7727000.0
2019-09-30,49.75,50.22,49.26,49.9,6674800.0
2019-09-27,51.12,51.46,49.15,49.43,11206000.0
2019-09-26,52.17,52.46,51.81,52.15,4848600.0
2019-09-25,50.65,52.12,50.5,51.93,5381400.0
2019-09-24,52.02,52.58,50.87,51.16,7074000.0
2019-09-23,50.85,51.97,50.8,51.76,4511200.0
2019-09-20,51.9,52.02,50.87,50.96,11287300.0
2019-09-19,52.49,52.62,51.37,51.68,5951300.0
2019-09-18,51.26,52.1,51.03,52.09,7880200.0
2019-09-17,50.55,51.26,50.43,51.2,5435500.0
2019-09-16,50.73,51.48,50.28,50.92,5164300.0
2019-09-13,51.74,51.98,51.04,51.35,6052700.0
2019-09-12,51.65,51.86,51.04,51.25,6251800.0
2019-09-11,50.43,51.57,50.01,51.56,8100400.0
2019-09-10,50.38,50.49,49.62,50.19,7304000.0
2019-09-09,50.29,50.8,49.96,50.66,6653800.0
2019-09-06,50.47,50.5,49.8,50.1,6913400.0
2019-09-05,50.46,51.73,50.27,50.35,10415400.0
2019-09-04,48.57,49.56,48.4,49.51,10227700.0
2019-09-03,47.64,47.77,47.16,47.61,7145800.0
2019-08-30,47.55,48.09,47.39,48.02,7819300.0
2019-08-29,46.66,47.42,46.63,47.31,6786700.0
2019-08-28,45.4,46.04,45.05,45.9,4811500.0
2019-08-27,46.0,46.24,45.11,45.51,5926900.0
2019-08-26,46.0,46.17,45.44,45.61,5715200.0
2019-08-23,46.51,46.84,44.82,45.12,11614800.0
2019-08-22,47.14,47.28,46.44,47.03,4280700.0
2019-08-21,47.2,47.52,46.73,46.83,5198200.0
2019-08-20,46.93,47.14,46.51,46.73,7753800.0
2019-08-19,47.6,47.93,46.8,47.1,8860000.0
2019-08-16,45.96,46.99,44.62,46.63,17658200.0
2019-08-15,47.0,47.31,46.5,47.16,8256800.0
2019-08-14,46.95,47.25,46.39,46.71,7212300.0
2019-08-13,46.43,48.25,46.07,48.06,9013700.0
2019-08-12,46.98,47.09,46.23,46.46,7105200.0
2019-08-09,47.54,47.54,46.56,47.15,5293200.0
2019-08-08,47.09,47.95,46.8904,47.86,6122900.0
2019-08-07,46.04,46.8616,45.75,46.68,7591400.0
2019-08-06,46.42,46.97,45.68,46.33,7428200.0
2019-08-05,46.2,46.2,44.97,45.46,12069900.0
2019-08-02,48.0,48.4,47.19,47.55,8093900.0
2019-08-01,49.44,51.05,47.91,48.47,11076800.0
2019-07-31,50.53,50.59,48.69,49.37,8334800.0
2019-07-30,50.0576,51.05,49.91,50.73,4666300.0
2019-07-29,50.46,50.77,50.06,50.67,4485700.0
2019-07-26,50.89,51.1,50.46,50.74,5737600.0
2019-07-25,51.72,51.79,50.67,50.82,8301000.0
2019-07-24,50.99,52.42,50.76,52.14,11289800.0
2019-07-23,50.64,51.32,50.12,51.03,10063900.0
2019-07-22,49.32,50.8,49.21,50.73,21604000.0
2019-07-19,48.31,48.49,47.66,47.81,9415200.0
2019-07-18,46.47,48.64,46.38,48.17,14577100.0
2019-07-17,46.26,46.47,45.62,46.22,8459900.0
2019-07-16,46.0,46.23,45.5,46.01,6671000.0
2019-07-15,46.85,47.43,45.92,46.28,6723200.0
2019-07-12,45.36,46.55,45.36,46.51,9030900.0
2019-07-11,45.07,45.37,44.37,45.28,8128500.0
2019-07-10,44.5,45.43,44.45,44.72,7184700.0
2019-07-09,43.23,44.06,42.88,43.97,12432400.0
2019-07-08,43.16,43.75,43.06,43.45,9733000.0
2019-07-05,44.24,44.42,43.56,43.98,6618200.0
2019-07-03,44.52,44.775,44.36,44.67,5559100.0
2019-07-02,45.11,45.22,44.12,44.66,13869000.0
2019-07-01,46.63,47.55,45.22,45.68,11452200.0
2019-06-28,45.13,45.39,44.675,44.91,15599700.0
2019-06-27,43.89,44.87,43.79,44.69,8894400.0
2019-06-26,43.0,43.8,42.93,43.58,10023900.0
2019-06-25,42.25,42.7,41.8989,41.98,9637900.0
2019-06-24,42.91,42.93,42.24,42.33,10997100.0
2019-06-21,42.8977,43.2,42.61,42.96,12096400.0
2019-06-20,43.74,43.99,43.0,43.21,8633300.0
2019-06-19,42.69,42.839,42.24,42.53,9333000.0
2019-06-18,40.93,42.6,40.84,42.31,11291800.0
2019-06-17,41.11,41.2,40.244,40.5,12453300.0
2019-06-14,40.96,41.49,40.56,41.23,7695100.0
2019-06-13,41.61,42.02,41.15,41.65,6979500.0
2019-06-12,42.64,42.69,41.36,41.5,10059800.0
2019-06-11,43.91,44.55,43.635,43.75,10536500.0
2019-06-10,42.0,43.545,41.79,43.14,9651700.0
2019-06-07,41.6,41.876,41.0803,41.51,6391200.0
2019-06-06,40.54,41.49,40.49,41.38,8101700.0
