,open,high,low,close,volume
2019-10-25,89.25,90.76,88.8401,89.96,783575.0
2019-10-24,89.36,89.51,88.69,89.12,406700.0
2019-10-23,88.48,89.02,88.05,89.0,928500.0
2019-10-22,88.28,89.2,87.88,88.38,1883200.0
2019-10-21,88.82,89.33,88.03,88.23,2047900.0
2019-10-18,88.48,88.87,88.06,88.35,1299700.0
2019-10-17,89.24,90.37,88.48,88.51,779200.0
2019-10-16,88.83,89.32,88.19,88.54,666600.0
2019-10-15,88.62,89.74,88.11,89.06,714700.0
2019-10-14,87.95,88.71,87.68,88.36,688800.0
2019-10-11,88.86,90.07,88.42,88.51,1214600.0
2019-10-10,86.87,88.31,86.73,87.95,675900.0
2019-10-09,86.72,87.32,86.27,86.93,861000.0
2019-10-08,87.12,87.12,85.96,85.98,1029900.0
2019-10-07,88.68,89.03,87.62,88.0,837600.0
2019-10-04,87.65,88.9,87.31,88.83,724700.0
2019-10-03,86.0,87.42,85.19,87.39,791500.0
2019-10-02,87.35,87.66,85.18,86.3,1492100.0
2019-10-01,92.24,92.86,88.56,88.8,2164300.0
2019-09-30,91.19,91.99,90.82,91.82,1128400.0
2019-09-27,91.0,91.87,90.43,91.37,1380400.0
2019-09-26,90.44,90.7,89.88,90.17,763100.0
2019-09-25,89.5,90.68,88.65,90.51,778200.0
2019-09-24,89.74,91.04,89.37,89.88,1795500.0
2019-09-23,89.37,90.08,88.8,89.45,1041600.0
2019-09-20,90.69,91.15,89.16,89.88,2180300.0
2019-09-19,90.01,90.8,89.74,90.21,1040100.0
2019-09-18,89.89,90.22,88.81,90.02,793700.0
2019-09-17,90.59,90.74,90.02,90.39,1043100.0
2019-09-16,90.28,91.02,90.19,90.86,1480700.0
2019-09-13,90.31,91.07,89.85,90.7,773900.0
2019-09-12,88.54,90.12,87.72,89.82,2001000.0
2019-09-11,88.29,88.29,86.96,88.1,1274700.0
2019-09-10,90.0,90.0,87.72,88.4,1278400.0
2019-09-09,89.8,90.0,89.33,89.77,775500.0
2019-09-06,88.74,89.57,88.27,89.27,1685400.0
2019-09-05,86.27,88.39,86.27,88.33,1922200.0
2019-09-04,84.38,85.24,84.02,85.17,1284000.0
2019-09-03,85.07,85.53,82.76,83.38,905400.0
2019-08-30,86.88,87.17,85.45,85.93,1052000.0
2019-08-29,85.07,86.35,84.89,86.11,640700.0
2019-08-28,83.22,84.25,82.85,84.11,840000.0
2019-08-27,83.66,84.12,83.03,83.73,1106700.0
2019-08-26,84.15,84.5,82.66,82.96,846600.0
2019-08-23,85.29,85.68,83.23,83.62,1262200.0
2019-08-22,86.67,86.85,85.28,85.77,718700.0
2019-08-21,87.16,87.16,86.0,86.33,814400.0
2019-08-20,86.73,87.11,86.0,86.21,1013200.0
2019-08-19,86.71,87.22,86.34,86.7,982000.0
2019-08-16,84.84,86.02,83.13,85.65,1261500.0
2019-08-15,83.44,84.62,83.1308,84.33,1460300.0
2019-08-14,84.67,84.85,83.079,83.33,1178700.0
2019-08-13,84.91,87.38,84.6,86.09,907200.0
2019-08-12,84.86,85.53,84.44,85.04,751100.0
2019-08-09,86.55,86.72,85.26,85.33,1281300.0
2019-08-08,85.62,87.16,85.51,86.93,1113500.0
2019-08-07,84.5668,85.62,83.81,85.26,1699600.0
2019-08-06,84.5,85.824,84.13,85.74,1072300.0
2019-08-05,84.97,84.97,83.42,84.08,1536500.0
2019-08-02,87.82,88.03,86.17,86.5,1662800.0
2019-08-01,89.3,90.69,88.14,88.32,1379200.0
2019-07-31,91.31,91.5209,88.66,89.61,1271200.0
2019-07-30,88.9834,92.14,88.27,90.75,1561900.0
