,open,high,low,close,volume
2019-10-25,202.59,203.71,201.51,203.05,1025320.0
2019-10-24,203.95,204.3,201.66,203.06,1220800.0
2019-10-23,204.23,205.89,203.04,203.32,1805800.0
2019-10-22,204.63,206.06,203.22,204.83,2136700.0
2019-10-21,203.57,203.61,200.78,202.93,1564000.0
2019-10-18,204.11,204.12,200.81,202.72,2043400.0
2019-10-17,201.59,204.75,201.52,203.56,1380800.0
2019-10-16,204.15,204.98,202.18,203.21,1758500.0
2019-10-15,203.46,204.8,202.6,204.66,1492800.0
2019-10-14,201.25,204.9,201.23,202.89,1638200.0
2019-10-11,200.23,203.89,199.98,200.8,2472200.0
2019-10-10,198.0,199.36,197.02,198.68,1297500.0
2019-10-09,198.68,198.68,195.96,196.69,1292900.0
2019-10-08,196.55,198.0,195.0,196.08,2032600.0
2019-10-07,194.54,198.82,194.45,197.17,2199300.0
2019-10-04,193.14,196.01,193.14,195.59,2158200.0
2019-10-03,189.6,192.67,189.0,192.62,1888500.0
2019-10-02,193.58,193.58,188.78,189.21,2250800.0
2019-10-01,192.58,195.88,192.1,193.19,2331000.0
2019-09-30,192.8,196.68,191.69,193.51,2492300.0
2019-09-27,195.56,196.85,193.84,194.94,1770300.0
2019-09-26,195.91,196.31,193.08,195.38,1877800.0
2019-09-25,197.58,198.33,195.92,196.06,1779900.0
2019-09-24,198.98,199.8,195.61,196.55,2322500.0
2019-09-23,197.75,198.81,197.31,197.76,1683900.0
2019-09-20,196.0,199.32,195.75,196.94,6680400.0
2019-09-19,195.72,196.37,194.52,195.65,1483400.0
2019-09-18,196.36,196.83,193.26,195.04,1897800.0
2019-09-17,194.04,196.78,194.04,196.72,2447400.0
2019-09-16,196.16,196.16,193.51,194.08,1597400.0
2019-09-13,194.41,196.67,194.33,195.47,2428800.0
2019-09-12,196.09,196.83,193.9,194.0,4448000.0
2019-09-11,197.13,198.46,195.17,195.84,2875300.0
2019-09-10,200.81,201.97,195.36,196.87,4866300.0
2019-09-09,202.53,202.95,198.79,202.34,4353200.0
2019-09-06,208.64,209.35,206.1,207.73,2388000.0
2019-09-05,206.63,208.47,205.97,207.65,1685300.0
2019-09-04,206.7,207.37,203.0,206.32,1935700.0
2019-09-03,207.3,207.89,204.68,205.52,2193000.0
2019-08-30,208.99,210.97,206.88,208.62,2621300.0
2019-08-29,209.0,209.84,205.26,206.98,2391600.0
2019-08-28,205.51,210.14,205.33,207.52,3789300.0
2019-08-27,206.54,208.95,205.27,206.49,3394000.0
2019-08-26,200.6,206.4,199.67,205.41,4005200.0
2019-08-23,203.09,203.62,198.01,199.08,3416200.0
2019-08-22,205.27,206.35,202.0,203.42,2677600.0
2019-08-21,204.45,205.37,203.58,203.94,1755200.0
2019-08-20,205.9,206.12,202.95,203.17,2710800.0
