,open,high,low,close,volume
2019-10-25,149.61,150.03,147.095,149.45,566239.0
2019-10-24,150.48,152.5,147.23,149.63,1254300.0
2019-10-23,141.99,144.52,141.99,143.47,789300.0
2019-10-22,144.11,144.99,142.29,142.45,931700.0
2019-10-21,143.77,145.3,143.56,144.3,548000.0
2019-10-18,139.87,142.64,139.87,142.0,721800.0
2019-10-17,140.97,142.18,140.43,140.49,663200.0
2019-10-16,139.75,141.26,139.63,139.77,564700.0
2019-10-15,139.51,141.83,138.5,140.22,844900.0
2019-10-14,137.19,138.99,136.82,138.82,532900.0
2019-10-11,137.67,139.79,137.13,138.27,903700.0
2019-10-10,133.33,135.76,133.08,134.01,732700.0
2019-10-09,130.99,132.92,130.03,132.19,731400.0
2019-10-08,132.06,132.38,129.01,129.21,1613300.0
2019-10-07,135.17,136.52,134.69,134.73,727900.0
2019-10-04,135.44,136.62,134.84,136.19,1040200.0
2019-10-03,134.4,135.43,131.29,135.17,1221500.0
2019-10-02,138.82,138.82,135.14,135.34,1054100.0
2019-10-01,147.84,147.84,139.91,140.74,1397300.0
2019-09-30,148.58,148.58,146.26,147.1,924000.0
2019-09-27,147.7,148.41,146.8,147.54,906500.0
2019-09-26,145.17,146.92,144.62,146.12,635200.0
2019-09-25,144.45,145.89,143.07,145.47,825400.0
2019-09-24,147.84,148.35,143.43,144.9,1230600.0
2019-09-23,143.84,147.74,143.27,147.29,1342000.0
2019-09-20,147.56,148.6,145.31,145.78,1557400.0
2019-09-19,147.34,149.52,146.82,147.29,1220700.0
2019-09-18,145.09,147.89,144.06,147.54,1239700.0
2019-09-17,146.38,147.25,144.66,146.09,845100.0
2019-09-16,146.1,148.19,144.91,147.43,1206200.0
2019-09-13,148.24,149.31,147.11,147.43,1099600.0
2019-09-12,144.51,147.14,143.91,146.38,969700.0
2019-09-11,144.66,145.74,142.12,145.57,1214300.0
2019-09-10,139.15,144.63,139.03,144.63,1937300.0
2019-09-09,136.4,138.87,135.64,137.87,1406300.0
2019-09-06,133.27,135.3,132.35,134.75,1060800.0
2019-09-05,130.98,134.87,130.84,133.41,1046600.0
2019-09-04,128.88,129.62,128.19,129.27,948800.0
2019-09-03,127.31,128.74,125.86,127.2,1011000.0
2019-08-30,129.81,130.03,127.78,128.98,668400.0
2019-08-29,127.51,129.23,127.51,128.43,805000.0
2019-08-28,123.98,126.31,123.95,125.85,839500.0
2019-08-27,127.21,127.58,124.1,125.24,1356500.0
2019-08-26,126.29,126.66,124.79,126.15,1272000.0
2019-08-23,127.42,129.17,123.82,124.49,1136200.0
2019-08-22,128.99,129.53,127.6,128.58,729900.0
2019-08-21,128.04,128.68,127.22,127.95,760600.0
2019-08-20,126.91,127.97,124.8,126.35,698100.0
2019-08-19,128.82,129.16,127.75,128.03,1051400.0
2019-08-16,123.98,127.0,121.57,126.34,935700.0
2019-08-15,123.52,124.6,121.57,122.75,1351100.0
2019-08-14,125.23,125.95,122.21,122.4,1534300.0
2019-08-13,125.18,129.71,125.15,128.72,2162700.0
2019-08-12,129.3,129.45,125.183,125.48,1636900.0
2019-08-09,134.0156,134.99,131.7,131.82,983200.0
2019-08-08,131.8,135.0,131.68,134.94,1074500.0
2019-08-07,130.72,131.27,127.61,131.05,1395500.0
2019-08-06,132.5572,133.65,130.22,133.27,1313300.0
2019-08-05,132.91,133.56,129.43,130.45,1728300.0
2019-08-02,139.39,139.53,135.13,135.3,1948100.0
2019-08-01,144.87,145.6,139.79,140.56,1042200.0
2019-07-31,148.3773,148.76,144.07,145.51,795800.0
2019-07-30,148.26,148.7,146.88,148.53,533500.0
2019-07-29,149.78,151.28,148.98,149.74,803000.0
2019-07-26,147.68,150.33,146.22,149.93,1020300.0
2019-07-25,151.2362,151.51,144.89,146.97,1549200.0
2019-07-24,148.16,151.93,148.16,151.47,809700.0
2019-07-23,148.71,149.623,148.43,149.09,594800.0
2019-07-22,148.8,149.03,146.26,147.83,738400.0
2019-07-19,150.7611,151.23,148.63,148.66,711300.0
