,open,high,low,close,volume
2019-10-25,223.19,223.2,215.2,216.67,2255183.0
2019-10-24,226.0,226.73,223.35,223.47,1097900.0
2019-10-23,226.25,227.36,223.87,226.02,1151500.0
2019-10-22,229.16,231.21,226.43,226.74,1341000.0
2019-10-21,229.24,229.59,226.7,229.4,1272400.0
2019-10-18,225.95,229.6,225.85,229.09,1544400.0
2019-10-17,224.1,227.15,223.46,225.91,1197100.0
2019-10-16,223.55,223.55,220.55,221.97,1508400.0
2019-10-15,225.74,226.46,221.84,224.21,993200.0
2019-10-14,224.99,226.6,224.51,225.64,766100.0
2019-10-11,226.17,227.06,224.35,224.45,1352200.0
2019-10-10,226.15,227.68,224.11,226.28,1888900.0
2019-10-09,226.57,227.35,225.33,226.57,1038800.0
2019-10-08,225.22,228.12,223.64,226.1,1962200.0
2019-10-07,225.19,226.61,222.97,225.28,1005800.0
2019-10-04,223.97,227.4,223.66,225.93,1621900.0
2019-10-03,220.42,225.52,220.27,223.9,1604700.0
2019-10-02,220.75,222.0,218.5,219.99,1270100.0
2019-10-01,220.7,222.87,218.22,220.89,1545400.0
2019-09-30,219.32,221.78,218.87,221.13,1703000.0
2019-09-27,223.09,223.09,216.86,218.98,1832400.0
2019-09-26,221.64,224.07,221.55,223.0,1350400.0
2019-09-25,225.46,225.62,220.86,222.04,1709400.0
2019-09-24,226.1,227.27,223.1,225.16,1728600.0
2019-09-23,225.84,226.51,224.95,225.38,1267000.0
2019-09-20,228.25,228.48,224.73,225.56,2787400.0
2019-09-19,220.54,229.36,220.0,227.07,2281100.0
2019-09-18,221.95,222.6,218.47,221.61,1318300.0
2019-09-17,218.4,221.4,217.52,221.3,1853300.0
2019-09-16,215.52,217.5,215.03,216.77,1422100.0
2019-09-13,218.29,219.25,213.92,215.37,1908800.0
2019-09-12,216.02,219.35,214.67,218.85,2334500.0
2019-09-11,215.95,217.87,212.5,212.7,3019700.0
2019-09-10,222.83,222.99,213.5,216.21,4266100.0
2019-09-09,232.78,233.18,223.74,224.0,2994000.0
2019-09-06,235.95,236.56,231.66,232.59,2307600.0
