,open,high,low,close,volume
2019-10-25,1697.55,1764.1145,1695.0,1761.33,9307939.0
2019-10-24,1771.09,1788.34,1760.27,1780.78,4446100.0
2019-10-23,1761.3,1770.05,1742.0,1762.17,2138200.0
2019-10-22,1788.15,1789.78,1762.0,1765.73,2111700.0
2019-10-21,1769.66,1785.88,1765.0,1785.66,2130400.0
2019-10-18,1787.8,1793.98,1749.2,1757.51,3362500.0
2019-10-17,1796.49,1798.85,1782.02,1787.48,2647400.0
2019-10-16,1773.33,1786.24,1770.52,1777.4301,2763400.0
2019-10-15,1742.14,1776.45,1740.62,1767.38,3111700.0
2019-10-14,1728.91,1741.89,1722.0,1736.4301,1910200.0
2019-10-11,1742.92,1745.45,1729.86,1731.92,3255000.0
2019-10-10,1725.24,1738.29,1713.75,1720.26,2575200.0
2019-10-09,1719.61,1729.95,1714.36,1721.99,2043500.0
2019-10-08,1722.49,1727.0,1705.0,1705.51,2542000.0
2019-10-07,1731.63,1747.83,1723.7,1732.66,2154700.0
2019-10-04,1726.02,1740.58,1719.23,1739.65,2471900.0
2019-10-03,1713.0,1725.0,1685.0601,1724.42,3468200.0
2019-10-02,1727.74,1728.89,1705.0,1713.23,3301100.0
2019-10-01,1746.0,1755.6,1728.41,1735.65,3084500.0
2019-09-30,1726.99,1737.46,1709.22,1735.91,2644700.0
2019-09-27,1748.0,1749.12,1713.8199,1725.45,3907200.0
2019-09-26,1762.79,1763.37,1731.5,1739.84,3536800.0
2019-09-25,1747.36,1773.0,1723.0,1768.33,3493200.0
2019-09-24,1790.61,1795.71,1735.55,1741.61,4616000.0
2019-09-23,1777.0,1792.7,1767.3199,1785.3,2922300.0
2019-09-20,1821.71,1830.63,1780.92,1794.16,5341900.0
2019-09-19,1821.02,1832.5699,1817.9,1821.5,2031500.0
2019-09-18,1817.04,1822.0601,1795.5,1817.46,2505600.0
2019-09-17,1807.08,1823.99,1804.1,1822.55,1982400.0
2019-09-16,1824.02,1825.6899,1800.2,1807.84,3675500.0
2019-09-13,1842.01,1846.12,1835.17,1839.34,1971300.0
2019-09-12,1837.63,1853.66,1834.28,1843.55,2823500.0
2019-09-11,1812.14,1833.42,1809.08,1822.99,2432800.0
2019-09-10,1822.75,1825.8101,1805.34,1820.55,2613900.0
2019-09-09,1841.0,1850.0,1824.61,1831.35,2999500.0
2019-09-06,1838.22,1840.65,1826.4,1833.51,2496900.0
2019-09-05,1821.95,1842.0,1815.58,1840.72,3310800.0
2019-09-04,1805.0,1807.63,1796.23,1800.62,2324100.0
2019-09-03,1770.0,1800.8,1768.0,1789.84,3543000.0
2019-08-30,1797.49,1799.74,1764.5699,1776.29,3058700.0
2019-08-29,1783.0,1798.55,1777.25,1786.4,3015100.0
2019-08-28,1755.0,1767.86,1744.05,1764.25,2419700.0
2019-08-27,1775.73,1779.4,1746.6801,1761.83,3019700.0
2019-08-26,1766.91,1770.0,1743.51,1768.87,3080000.0
2019-08-23,1793.03,1804.9,1745.23,1749.62,5270800.0
2019-08-22,1828.0,1829.41,1800.1,1804.66,2653500.0
2019-08-21,1819.39,1829.58,1815.0,1823.54,2031800.0
2019-08-20,1814.5,1816.8199,1799.88,1801.38,1929500.0
2019-08-19,1818.08,1826.0,1812.61,1816.12,2816300.0
2019-08-16,1792.89,1802.91,1784.55,1792.57,3018000.0
2019-08-15,1781.99,1788.0,1761.96,1776.12,3759100.0
2019-08-14,1793.01,1795.65,1757.22,1762.96,4893600.0
2019-08-13,1783.0,1831.743,1780.0,1824.34,3994000.0
2019-08-12,1795.99,1800.98,1777.0,1784.92,2905500.0
2019-08-09,1828.95,1831.091,1802.22,1807.58,2879800.0
2019-08-08,1806.0,1834.2229,1798.11,1832.89,3701200.0
2019-08-07,1773.99,1798.93,1757.0,1793.4,4526900.0
2019-08-06,1792.23,1793.77,1753.4,1787.83,5070300.0
2019-08-05,1770.22,1788.67,1748.78,1765.13,6058200.0
2019-08-02,1845.07,1846.3981,1808.02,1823.24,4956200.0
2019-08-01,1871.72,1897.92,1844.01,1855.32,4713300.0
2019-07-31,1898.11,1899.55,1849.44,1866.78,4470700.0
2019-07-30,1891.12,1909.89,1883.48,1898.53,2910900.0
2019-07-29,1929.9476,1932.23,1890.54,1912.45,4493200.0
2019-07-26,1942.0,1950.9,1924.51,1943.05,4927100.0
