,open,high,low,close,volume
2019-10-25,23.22,23.25,20.57,22.07,14205151.0
2019-10-24,23.71,23.8,22.55,23.23,4362600.0
2019-10-23,22.97,23.63,22.4,23.54,3654700.0
2019-10-22,22.82,23.41,22.35,22.95,4799400.0
2019-10-21,22.19,22.88,22.05,22.77,4809100.0
2019-10-18,22.4,23.6,22.27,22.44,8684800.0
2019-10-17,21.85,22.33,21.52,22.12,4479100.0
2019-10-16,21.96,22.83,21.75,21.76,6636300.0
2019-10-15,21.81,22.52,21.44,22.18,5360400.0
2019-10-14,21.01,22.23,20.86,21.94,8711800.0
2019-10-11,20.72,21.59,20.72,21.42,6228200.0
2019-10-10,20.59,20.88,20.27,20.43,4104200.0
2019-10-09,20.52,20.73,20.12,20.53,4868400.0
2019-10-08,21.0,21.25,20.24,20.25,6317300.0
2019-10-07,22.23,22.3,21.33,21.4,5465700.0
2019-10-04,23.16,23.51,21.68,22.16,6220200.0
2019-10-03,22.92,23.37,22.44,23.37,5711200.0
2019-10-02,24.04,24.31,23.1,23.2,4286100.0
2019-10-01,25.71,25.88,24.22,24.27,4373800.0
2019-09-30,25.5,25.96,25.46,25.6,3836300.0
2019-09-27,24.87,25.92,24.85,25.7,5141000.0
2019-09-26,25.19,25.42,24.86,25.27,4511000.0
2019-09-25,24.94,25.62,24.85,25.52,4298800.0
2019-09-24,25.95,26.09,25.14,25.38,4172200.0
2019-09-23,25.47,26.34,25.39,26.18,5001600.0
2019-09-20,25.91,26.07,25.54,25.8,6111400.0
2019-09-19,25.86,26.11,25.41,25.76,4999800.0
2019-09-18,25.51,26.13,25.12,25.43,12093200.0
2019-09-17,28.15,28.35,25.75,26.02,9801300.0
2019-09-16,26.86,29.11,25.85,28.45,17812000.0
2019-09-13,24.14,24.47,23.78,24.34,3948600.0
2019-09-12,23.44,24.03,22.96,23.84,3772500.0
2019-09-11,23.87,24.63,23.54,23.99,5081000.0
2019-09-10,23.9,24.45,23.52,23.7,4925800.0
2019-09-09,22.79,23.71,22.64,23.65,6123100.0
2019-09-06,22.3,22.48,21.94,22.35,3853000.0
2019-09-05,22.27,23.15,22.25,22.67,4962100.0
2019-09-04,21.88,22.21,21.61,22.04,4052600.0
2019-09-03,21.07,21.5,20.27,21.41,4961000.0
