,open,high,low,close,volume
2019-10-25,211.48,214.12,210.21,213.26,550554.0
2019-10-24,211.32,212.53,210.71,211.47,669800.0
2019-10-23,208.68,211.29,207.43,210.06,1179800.0
2019-10-22,213.0,213.63,206.7,206.97,1482600.0
2019-10-21,215.72,215.94,213.3,213.5,726300.0
2019-10-18,214.3,215.65,213.78,214.88,633100.0
2019-10-17,214.26,215.73,214.18,214.37,463700.0
2019-10-16,215.04,215.65,213.5,214.21,523900.0
2019-10-15,215.71,216.76,214.72,215.22,679400.0
2019-10-14,216.59,217.92,213.74,213.86,650600.0
2019-10-11,217.53,219.86,216.71,217.29,737600.0
2019-10-10,212.44,215.77,211.77,214.67,741500.0
2019-10-09,210.12,212.66,208.82,211.74,810100.0
2019-10-08,213.35,213.35,207.66,207.76,1025300.0
2019-10-07,213.33,215.9,212.5,213.96,727800.0
2019-10-04,212.13,214.9,211.58,213.88,770700.0
2019-10-03,210.33,212.28,208.59,210.83,833000.0
2019-10-02,213.66,214.0,206.96,210.47,1362500.0
2019-10-01,222.53,223.0,215.96,216.48,741700.0
2019-09-30,219.21,222.1,218.36,221.86,659500.0
2019-09-27,224.23,224.84,219.88,221.06,509500.0
2019-09-26,221.34,224.31,219.85,223.29,561300.0
2019-09-25,219.79,221.05,218.71,220.63,573500.0
2019-09-24,220.65,222.85,219.79,220.41,929600.0
2019-09-23,220.24,222.12,219.73,220.46,632500.0
2019-09-20,223.33,223.74,220.07,221.55,1149400.0
2019-09-19,222.69,224.19,221.86,222.28,858200.0
2019-09-18,222.18,222.26,219.55,221.62,546100.0
2019-09-17,216.87,222.51,215.46,221.57,1008900.0
2019-09-16,221.96,222.2,215.15,215.24,1033800.0
2019-09-13,220.66,222.58,219.97,222.24,1042500.0
2019-09-12,218.23,222.26,217.83,220.67,1203500.0
2019-09-11,213.02,216.44,210.37,216.34,1494100.0
2019-09-10,216.27,216.56,211.99,213.78,2356400.0
2019-09-09,225.95,225.95,214.82,216.36,1580100.0
2019-09-06,225.21,226.26,224.01,225.59,822900.0
2019-09-05,228.96,229.5,223.9,224.57,1233100.0
2019-09-04,227.38,228.38,226.44,227.42,647200.0
2019-09-03,223.97,226.26,223.69,225.56,728600.0
2019-08-30,226.65,226.65,223.78,225.92,875100.0
2019-08-29,228.5,228.93,224.03,224.44,948100.0
2019-08-28,225.23,226.6,224.0,225.79,489000.0
2019-08-27,224.46,225.9,223.5,225.54,644500.0
2019-08-26,222.55,223.43,221.83,222.79,641500.0
2019-08-23,225.45,225.83,219.42,220.64,942300.0
2019-08-22,228.59,229.54,224.96,225.28,733100.0
2019-08-21,227.67,228.94,226.98,228.64,584400.0
2019-08-20,226.65,227.36,225.05,225.73,592000.0
2019-08-19,229.34,230.34,227.39,228.57,747900.0
2019-08-16,227.18,229.4,222.68,228.76,713800.0
2019-08-15,223.58,227.26,222.68,226.34,1132200.0
2019-08-14,226.7,229.92,222.499,222.59,971600.0
2019-08-13,227.75,232.18,226.0,229.67,772500.0
2019-08-12,229.31,231.49,226.88,227.13,906800.0
2019-08-09,228.35,231.21,227.642,229.87,1063300.0
2019-08-08,225.29,229.07,224.64,227.98,951900.0
2019-08-07,220.14,223.99,218.51,223.47,1030600.0
2019-08-06,221.0,221.95,218.01,221.42,851000.0
2019-08-05,221.09,222.49,217.61,220.06,1369700.0
2019-08-02,225.03,225.06,220.73,222.84,1011000.0
2019-08-01,226.26,230.85,225.5,226.37,1486600.0
2019-07-31,230.91,231.6,225.41,228.27,2174000.0
2019-07-30,230.33,232.47,229.25,231.81,968200.0
2019-07-29,230.6552,231.93,229.0,231.19,921600.0
2019-07-26,227.72,230.59,226.11,230.55,2272400.0
2019-07-25,224.0,227.84,219.58,227.65,1292400.0
2019-07-24,227.5568,228.54,224.58,224.86,1106400.0
2019-07-23,226.7,229.27,225.5556,228.86,939000.0
2019-07-22,225.54,226.42,224.86,226.01,855500.0
2019-07-19,225.94,226.89,224.42,224.53,1245000.0
2019-07-18,224.62,226.22,223.81,225.54,1160300.0
2019-07-17,227.86,228.11,226.16,226.43,1000900.0
2019-07-16,227.67,228.6908,226.95,227.1,599500.0
2019-07-15,227.43,228.2,226.77,227.66,701900.0
2019-07-12,226.52,228.32,225.36,227.16,653100.0
2019-07-11,225.5,227.7684,224.37,227.76,763100.0
2019-07-10,227.84,228.49,225.6953,226.26,848600.0
2019-07-09,228.34,228.34,225.23,226.05,1124600.0
2019-07-08,230.36,230.49,227.93,228.31,1006200.0
2019-07-05,229.6,230.6,227.63,230.58,569700.0
2019-07-03,229.82,231.45,228.879,231.4,696600.0
2019-07-02,228.59,230.27,227.5,230.27,729500.0
2019-07-01,227.51,228.965,225.11,228.82,810700.0
2019-06-28,223.48,226.65,222.61,226.37,1522000.0
2019-06-27,224.37,225.1,222.932,223.5,738700.0
2019-06-26,224.95,224.98,221.39,223.93,843700.0
2019-06-25,224.2,225.35,223.58,224.7,926300.0
2019-06-24,222.77,225.28,222.15,223.64,765100.0
2019-06-21,222.43,223.91,221.2551,222.14,1542200.0
2019-06-20,222.1,222.85,220.39,222.05,1397200.0
2019-06-19,218.78,220.63,214.6853,220.39,1342500.0
2019-06-18,218.38,219.77,217.09,218.92,941700.0
2019-06-17,219.4,219.49,215.58,216.87,838000.0
2019-06-14,220.28,220.4,218.91,219.25,721000.0
2019-06-13,220.55,221.4,218.91,220.18,921800.0
2019-06-12,219.29,220.5421,219.03,219.95,1101000.0
2019-06-11,222.99,223.34,218.132,219.05,1552900.0
2019-06-10,224.29,224.61,221.07,221.33,1109900.0
2019-06-07,221.94,224.46,221.77,223.06,1659000.0
2019-06-06,217.82,221.91,216.185,221.49,1839900.0
