,open,high,low,close,volume
2019-10-25,101.68,102.0,100.12,100.23,1671405.0
2019-10-24,102.0,102.24,101.28,101.79,1188700.0
2019-10-23,101.5,101.74,98.4,101.59,2033700.0
2019-10-22,99.44,99.98,98.96,99.09,1277900.0
2019-10-21,99.7,100.52,99.38,100.41,1368700.0
2019-10-18,98.61,99.64,98.5,99.0,1264500.0
2019-10-17,99.0,99.49,98.49,98.64,816000.0
2019-10-16,98.13,98.88,98.08,98.78,1252200.0
2019-10-15,97.4,98.85,96.85,98.42,1103500.0
2019-10-14,96.89,97.36,96.64,96.91,1278300.0
2019-10-11,96.57,98.23,96.57,96.98,1332800.0
2019-10-10,94.91,96.32,94.72,95.51,783000.0
2019-10-09,94.4,95.5,93.74,94.95,1002000.0
2019-10-08,94.57,94.57,92.94,93.18,917300.0
2019-10-07,95.71,96.36,95.25,95.37,986200.0
2019-10-04,94.56,96.18,94.56,96.14,872400.0
2019-10-03,93.55,94.64,92.6,94.62,881400.0
2019-10-02,94.44,94.6,92.8,93.39,1296300.0
2019-10-01,97.0,97.67,95.12,95.28,1639500.0
2019-09-30,96.5,96.67,95.81,96.5,985200.0
2019-09-27,96.81,96.81,95.47,95.73,1586100.0
2019-09-26,96.1,96.91,95.62,96.4,1498100.0
2019-09-25,93.72,96.32,93.36,96.09,1430000.0
2019-09-24,94.08,94.58,92.92,93.83,1567000.0
2019-09-23,93.18,94.15,92.73,93.64,1169200.0
2019-09-20,94.56,94.85,93.64,93.82,1555100.0
2019-09-19,94.33,95.43,94.07,94.24,963000.0
2019-09-18,94.76,94.98,93.08,94.28,1460100.0
2019-09-17,94.6,95.23,93.64,95.08,1325600.0
2019-09-16,94.44,95.95,94.22,95.05,1830500.0
2019-09-13,94.3,95.05,93.92,94.71,2131800.0
2019-09-12,91.97,94.19,91.12,93.95,2276700.0
2019-09-11,89.96,91.53,89.01,91.5,1124800.0
2019-09-10,88.47,89.67,87.76,89.6,1433600.0
2019-09-09,89.96,89.97,88.34,88.97,1297800.0
2019-09-06,90.0,90.24,88.82,89.32,1027100.0
2019-09-05,87.77,89.94,87.77,89.79,1056500.0
2019-09-04,86.73,87.33,86.49,86.7,845200.0
2019-09-03,86.33,86.68,85.36,85.69,980400.0
2019-08-30,88.31,88.54,87.23,87.54,873700.0
2019-08-29,86.37,87.85,86.37,87.62,1147500.0
2019-08-28,84.66,85.77,84.08,85.19,886900.0
2019-08-27,85.82,86.07,84.75,85.04,752800.0
2019-08-26,86.17,86.31,84.85,85.26,1143100.0
2019-08-23,87.41,88.74,85.09,85.4,1384300.0
2019-08-22,88.65,88.82,87.18,87.85,1018100.0
2019-08-21,87.55,88.36,87.35,88.16,1600000.0
2019-08-20,88.01,88.01,86.68,86.74,1201900.0
2019-08-19,87.7,88.88,87.41,88.2,1388100.0
2019-08-16,85.28,86.78,83.78,86.61,1016500.0
2019-08-15,85.42,85.65,83.782,84.39,1783500.0
2019-08-14,86.2,87.19,85.24,85.27,1834200.0
2019-08-13,85.73,89.3528,85.61,88.01,1804200.0
2019-08-12,86.22,86.8551,85.64,86.07,1466900.0
2019-08-09,88.46,88.5,86.79,86.91,1337000.0
2019-08-08,88.44,89.1,87.9,88.74,1753600.0
2019-08-07,86.26,88.071,85.69,87.78,1302500.0
2019-08-06,87.08,87.67,86.31,87.27,1569900.0
2019-08-05,87.29,87.5,85.25,86.21,2056400.0
2019-08-02,90.13,90.13,88.6,89.09,2020400.0
2019-08-01,93.21,93.88,90.57,90.8,1534600.0
2019-07-31,95.02,95.15,92.91,93.32,1160700.0
2019-07-30,94.9647,95.47,94.55,94.76,1191600.0
2019-07-29,95.41,96.05,94.78,95.89,1502800.0
2019-07-26,93.91,95.42,93.71,95.28,1706000.0
2019-07-25,92.11,93.91,91.54,93.86,3456700.0
2019-07-24,94.44,95.7,91.67,92.38,4015500.0
2019-07-23,97.8465,98.59,97.03,98.36,2349400.0
