,open,high,low,close,volume
2019-10-25,27.43,27.68,27.34,27.64,1567680.0
2019-10-24,27.31,27.45,27.06,27.43,2320400.0
2019-10-23,27.04,27.36,26.92,27.24,2528000.0
2019-10-22,27.07,27.24,26.88,27.08,1646900.0
2019-10-21,27.13,27.36,26.95,27.04,2442500.0
2019-10-18,27.68,27.68,27.0,27.01,3007300.0
2019-10-17,27.63,27.78,27.44,27.7,2323400.0
2019-10-16,27.84,27.92,27.47,27.51,2876400.0
2019-10-15,27.0,27.92,26.91,27.86,3250300.0
2019-10-14,26.79,26.99,26.69,26.84,2187200.0
2019-10-11,26.35,26.79,26.35,26.45,2500400.0
2019-10-10,25.58,26.1,25.41,26.02,1745000.0
2019-10-09,25.14,25.69,25.0,25.59,1765600.0
2019-10-08,24.65,25.17,24.55,24.87,3511800.0
2019-10-07,24.85,24.98,24.54,24.75,2928100.0
2019-10-04,24.21,24.5,23.96,24.49,2250500.0
2019-10-03,24.17,24.28,23.74,24.25,2828500.0
2019-10-02,25.0,25.05,23.97,24.2,4048100.0
2019-10-01,26.03,26.12,25.04,25.26,5167100.0
2019-09-30,26.1,26.19,25.9,26.0,4645600.0
2019-09-27,26.33,26.48,26.06,26.11,2495900.0
2019-09-26,26.55,26.6,26.22,26.3,2227000.0
2019-09-25,26.48,26.65,26.23,26.49,4061300.0
2019-09-24,26.8,27.01,26.49,26.53,3337800.0
2019-09-23,26.6,26.8,26.46,26.77,3994500.0
2019-09-20,27.23,27.31,26.49,26.72,5933500.0
2019-09-19,27.33,27.41,27.07,27.14,2833700.0
2019-09-18,27.16,27.34,26.92,27.31,3143700.0
2019-09-17,27.1,27.36,26.82,27.24,2867100.0
2019-09-16,27.0,27.37,27.0,27.2,2064800.0
2019-09-13,27.18,27.25,26.93,27.09,2474200.0
2019-09-12,27.0,27.17,26.84,27.02,2240800.0
2019-09-11,26.59,26.91,26.4,26.89,3026200.0
2019-09-10,26.27,26.74,26.2,26.71,2405300.0
2019-09-09,26.1,26.43,25.99,26.3,3060300.0
2019-09-06,26.12,26.25,25.84,25.99,2928100.0
2019-09-05,26.07,26.2,25.87,26.01,3456900.0
2019-09-04,26.09,26.14,25.87,25.98,2498100.0
2019-09-03,25.71,26.0,25.51,25.98,2972000.0
2019-08-30,26.0,26.08,25.69,25.84,3031900.0
2019-08-29,25.75,26.0,25.56,25.81,2766900.0
2019-08-28,25.19,25.59,24.77,25.43,6764000.0
2019-08-27,25.09,25.48,24.98,25.18,9181400.0
2019-08-26,24.57,25.19,24.39,25.05,7312200.0
2019-08-23,24.9,25.27,24.11,24.31,7807800.0
2019-08-22,25.21,25.43,24.96,25.1,1596300.0
2019-08-21,25.56,25.56,25.17,25.2,1449300.0
2019-08-20,24.93,25.28,24.72,25.23,1710700.0
2019-08-19,25.07,25.19,24.92,25.03,2796600.0
2019-08-16,24.71,24.97,24.4,24.84,1852700.0
2019-08-15,24.82,24.82,24.4,24.57,2888400.0
