,open,high,low,close,volume
2019-10-25,283.26,291.37,283.2231,289.82,1723876.0
2019-10-24,282.89,283.5,278.7,282.31,1689600.0
2019-10-23,282.96,283.54,278.76,280.32,2095700.0
2019-10-22,289.59,290.86,287.24,287.46,1304600.0
2019-10-21,288.44,291.9,287.06,289.57,1303100.0
2019-10-18,289.5,289.94,284.0,286.73,1698100.0
2019-10-17,290.14,291.71,288.32,289.43,1312500.0
2019-10-16,289.0,290.1,286.54,288.48,2004600.0
2019-10-15,282.64,290.62,282.2,290.32,2123000.0
2019-10-14,280.42,282.65,279.88,281.66,1331200.0
2019-10-11,279.49,284.08,279.09,280.91,2369700.0
2019-10-10,274.56,278.78,273.65,274.45,1734000.0
2019-10-09,273.68,274.91,272.02,273.15,1632900.0
2019-10-08,274.06,274.9,268.91,270.33,2275700.0
2019-10-07,280.01,281.02,275.7,276.08,1865800.0
2019-10-04,278.49,281.7,275.2,281.43,2588400.0
2019-10-03,270.0,274.5,267.22,274.43,1709600.0
2019-10-02,273.46,273.8,268.32,270.07,1954300.0
2019-10-01,278.27,279.65,273.38,274.85,1942900.0
2019-09-30,275.79,276.72,272.5,276.07,1982600.0
2019-09-27,276.63,281.28,272.96,274.14,2866000.0
2019-09-26,275.26,278.66,272.68,276.91,2747700.0
2019-09-25,271.75,277.21,270.0,275.77,5558800.0
2019-09-24,287.32,288.9,279.75,282.31,2029200.0
2019-09-23,283.62,287.16,282.08,285.46,1485000.0
2019-09-20,287.67,288.4,281.82,284.26,3552400.0
2019-09-19,288.5,291.95,287.23,290.64,1942100.0
2019-09-18,288.49,290.76,283.88,287.74,1651000.0
2019-09-17,288.02,289.3,283.75,288.83,2191200.0
2019-09-16,286.8,290.27,285.7,288.66,2217600.0
2019-09-13,297.65,297.99,283.89,290.32,6255700.0
2019-09-12,301.43,302.33,296.47,300.58,3310900.0
2019-09-11,296.32,298.78,294.55,298.01,1926000.0
2019-09-10,291.35,294.45,288.82,294.44,2085000.0
2019-09-09,295.0,297.2,290.4,292.61,2168600.0
2019-09-06,291.85,293.3,289.3,291.91,1374800.0
2019-09-05,288.36,293.68,288.36,291.02,2093800.0
2019-09-04,278.79,284.35,278.2,283.02,1986500.0
2019-09-03,280.0,280.85,270.93,274.05,2221000.0
2019-08-30,285.36,285.9,279.9,282.64,1672000.0
2019-08-29,281.49,285.49,281.05,283.37,1642900.0
2019-08-28,274.33,276.41,270.47,276.06,1720200.0
2019-08-27,279.15,280.22,274.91,275.57,1429800.0
2019-08-26,276.95,277.95,275.0,277.22,1424900.0
2019-08-23,283.99,285.48,271.05,272.13,2574200.0
2019-08-22,288.39,289.41,284.55,287.62,1229400.0
2019-08-21,284.64,288.26,284.05,287.5,1938100.0
2019-08-20,278.16,284.96,277.01,280.37,1792000.0
2019-08-19,279.5,280.07,275.61,278.78,1748900.0
2019-08-16,272.15,275.75,271.98,273.78,1745800.0
2019-08-15,272.0,272.78,264.85,268.64,2001000.0
2019-08-14,278.79,280.15,270.38,271.56,2710800.0
2019-08-13,275.2856,285.5,272.03,283.7,2234000.0
2019-08-12,273.38,278.21,272.54,275.64,2004000.0
2019-08-09,269.58,280.55,269.58,275.73,3073500.0
2019-08-08,270.38,272.56,262.5,270.98,2916300.0
2019-08-07,264.03,272.722,262.9983,270.05,2224400.0
2019-08-06,270.13,272.18,264.56,266.44,2219900.0
2019-08-05,271.9701,272.24,264.08,267.66,2776500.0
2019-08-02,282.07,283.8353,275.91,278.53,2008000.0
2019-08-01,289.13,297.82,282.32,285.34,2191100.0
2019-07-31,300.03,300.83,286.67,289.99,2081900.0
2019-07-30,299.09,300.93,297.1,299.56,1116400.0
2019-07-29,301.23,302.55,296.96,301.74,1206800.0
2019-07-26,301.59,303.02,300.53,300.92,1499600.0
2019-07-25,302.13,302.13,299.4,300.39,1574100.0
2019-07-24,301.1933,304.88,300.5,303.77,1900600.0
2019-07-23,299.5,302.36,299.21,300.78,1969200.0
2019-07-22,293.0,299.99,292.24,296.15,3390500.0
2019-07-19,291.83,293.16,289.53,290.0,2204700.0
2019-07-18,286.1652,290.3,283.8,289.78,1935700.0
2019-07-17,285.56,287.29,283.19,285.08,1545300.0
2019-07-16,286.99,287.79,282.39,284.13,1461700.0
2019-07-15,291.1,294.49,287.27,288.34,3033400.0
2019-07-12,276.38,285.93,276.38,285.39,2197100.0
2019-07-11,275.24,277.45,272.95,276.06,2071200.0
2019-07-10,277.86,278.8,274.0,274.5,3013400.0
2019-07-09,273.45,275.98,272.4045,275.53,2613100.0
2019-07-08,280.004,281.19,274.39,274.96,3429100.0
2019-07-05,283.6355,285.44,281.97,282.66,2456500.0
2019-07-03,283.7,288.78,283.015,284.89,4941100.0
2019-07-02,298.88,300.67,293.9,295.33,1901100.0
2019-07-01,301.68,305.7347,296.325,300.35,4483200.0
2019-06-28,287.86,289.3,284.82,287.86,4926500.0
2019-06-27,282.93,288.45,282.23,285.71,2181300.0
2019-06-26,278.58,284.03,278.1,281.44,2477400.0
2019-06-25,279.16,282.88,276.02,276.51,2443600.0
2019-06-24,275.52,279.45,275.0,279.2,2050600.0
2019-06-21,276.61,281.0,273.96,273.99,4539900.0
2019-06-20,282.51,285.45,277.167,279.05,5729100.0
2019-06-19,278.78,279.07,273.71,277.49,2892000.0
2019-06-18,268.15,283.02,266.462,278.05,5492000.0
2019-06-17,264.8632,268.7,261.34,265.97,3578500.0
2019-06-14,258.1119,268.09,257.47,265.93,10079700.0
2019-06-13,281.52,282.89,277.41,281.61,3773500.0
2019-06-12,281.67,283.16,277.41,279.73,2705700.0
2019-06-11,290.49,291.75,279.413,283.48,3710500.0
2019-06-10,276.73,284.77,276.72,280.21,2328000.0
2019-06-07,274.78,277.874,273.28,274.87,2596300.0
2019-06-06,267.02,275.0,265.28,272.79,3268700.0
