,open,high,low,close,volume
2019-10-25,71.85,73.94,71.48,73.15,1410260.0
2019-10-24,72.61,72.96,70.8,72.12,1578400.0
2019-10-23,72.4,72.75,71.85,72.07,1702400.0
2019-10-22,71.7,72.76,71.29,72.4,1506600.0
2019-10-21,71.13,72.08,71.06,71.47,1529700.0
2019-10-18,69.48,70.96,69.24,70.52,2305800.0
2019-10-17,68.9,70.09,68.67,69.88,1801800.0
2019-10-16,67.73,69.04,67.5,68.41,2191100.0
2019-10-15,68.78,69.05,67.94,67.94,1998700.0
2019-10-14,68.96,68.96,68.05,68.72,1322900.0
2019-10-11,67.84,70.18,67.84,69.53,2683200.0
2019-10-10,65.84,67.16,65.84,66.73,1830600.0
2019-10-09,65.89,66.28,65.49,65.7,1693500.0
2019-10-08,66.03,66.34,64.89,65.28,1659400.0
2019-10-07,66.65,67.59,66.57,66.82,1718600.0
2019-10-04,65.82,66.93,65.82,66.89,1630000.0
2019-10-03,64.7,65.69,63.52,65.66,2098200.0
2019-10-02,67.19,67.46,64.38,65.02,2439400.0
2019-10-01,69.2,69.93,67.8,68.01,2319500.0
2019-09-30,68.48,69.31,68.35,68.99,1849100.0
2019-09-27,67.22,68.53,67.22,68.27,1789200.0
2019-09-26,67.46,67.68,66.25,66.96,1806800.0
2019-09-25,68.18,68.22,66.67,67.43,2206500.0
2019-09-24,67.67,68.61,66.8,67.71,2175900.0
2019-09-23,66.6,67.81,66.35,67.41,1550500.0
2019-09-20,68.0,68.37,66.51,66.77,2265800.0
2019-09-19,67.6,68.0,67.43,67.59,1377800.0
2019-09-18,67.86,68.58,66.47,67.15,1710100.0
2019-09-17,68.68,68.87,67.57,68.42,2514800.0
2019-09-16,67.28,69.02,66.92,68.91,2335900.0
2019-09-13,68.35,68.85,67.18,67.54,2579700.0
2019-09-12,67.88,69.28,66.81,67.86,2720100.0
2019-09-11,68.75,69.49,67.45,67.84,2451600.0
2019-09-10,68.84,69.9,68.26,69.02,3092600.0
2019-09-09,67.02,69.3,67.01,69.22,2620400.0
2019-09-06,66.05,67.0,66.04,66.35,2626200.0
2019-09-05,65.05,66.2,64.64,65.76,2745100.0
2019-09-04,63.7,64.47,63.51,63.93,2731900.0
2019-09-03,63.03,64.84,62.48,63.21,4072500.0
2019-08-30,62.89,64.39,62.88,63.65,4712800.0
2019-08-29,65.28,65.89,62.04,63.49,13762500.0
2019-08-28,67.62,69.48,67.54,69.0,3405100.0
2019-08-27,68.65,69.13,67.64,67.82,3432200.0
2019-08-26,67.19,67.75,65.93,67.65,2685500.0
2019-08-23,68.01,68.21,65.24,66.21,4726800.0
2019-08-22,68.0,69.5,67.53,68.8,2433100.0
2019-08-21,67.71,68.61,67.46,67.86,1793100.0
2019-08-20,66.0,67.25,65.72,66.04,1299100.0
2019-08-19,66.56,67.22,65.92,66.26,1431000.0
2019-08-16,64.58,67.66,62.96,65.48,1897300.0
2019-08-15,67.66,67.66,62.96,63.93,3727400.0
2019-08-14,68.5,68.6483,66.39,66.97,3271700.0
2019-08-13,66.74,74.49,65.85,71.29,5658400.0
2019-08-12,66.73,67.112,66.395,66.96,1193700.0
2019-08-09,68.85,69.13,67.08,67.36,1628500.0
2019-08-08,68.49,69.15,68.06,68.91,1819600.0
2019-08-07,67.02,67.97,65.76,67.71,2670600.0
2019-08-06,66.55,67.87,65.88,67.7,2590600.0
2019-08-05,66.8,66.8,64.86,66.14,3758600.0
2019-08-02,68.26,68.97,67.02,68.53,3954400.0
2019-08-01,76.71,77.2284,67.87,68.27,7551400.0
2019-07-31,76.83,77.62,75.56,76.53,1848100.0
2019-07-30,77.34,77.86,76.727,77.0,2016400.0
2019-07-29,77.73,77.87,77.05,77.6,1199600.0
2019-07-26,77.67,78.08,76.21,77.75,1662500.0
2019-07-25,76.799,78.53,76.8,77.07,1873300.0
2019-07-24,76.48,78.13,76.41,77.86,1772300.0
2019-07-23,75.84,76.8,75.51,76.51,1954400.0
2019-07-22,74.99,75.9194,74.73,75.7,2947800.0
2019-07-19,74.05,75.07,73.98,74.71,1787800.0
2019-07-18,73.9357,74.42,73.42,73.84,1665800.0
2019-07-17,74.72,75.01,74.05,74.23,1671900.0
2019-07-16,75.29,75.47,74.2,74.78,2301900.0
2019-07-15,74.7516,75.64,74.43,75.5,2030900.0
2019-07-12,73.95,75.22,73.95,74.77,2262600.0
2019-07-11,71.97,73.76,71.71,73.75,2415700.0
2019-07-10,72.05,72.23,71.31,71.93,2687600.0
2019-07-09,71.67,72.32,71.5,71.86,3624500.0
2019-07-08,72.1307,73.15,71.51,72.0,2527500.0
2019-07-05,71.73,72.14,71.27,71.89,1422900.0
2019-07-03,71.9,72.28,71.776,71.97,1338800.0
2019-07-02,72.43,72.51,70.98,71.64,2116900.0
2019-07-01,71.24,73.65,70.91,72.43,3998800.0
2019-06-28,68.16,69.82,68.16,69.73,3051900.0
2019-06-27,68.4,68.59,68.01,68.47,1679900.0
2019-06-26,67.1418,68.7,66.73,68.14,2453200.0
2019-06-25,67.53,68.0,66.255,66.39,1963700.0
2019-06-24,67.51,67.71,66.82,67.47,1472400.0
2019-06-21,68.36,68.5,67.21,67.54,2868300.0
2019-06-20,68.26,68.51,67.33,68.39,1741300.0
2019-06-19,68.69,69.0,67.31,67.62,2750100.0
2019-06-18,66.94,69.7059,66.72,68.65,3482500.0
2019-06-17,65.8,66.905,65.63,66.63,1968600.0
2019-06-14,65.98,66.29,64.95,66.03,2148000.0
2019-06-13,64.81,65.86,64.81,65.84,1619700.0
2019-06-12,65.07,65.38,64.36,64.45,1555000.0
2019-06-11,65.49,66.04,64.82,65.52,2212100.0
2019-06-10,64.58,66.045,63.94,65.19,3210400.0
2019-06-07,62.63,64.13,62.54,63.72,2655100.0
2019-06-06,63.04,63.41,61.58,62.3,2605500.0
