,open,high,low,close,volume
2019-10-23,22.5,23.2,22.3,23.12,3881027.0
2019-10-22,22.28,22.86,22.1,22.63,2929519.0
2019-10-21,21.76,22.325,21.54,22.12,7276078.0
2019-10-18,22.19,22.58,21.75,21.77,2826912.0
2019-10-17,22.17,22.56,22.04,22.08,4242400.0
2019-10-16,22.31,22.42,21.96,21.99,3471300.0
2019-10-15,22.32,22.69,22.2,22.3,4672500.0
2019-10-14,21.92,22.39,21.8,22.32,3646300.0
2019-10-11,22.12,22.49,21.95,22.23,5342900.0
2019-10-10,21.73,21.96,21.68,21.8,2959700.0
2019-10-09,21.63,21.67,21.27,21.61,2512300.0
2019-10-08,21.69,21.82,21.37,21.38,3177000.0
2019-10-07,22.49,22.55,21.89,21.9,3898900.0
2019-10-04,22.69,22.8,22.29,22.47,4581000.0
2019-10-03,22.03,22.7,21.78,22.69,5886300.0
2019-10-02,22.65,22.65,22.07,22.14,4997400.0
2019-10-01,23.38,23.39,22.66,22.67,6917300.0
2019-09-30,23.88,24.01,23.03,23.2,8175900.0
2019-09-27,23.84,24.38,23.71,24.04,31637300.0
2019-09-26,24.08,24.18,23.4,23.93,8708600.0
2019-09-25,23.4,24.29,23.35,24.29,8950800.0
2019-09-24,23.69,24.11,23.24,23.65,8521300.0
2019-09-23,23.45,24.39,23.45,23.9,12239800.0
2019-09-20,23.27,23.6,22.92,23.59,14539200.0
2019-09-19,23.46,23.53,23.1,23.21,4691400.0
2019-09-18,23.35,23.74,23.08,23.23,5777700.0
2019-09-17,23.39,23.7,22.85,23.38,8635700.0
2019-09-16,23.53,23.89,22.64,23.81,22371500.0
2019-09-13,22.96,23.0,22.2,22.72,10862400.0
2019-09-12,21.65,22.88,21.36,22.64,67849800.0
2019-09-11,23.25,23.7,22.22,22.29,12446500.0
2019-09-10,24.38,24.73,24.02,24.11,3551500.0
2019-09-09,23.66,24.29,23.54,24.18,4558800.0
2019-09-06,23.38,23.65,23.16,23.53,3744000.0
2019-09-05,23.04,24.04,22.94,23.52,4927400.0
2019-09-04,22.45,22.69,22.19,22.61,5410500.0
2019-09-03,21.27,22.21,21.1,22.15,5157400.0
2019-08-30,22.03,22.2,21.59,21.69,4984700.0
2019-08-29,21.86,22.27,21.76,21.88,3308500.0
2019-08-28,21.35,21.99,21.17,21.64,4271400.0
2019-08-27,21.56,21.82,21.25,21.29,3887400.0
2019-08-26,21.2,21.48,20.95,21.3,4018400.0
2019-08-23,21.04,21.85,20.79,20.88,5048700.0
2019-08-22,21.28,21.96,21.28,21.43,4029700.0
2019-08-21,21.29,21.4,21.1,21.24,2906000.0
2019-08-20,21.28,21.29,20.73,21.11,4000000.0
2019-08-19,21.5,21.7,21.24,21.42,4087000.0
2019-08-16,20.87,21.86,20.43,21.06,6012700.0
2019-08-15,21.77,21.86,20.43,20.71,7326700.0
2019-08-14,22.93,23.01,21.755,22.01,5437400.0
2019-08-13,23.31,23.9706,23.23,23.57,3328000.0
2019-08-12,23.5,23.93,23.29,23.42,4479000.0
2019-08-09,24.101,24.11,23.385,23.68,3147200.0
2019-08-08,23.4,24.155,23.07,24.14,4279500.0
2019-08-07,23.08,23.46,22.74,23.36,4421600.0
2019-08-06,24.0103,24.18,23.16,23.69,3429900.0
2019-08-05,23.59,23.95,23.4,23.81,4401200.0
2019-08-02,25.37,25.37,23.93,24.08,5043200.0
2019-08-01,24.94,25.79,24.75,25.27,6346400.0
2019-07-31,24.9,25.95,24.61,25.39,7307200.0
2019-07-30,23.92,24.57,23.64,24.51,6000100.0
2019-07-29,24.79,24.83,23.87,24.09,2924700.0
2019-07-26,24.49,24.91,24.49,24.84,3898300.0
2019-07-25,25.0,25.02,24.4,24.62,3396000.0
2019-07-24,24.3,25.0,24.3,24.86,2889200.0
2019-07-23,23.96,24.52,23.9422,24.31,4163300.0
2019-07-22,23.7,24.15,23.7,23.96,4344400.0
2019-07-19,23.3,23.77,23.03,23.56,5471900.0
2019-07-18,23.13,23.33,22.59,23.31,11212900.0
2019-07-17,24.1,24.27,23.19,23.19,8302000.0
2019-07-16,24.6315,24.65,24.04,24.09,5331900.0
2019-07-15,25.03,25.06,24.62,24.69,3081300.0
2019-07-12,25.34,25.4403,24.98,25.01,2563700.0
2019-07-11,25.32,25.36,25.0,25.24,3322800.0
2019-07-10,25.25,25.45,25.03,25.38,2234200.0
2019-07-09,25.06,25.13,24.84,25.0,3473200.0
2019-07-08,24.49,25.2,24.33,25.19,3622900.0
2019-07-05,24.36,24.55,24.17,24.55,1951800.0
2019-07-03,24.65,24.65,24.02,24.51,1584500.0
2019-07-02,25.16,25.36,24.23,24.52,6348600.0
2019-07-01,24.99,25.5,24.93,25.18,4256600.0
2019-06-28,24.76,25.065,24.42,24.63,9899300.0
2019-06-27,24.74,25.0088,24.56,24.69,3301900.0
2019-06-26,24.7804,25.32,24.63,24.75,3669700.0
2019-06-25,24.65,24.81,24.35,24.62,2885700.0
2019-06-24,25.2,25.35,24.625,24.72,3145700.0
2019-06-21,24.43,25.2,24.43,25.17,7018100.0
2019-06-20,23.68,24.44,23.68,24.36,4282400.0
2019-06-19,23.16,23.37,22.93,23.32,3187400.0
2019-06-18,22.47,23.155,22.44,23.09,5238100.0
2019-06-17,22.12,22.825,21.91,22.4,3804700.0
2019-06-14,22.75,22.75,21.77,22.15,4031700.0
2019-06-13,22.62,22.79,22.35,22.78,3088800.0
2019-06-12,22.92,22.99,22.28,22.3,3622500.0
2019-06-11,23.6,23.72,23.14,23.16,3697500.0
2019-06-10,23.48,23.765,23.26,23.41,3219600.0
2019-06-07,23.08,23.54,22.82,23.32,4241000.0
2019-06-06,22.27,23.075,22.21,22.95,5709900.0
2019-06-05,22.05,22.28,21.45,22.23,3905700.0
2019-06-04,22.13,22.29,21.51,22.04,4720500.0
