,open,high,low,close,volume
2019-10-25,285.34,290.18,284.1047,288.04,1960745.0
2019-10-24,278.21,287.04,278.01,285.68,2803200.0
2019-10-23,285.24,286.67,275.66,278.82,5522400.0
2019-10-22,310.0,318.0,279.16,281.87,21843100.0
2019-10-21,222.0,225.78,221.56,223.51,2358100.0
2019-10-18,225.49,225.49,220.01,220.06,2801700.0
2019-10-17,227.85,228.97,223.48,225.6,1776600.0
2019-10-16,226.23,229.75,225.96,227.72,1365300.0
2019-10-15,225.41,228.33,225.16,226.06,1976600.0
2019-10-14,222.5,226.38,221.84,225.76,2553900.0
2019-10-11,225.44,227.5,220.51,223.21,2388300.0
2019-10-10,222.14,224.21,221.96,223.0,1471200.0
2019-10-09,223.15,224.15,221.9,222.13,1429300.0
2019-10-08,225.16,226.1,221.56,221.94,1973700.0
2019-10-07,225.64,229.76,224.0,226.99,1572000.0
2019-10-04,223.1,225.5,222.2,224.0,1214600.0
2019-10-03,221.7,223.48,219.7,222.5,1827500.0
2019-10-02,226.56,228.35,220.61,221.26,1990800.0
2019-10-01,232.76,234.04,224.67,227.2,1805800.0
2019-09-30,230.28,235.25,229.42,232.82,1182400.0
2019-09-27,231.28,233.24,228.13,230.22,1340200.0
2019-09-26,236.61,236.86,228.8,230.22,1647200.0
2019-09-25,236.2,239.19,235.67,235.9,1148700.0
2019-09-24,240.0,241.47,235.15,236.2,1545300.0
2019-09-23,238.58,242.71,237.37,239.96,1317800.0
2019-09-20,235.43,242.21,234.3,238.79,3577300.0
2019-09-19,235.11,238.42,234.23,235.62,1237800.0
2019-09-18,239.36,239.52,233.32,235.17,1562400.0
2019-09-17,234.86,239.5,234.36,238.7,1205700.0
2019-09-16,236.17,240.5,234.82,236.12,1598400.0
2019-09-13,232.0,237.98,232.0,236.63,1689000.0
2019-09-12,236.31,236.31,226.06,232.31,1953500.0
2019-09-11,230.23,238.74,229.78,235.96,1823600.0
2019-09-10,230.25,234.8,230.18,233.0,1718900.0
2019-09-09,225.58,231.06,224.39,230.0,1651800.0
2019-09-06,224.46,227.27,222.7,224.57,1201300.0
2019-09-05,220.44,225.43,220.44,223.96,1491900.0
2019-09-04,218.75,219.39,215.78,219.29,1166200.0
2019-09-03,218.15,219.89,216.09,217.44,1385000.0
2019-08-30,220.73,221.68,217.9,219.75,1226300.0
2019-08-29,223.1,223.75,219.8,220.16,1175300.0
2019-08-28,220.55,223.48,219.0,221.07,1408200.0
2019-08-27,225.0,225.64,219.71,220.79,1564000.0
2019-08-26,227.32,227.99,222.95,223.76,983600.0
2019-08-23,231.26,231.87,225.1,225.85,1288100.0
2019-08-22,233.42,233.6,229.53,232.06,732900.0
2019-08-21,232.8,233.78,231.5,233.18,807500.0
2019-08-20,235.09,235.55,230.75,231.28,843600.0
2019-08-19,233.37,236.64,233.18,235.72,1021800.0
2019-08-16,229.39,232.8649,227.44,231.68,953900.0
2019-08-15,227.08,228.66,226.53,227.63,1034400.0
2019-08-14,230.0,230.565,226.02,226.72,1390900.0
2019-08-13,230.83,234.76,230.2,233.23,1067400.0
2019-08-12,234.09,235.53,229.45,230.96,1233700.0
2019-08-09,237.84,238.0,234.4,235.8,1036000.0
2019-08-08,238.16,239.92,235.78,238.23,1651400.0
2019-08-07,237.81,239.146,233.07,237.58,1169400.0
2019-08-06,236.45,240.986,232.3,240.17,1389900.0
2019-08-05,240.35,240.99,234.15,235.21,1327000.0
2019-08-02,242.12,242.98,239.33,242.27,1111100.0
2019-08-01,238.76,245.3,236.42,243.06,1871000.0
2019-07-31,239.76,241.4476,235.24,237.82,1074900.0
2019-07-30,237.33,242.64,236.06,241.51,1215900.0
2019-07-29,238.21,239.3,235.93,237.11,883600.0
2019-07-26,233.9153,238.45,232.32,238.21,1544500.0
2019-07-25,241.32,241.5619,237.3,238.21,932800.0
2019-07-24,244.7,245.93,239.15,241.24,1565000.0
2019-07-23,239.0,246.99,238.21,243.88,3295000.0
2019-07-22,232.52,235.24,231.29,232.48,1274700.0
2019-07-19,232.86,234.13,231.09,231.27,1315700.0
2019-07-18,229.85,232.34,228.58,232.23,1195800.0
2019-07-17,231.53,231.99,229.35,229.44,851700.0
2019-07-16,234.3,235.04,231.06,231.55,1207200.0
2019-07-15,232.53,234.35,229.89,233.62,1028300.0
2019-07-12,230.89,233.45,230.64,231.42,1248700.0
2019-07-11,231.8,232.14,227.19,231.6,1421200.0
2019-07-10,233.88,235.98,229.46,232.43,1281400.0
2019-07-09,229.49,234.36,228.53,234.22,1235600.0
2019-07-08,234.25,234.25,228.03,230.84,1539900.0
2019-07-05,236.91,238.91,233.23,234.25,1264500.0
2019-07-03,237.0,238.7431,236.24,238.27,680200.0
