,open,high,low,close,volume
2019-10-25,71.73,72.31,71.18,71.91,1291644.0
2019-10-24,71.27,72.57,71.27,71.8,1380700.0
2019-10-23,71.03,72.03,70.68,71.08,1609800.0
2019-10-22,72.13,73.14,70.83,70.85,1576700.0
2019-10-21,74.36,74.36,71.75,72.29,1917400.0
2019-10-18,74.04,74.83,72.86,74.11,2081700.0
2019-10-17,72.36,74.91,72.18,73.87,2296300.0
2019-10-16,72.31,72.58,71.16,72.58,1613200.0
2019-10-15,73.28,73.58,72.11,72.16,1705800.0
2019-10-14,73.36,73.46,72.53,72.92,1277300.0
2019-10-11,73.31,73.86,72.53,72.61,2165400.0
2019-10-10,72.03,73.11,71.37,72.84,1586700.0
2019-10-09,71.99,72.98,71.83,72.27,1710900.0
2019-10-08,71.79,72.27,70.73,71.41,1574600.0
2019-10-07,72.41,73.16,71.88,72.45,1597500.0
2019-10-04,71.92,73.38,71.86,72.73,2199800.0
2019-10-03,70.88,72.26,70.43,71.64,1676900.0
2019-10-02,71.5,71.79,69.62,70.82,3304000.0
2019-10-01,72.97,73.16,71.88,72.11,2095500.0
2019-09-30,73.0,73.12,72.48,72.81,2915100.0
2019-09-27,74.44,74.88,72.66,72.79,2346900.0
2019-09-26,74.3,75.16,73.75,74.47,1594700.0
2019-09-25,74.6,74.82,72.83,73.5,2927000.0
2019-09-24,75.01,75.82,74.5,74.72,2465000.0
2019-09-23,74.0,74.85,73.62,74.48,1895200.0
2019-09-20,74.51,75.06,73.81,73.84,3757500.0
2019-09-19,74.26,74.73,73.65,74.28,1788500.0
2019-09-18,75.0,75.23,73.56,74.51,2183900.0
2019-09-17,72.49,75.19,72.2,75.0,2805800.0
2019-09-16,72.76,73.23,72.19,72.2,1824800.0
2019-09-13,73.11,73.35,71.93,72.73,2414700.0
2019-09-12,72.46,74.67,72.33,73.36,3284700.0
2019-09-11,71.44,72.26,70.76,71.88,4790400.0
2019-09-10,73.92,74.09,71.3,71.89,6394200.0
2019-09-09,78.28,78.36,74.6,75.07,3770600.0
2019-09-06,78.71,79.22,78.12,78.3,2212600.0
2019-09-05,81.25,81.88,78.68,78.71,2103500.0
2019-09-04,80.55,80.85,80.03,80.78,1321100.0
2019-09-03,80.0,80.3,79.47,79.93,1241800.0
2019-08-30,80.75,80.97,79.95,80.41,1911100.0
2019-08-29,79.82,80.68,79.47,80.43,923700.0
2019-08-28,78.79,79.29,77.8,79.27,1982200.0
2019-08-27,79.18,80.0,78.99,79.02,1984600.0
2019-08-26,78.41,79.15,78.21,78.76,1556500.0
2019-08-23,79.62,80.0,77.88,78.2,1932400.0
2019-08-22,79.78,80.26,79.21,79.76,1433200.0
2019-08-21,79.55,80.49,79.21,79.73,1719200.0
2019-08-20,79.51,80.29,79.05,79.19,1932300.0
2019-08-19,80.04,80.66,79.67,79.74,1604600.0
2019-08-16,78.42,79.77,76.79,79.63,1701600.0
2019-08-15,76.99,78.6,76.79,78.0,1738300.0
2019-08-14,78.31,78.85,76.53,76.85,2740500.0
2019-08-13,76.9,79.46,76.69,79.29,2357700.0
2019-08-12,77.34,77.355,76.245,76.84,1461100.0
2019-08-09,76.1238,77.88,76.08,77.46,1643900.0
2019-08-08,75.29,76.64,75.29,76.08,2102200.0
2019-08-07,73.42,75.36,72.93,75.29,1810000.0
2019-08-06,73.96,74.92,73.4986,73.95,2384400.0
2019-08-05,73.25,73.96,72.9514,73.25,2466200.0
2019-08-02,74.24,75.12,73.59,74.73,2848200.0
2019-08-01,71.4209,76.28,71.0,74.74,3521400.0
2019-07-31,72.58,72.73,71.0,71.48,2916300.0
2019-07-30,72.18,72.93,71.99,72.78,1589200.0
2019-07-29,72.09,72.41,71.63,72.28,1791800.0
2019-07-26,71.5,72.36,71.38,72.14,1897600.0
2019-07-25,72.11,72.42,71.17,71.29,1452600.0
2019-07-24,71.74,72.3,71.53,72.03,1191900.0
2019-07-23,71.53,72.0,71.21,71.78,1074000.0
2019-07-22,70.7,71.4,70.48,71.11,1169900.0
2019-07-19,71.15,71.31,70.53,70.7,2067600.0
2019-07-18,67.93,70.94,67.59,70.9,3391500.0
2019-07-17,69.23,69.52,68.51,68.51,1645400.0
2019-07-16,69.47,69.56,68.82,69.07,2336100.0
2019-07-15,69.76,70.1,69.13,69.29,1880700.0
2019-07-12,71.15,71.3,69.46,70.0,1601800.0
2019-07-11,70.43,71.34,70.09,71.15,1802000.0
2019-07-10,71.0027,71.51,70.29,70.43,2241900.0
2019-07-09,70.2458,70.93,70.04,70.92,1680700.0
2019-07-08,71.17,71.53,70.45,70.6,1988800.0
2019-07-05,71.74,72.0,70.94,71.77,1497800.0
2019-07-03,71.9,72.34,71.67,72.25,1320500.0
2019-07-02,70.41,71.59,70.26,71.56,3204400.0
2019-07-01,70.58,71.32,69.63,70.26,2293100.0
2019-06-28,68.12,70.38,68.059,69.99,10224100.0
2019-06-27,67.84,68.37,67.55,68.1,2557800.0
2019-06-26,68.15,68.15,66.89,67.75,2279300.0
2019-06-25,67.52,68.2013,67.295,68.06,2402000.0
2019-06-24,67.12,67.675,66.855,67.18,2807300.0
2019-06-21,67.29,67.3,66.46,67.08,2237800.0
2019-06-20,67.23,67.35,66.69,67.25,1537200.0
2019-06-19,66.67,66.8,66.0,66.66,1920900.0
2019-06-18,65.85,66.99,65.4,66.45,2167900.0
2019-06-17,65.59,65.79,65.28,65.32,1130400.0
2019-06-14,65.09,65.5682,64.71,65.41,1933300.0
2019-06-13,66.79,66.83,64.52,64.92,2046700.0
2019-06-12,66.53,66.785,66.265,66.6,1150800.0
2019-06-11,66.5,66.65,65.85,66.44,2053300.0
2019-06-10,66.19,66.522,65.78,66.32,2020100.0
2019-06-07,65.94,66.39,65.69,65.9,2065800.0
2019-06-06,64.3648,65.73,64.34,65.66,2918800.0
