,open,high,low,close,volume
2019-10-25,54.5,55.25,54.4,54.98,10931379.0
2019-10-24,54.85,54.97,53.86,54.37,14594500.0
2019-10-23,54.41,54.82,53.87,54.77,13025500.0
2019-10-22,55.99,57.37,54.37,54.42,26890200.0
2019-10-21,53.15,53.37,52.56,53.2,13098200.0
2019-10-18,52.45,53.17,52.38,53.03,10859800.0
2019-10-17,52.1,52.75,51.91,52.42,8926000.0
2019-10-16,51.95,52.07,51.29,51.51,8619300.0
2019-10-15,51.64,52.14,51.47,51.83,7414300.0
2019-10-14,51.51,51.67,51.28,51.56,5653200.0
2019-10-11,51.34,51.98,51.22,51.61,11271800.0
2019-10-10,50.76,50.99,50.4,50.78,11166700.0
2019-10-09,50.62,51.09,50.32,50.83,7815700.0
2019-10-08,50.58,51.19,49.96,50.36,11120600.0
2019-10-07,50.65,51.49,50.56,50.88,9367100.0
2019-10-04,49.63,50.82,49.52,50.75,10081500.0
2019-10-03,48.84,49.55,48.55,49.55,9227000.0
2019-10-02,50.3,50.37,48.71,49.21,12596200.0
2019-10-01,51.09,51.44,50.35,50.65,9932400.0
2019-09-30,50.52,51.43,50.32,50.71,15950500.0
2019-09-27,50.01,50.57,49.98,50.22,11466100.0
2019-09-26,50.01,50.17,49.38,49.97,8194600.0
2019-09-25,50.01,50.23,49.69,49.84,7078700.0
2019-09-24,50.79,50.91,49.76,50.01,9342200.0
2019-09-23,50.71,51.06,50.47,50.52,9178700.0
2019-09-20,50.07,50.86,49.99,50.57,13449700.0
2019-09-19,49.89,50.53,49.66,50.07,8016200.0
2019-09-18,49.74,49.98,49.42,49.86,8326700.0
2019-09-17,49.49,50.1,49.35,49.74,10059800.0
2019-09-16,49.49,49.74,49.21,49.47,6481800.0
2019-09-13,49.95,50.35,49.29,49.43,7343500.0
2019-09-12,49.46,50.05,49.21,49.61,9047000.0
2019-09-11,48.76,49.55,48.61,49.24,8153800.0
2019-09-10,47.75,48.76,47.52,48.56,9807000.0
2019-09-09,48.4,48.45,47.49,48.09,7470800.0
2019-09-06,48.42,48.8,48.17,48.27,8241800.0
2019-09-05,48.3,48.58,47.93,48.51,7320900.0
2019-09-04,48.43,48.43,47.53,48.12,8140000.0
2019-09-03,47.89,48.16,47.26,48.04,7708200.0
2019-08-30,48.4,48.59,47.8,48.07,8126000.0
2019-08-29,48.95,49.14,47.77,48.27,10342000.0
2019-08-28,47.7,48.68,47.4,48.66,8521100.0
2019-08-27,48.33,48.47,47.74,47.93,14748000.0
2019-08-26,48.42,49.08,47.72,48.11,20731500.0
2019-08-23,47.77,48.2,46.29,46.58,16319900.0
2019-08-22,47.95,48.23,47.47,47.86,6378500.0
2019-08-21,48.0,48.01,47.44,47.77,6729200.0
2019-08-20,47.47,47.8,47.24,47.63,9176300.0
2019-08-19,47.08,47.84,47.02,47.46,7788700.0
2019-08-16,45.97,47.06,45.32,46.98,9630200.0
2019-08-15,45.83,46.07,45.3197,45.75,8513700.0
2019-08-14,46.8901,46.97,45.54,45.64,14371700.0
2019-08-13,46.44,46.96,46.15,46.49,8496200.0
2019-08-12,47.0,47.21,46.21,46.51,9441500.0
2019-08-09,47.29,47.84,47.1,47.32,12213600.0
2019-08-08,46.43,47.37,46.26,47.29,13955700.0
2019-08-07,45.26,46.455,45.08,46.24,16780700.0
2019-08-06,45.68,45.6978,45.0,45.69,12146800.0
2019-08-05,45.26,45.9,44.9,45.38,17156700.0
2019-08-02,45.25,46.03,45.11,45.99,17929000.0
2019-08-01,44.55,45.5,44.41,45.2,16077500.0
2019-07-31,44.37,45.05,44.0,44.41,12863100.0
2019-07-30,45.05,45.33,44.48,44.56,13906500.0
2019-07-29,45.0,45.51,44.91,45.39,14301000.0
2019-07-26,45.98,46.11,44.26,45.37,20318100.0
2019-07-25,42.9,45.64,42.8203,45.4,33799300.0
2019-07-24,42.96,43.31,42.68,43.23,14490600.0
2019-07-23,42.81,43.07,42.48,43.05,17663400.0
2019-07-22,43.4,43.51,42.72,42.77,12390600.0
2019-07-19,44.11,44.19,43.26,43.33,12023100.0
2019-07-18,44.19,44.2,43.53,44.05,13177600.0
2019-07-17,44.47,44.55,44.0594,44.13,10815700.0
2019-07-16,44.15,44.51,44.08,44.45,11590900.0
2019-07-15,44.28,44.57,44.05,44.19,8885400.0
2019-07-12,44.57,44.65,43.81,44.27,14254900.0
2019-07-11,45.88,45.89,44.17,44.53,23338400.0
2019-07-10,46.04,46.14,45.75,45.96,8807200.0
2019-07-09,45.85,46.37,45.7,46.04,9456700.0
2019-07-08,45.72,45.83,45.3,45.77,11884000.0
2019-07-05,46.53,46.67,45.8703,45.89,9635600.0
2019-07-03,46.49,46.6,46.23,46.56,6121500.0
2019-07-02,46.46,46.68,46.18,46.68,10957000.0
2019-07-01,45.71,46.29,45.42,46.18,14049600.0
2019-06-28,45.38,45.4,44.92,45.35,15627000.0
2019-06-27,44.95,45.566,44.95,45.1,10918600.0
2019-06-26,45.86,45.98,44.54,44.92,21924200.0
2019-06-25,45.81,46.56,45.65,45.77,24456700.0
2019-06-24,47.22,47.44,45.57,45.68,36621800.0
2019-06-21,48.82,49.39,48.19,49.34,14979300.0
2019-06-20,49.0,49.55,48.64,48.89,9441600.0
2019-06-19,48.08,48.67,47.71,48.61,8720800.0
2019-06-18,48.28,48.68,47.71,47.79,11523700.0
2019-06-17,47.79,48.47,47.65,48.21,9514200.0
2019-06-14,47.33,48.03,47.2,47.56,10186000.0
2019-06-13,47.53,47.736,46.97,47.33,9328000.0
2019-06-12,46.99,47.66,46.898,47.63,10651400.0
2019-06-11,46.2,47.02,46.04,46.87,11030300.0
2019-06-10,46.73,46.965,45.91,46.01,10445300.0
2019-06-07,46.52,46.945,46.48,46.75,6801600.0
2019-06-06,46.82,46.87,46.12,46.15,12206200.0
