,open,high,low,close,volume
2019-10-25,39.12,39.89,39.04,39.72,1297755.0
2019-10-24,40.08,40.5,39.24,39.3,948400.0
2019-10-23,39.74,40.0,39.17,39.98,1087600.0
2019-10-22,38.81,39.75,38.56,39.74,1307800.0
2019-10-21,39.0,39.55,38.8,38.98,1299800.0
2019-10-18,38.06,38.96,37.85,38.74,1885100.0
2019-10-17,38.49,38.49,37.81,38.02,2206900.0
2019-10-16,37.83,38.46,37.75,38.33,1894200.0
2019-10-15,37.1,38.02,36.76,37.73,1076700.0
2019-10-14,37.0,37.08,36.49,37.07,951900.0
2019-10-11,36.13,37.39,36.09,37.2,1905900.0
2019-10-10,34.92,35.56,34.92,35.4,1013500.0
2019-10-09,34.63,34.88,34.28,34.71,1032700.0
2019-10-08,34.39,34.51,33.89,34.12,1032200.0
2019-10-07,34.99,35.57,34.57,34.96,973100.0
2019-10-04,34.9,35.16,34.69,35.15,1247800.0
2019-10-03,34.53,34.83,34.01,34.82,1343500.0
2019-10-02,35.37,35.44,34.36,34.7,1579200.0
2019-10-01,36.81,37.03,35.77,35.93,1395900.0
2019-09-30,36.54,36.86,36.16,36.68,1276100.0
2019-09-27,36.76,37.08,36.15,36.39,1313600.0
2019-09-26,36.89,36.89,36.25,36.57,1080700.0
2019-09-25,36.14,36.92,35.76,36.84,1119500.0
2019-09-24,36.94,37.13,36.08,36.23,1106400.0
2019-09-23,36.31,37.3,36.24,36.81,1046500.0
2019-09-20,37.12,37.62,36.49,36.77,2876000.0
2019-09-19,37.49,37.71,36.98,37.03,1506500.0
2019-09-18,38.54,38.66,37.35,37.57,2330600.0
2019-09-17,39.05,39.17,38.1,38.54,2181100.0
2019-09-16,39.49,40.3,39.16,39.49,1379300.0
2019-09-13,39.61,40.45,39.55,40.0,2034900.0
2019-09-12,38.77,39.32,38.03,39.24,1729800.0
2019-09-11,38.44,39.14,37.46,39.12,2527900.0
2019-09-10,36.54,38.46,36.49,38.41,2163200.0
2019-09-09,35.79,36.82,35.66,36.66,1480400.0
2019-09-06,35.24,35.6,34.99,35.42,1358000.0
2019-09-05,33.81,35.36,33.77,35.09,2203700.0
2019-09-04,32.87,33.27,32.77,33.21,1569500.0
2019-09-03,32.26,32.35,31.75,32.32,1439600.0
2019-08-30,32.98,33.24,32.52,32.63,1173900.0
2019-08-29,32.2,32.87,32.2,32.75,1590400.0
2019-08-28,31.0,31.88,30.84,31.82,1420700.0
2019-08-27,31.58,32.11,31.02,31.14,1875600.0
2019-08-26,31.33,31.47,30.77,31.06,1232200.0
2019-08-23,31.58,31.83,30.71,30.88,2411900.0
2019-08-22,32.21,32.4,31.69,31.8,985800.0
2019-08-21,32.29,32.49,32.05,32.06,1070500.0
2019-08-20,32.37,32.37,31.54,31.75,1205600.0
2019-08-19,32.56,32.73,32.32,32.52,1527300.0
2019-08-16,31.38,32.12,30.84,32.0,1391200.0
2019-08-15,31.53,31.7,30.84,31.08,1530200.0
2019-08-14,32.6,32.64,31.38,31.5,2236500.0
2019-08-13,32.97,34.22,32.69,33.24,1446800.0
2019-08-12,33.47,33.8,32.9484,33.02,1335700.0
2019-08-09,34.71,34.75,33.76,33.81,1739900.0
2019-08-08,34.57,35.165,34.34,34.98,1636300.0
2019-08-07,33.86,34.4682,33.7,34.41,2222700.0
2019-08-06,34.91,35.13,34.09,34.36,2354000.0
2019-08-05,35.01,35.25,34.3199,34.46,2384500.0
2019-08-02,36.0,36.09,35.16,35.84,2011600.0
2019-08-01,37.95,38.08,36.03,36.25,2114300.0
2019-07-31,38.26,38.4,37.21,37.8,2190200.0
2019-07-30,38.29,38.47,37.71,38.08,2874400.0
2019-07-29,39.05,39.38,38.82,38.85,1961000.0
2019-07-26,40.05,40.05,38.69,39.16,2909900.0
2019-07-25,41.93,42.05,39.85,40.57,3449900.0
2019-07-24,41.56,42.5,41.53,42.48,2379700.0
2019-07-23,41.06,42.06,40.78,41.68,3197500.0
2019-07-22,40.21,40.73,39.86,39.98,2174400.0
2019-07-19,39.58,40.77,39.53,40.04,1910100.0
2019-07-18,39.29,39.59,39.15,39.35,1143000.0
2019-07-17,40.22,40.37,39.33,39.48,1422200.0
2019-07-16,38.55,40.5,38.23,40.39,2308800.0
2019-07-15,40.12,40.27,39.41,39.72,1318900.0
2019-07-12,39.3,40.15,39.04,39.97,1103800.0
2019-07-11,39.15,39.22,38.52,39.02,1340600.0
2019-07-10,39.39,39.76,38.75,39.23,1312300.0
2019-07-09,39.81,40.07,38.82,39.3,1595500.0
2019-07-08,40.49,40.82,40.02,40.26,1425000.0
2019-07-05,40.38,41.34,40.38,40.77,1039600.0
2019-07-03,41.36,41.38,40.64,40.69,762700.0
2019-07-02,41.86,41.97,40.9006,41.09,1714200.0
2019-07-01,42.8004,43.21,41.57,41.95,1848200.0
2019-06-28,42.16,42.58,41.92,41.98,2950100.0
2019-06-27,42.07,42.39,41.94,42.13,1290300.0
2019-06-26,41.58,42.04,41.49,41.59,1887300.0
2019-06-25,41.87,41.96,41.41,41.49,1162800.0
2019-06-24,41.77,42.1312,41.42,41.7,1092500.0
2019-06-21,42.2,42.34,41.79,42.01,1972300.0
2019-06-20,41.97,42.33,41.745,42.22,1531600.0
2019-06-19,41.7314,41.76,41.21,41.44,1296400.0
2019-06-18,41.28,42.12,41.28,41.46,1395100.0
2019-06-17,40.87,41.43,40.79,41.03,1323900.0
2019-06-14,40.9523,41.03,40.17,40.95,1267800.0
2019-06-13,40.6,41.12,40.42,41.11,1316100.0
2019-06-12,40.87,40.87,40.24,40.58,1620700.0
2019-06-11,40.7734,41.195,40.69,40.92,1288000.0
2019-06-10,40.32,40.8,39.96,40.33,1529300.0
2019-06-07,39.21,39.92,39.0,39.77,1575400.0
2019-06-06,38.67,39.115,38.02,38.95,1354900.0
