,open,high,low,close,volume
2019-10-25,132.1,133.53,131.27,132.18,429902.0
2019-10-24,131.23,132.62,130.58,132.37,534700.0
2019-10-23,130.16,131.26,129.8,130.97,752200.0
2019-10-22,130.15,131.15,128.87,130.84,680000.0
2019-10-21,128.1,129.99,128.1,129.98,530800.0
2019-10-18,127.91,128.57,126.9,128.36,507100.0
2019-10-17,128.07,128.32,127.08,127.66,542300.0
2019-10-16,128.36,129.54,127.78,128.34,520300.0
2019-10-15,127.32,128.91,126.67,128.85,555600.0
2019-10-14,128.12,128.12,126.26,127.57,384500.0
2019-10-11,127.78,129.26,127.65,128.2,571100.0
2019-10-10,127.93,128.25,127.11,127.18,409400.0
2019-10-09,127.9,128.34,127.16,127.86,1187300.0
2019-10-08,127.6,128.28,126.57,127.08,818200.0
2019-10-07,128.14,129.35,127.83,128.15,330000.0
2019-10-04,128.03,128.87,127.53,128.71,496500.0
2019-10-03,125.44,128.18,124.58,127.89,1021900.0
2019-10-02,128.01,128.23,124.96,125.44,1489500.0
2019-10-01,129.88,130.29,127.53,128.68,634300.0
2019-09-30,129.9,130.52,129.18,129.66,780200.0
2019-09-27,131.96,131.96,129.16,130.12,894000.0
2019-09-26,130.75,132.66,130.45,132.59,739600.0
2019-09-25,129.61,130.92,128.97,130.17,992800.0
2019-09-24,130.61,131.02,128.65,129.52,1213200.0
2019-09-23,129.52,131.43,129.03,130.25,1006200.0
2019-09-20,130.53,132.12,129.76,130.11,3669500.0
2019-09-19,130.94,131.02,129.61,130.03,768900.0
2019-09-18,131.48,131.48,129.29,130.44,843900.0
2019-09-17,131.9,132.24,130.04,131.2,832800.0
2019-09-16,131.33,132.13,130.27,132.03,792500.0
2019-09-13,133.49,134.09,130.65,131.4,868800.0
2019-09-12,132.62,133.55,130.35,133.43,1146400.0
2019-09-11,130.71,132.03,129.67,132.02,738400.0
2019-09-10,129.67,130.91,129.05,130.91,1045900.0
2019-09-09,129.84,130.94,126.18,130.36,984700.0
2019-09-06,129.92,130.59,129.64,130.17,472600.0
2019-09-05,129.9,129.9,127.79,129.62,619400.0
2019-09-04,129.73,130.51,129.11,129.72,575500.0
2019-09-03,127.77,128.87,127.45,128.8,548200.0
2019-08-30,128.64,128.99,127.87,128.42,453500.0
2019-08-29,127.43,128.65,127.06,128.09,364500.0
2019-08-28,126.2,126.99,125.97,126.64,333600.0
2019-08-27,127.75,128.16,126.12,126.24,587000.0
2019-08-26,126.79,127.11,125.54,127.03,462700.0
2019-08-23,127.49,128.19,125.39,125.83,566700.0
2019-08-22,128.21,128.29,126.29,127.93,473900.0
2019-08-21,127.75,128.49,126.82,127.67,742100.0
2019-08-20,127.9,128.6,127.35,127.59,492800.0
2019-08-19,129.13,129.22,128.18,128.39,404800.0
2019-08-16,127.47,128.76,125.55,128.21,567400.0
2019-08-15,125.55,127.44,125.55,127.09,760400.0
2019-08-14,126.48,126.865,125.24,125.62,582300.0
2019-08-13,126.75,128.09,126.45,127.28,594100.0
2019-08-12,128.88,128.95,126.39,126.87,725700.0
2019-08-09,130.71,130.995,128.2622,129.34,536900.0
2019-08-08,128.77,131.28,128.125,130.9,616500.0
2019-08-07,126.15,129.73,125.34,128.47,733800.0
2019-08-06,127.7208,128.99,126.46,127.19,896300.0
2019-08-05,129.13,129.13,125.7,127.34,928400.0
2019-08-02,130.43,131.24,129.57,130.15,506100.0
2019-08-01,132.38,132.97,128.95,130.34,1037700.0
2019-07-31,134.5,136.63,132.22,132.95,884000.0
2019-07-30,132.99,134.28,132.05,133.01,546900.0
2019-07-29,131.6714,133.02,131.24,132.29,660300.0
2019-07-26,130.83,131.54,130.29,131.3,460700.0
2019-07-25,130.19,130.85,129.64,130.6,451200.0
2019-07-24,129.5515,130.58,129.26,130.31,486100.0
2019-07-23,129.05,130.22,128.4,130.05,512000.0
2019-07-22,127.8074,128.62,127.1,128.4,756500.0
2019-07-19,130.73,131.02,127.97,128.07,565500.0
2019-07-18,130.26,130.78,129.2,130.38,567800.0
2019-07-17,131.69,131.97,129.31,130.14,421100.0
2019-07-16,131.55,131.9583,131.1,131.42,433700.0
2019-07-15,132.86,132.86,131.84,132.1,353000.0
2019-07-12,132.55,132.91,131.92,132.3,291700.0
2019-07-11,133.75,134.8,132.0,132.49,709300.0
2019-07-10,132.07,134.18,132.07,133.87,668400.0
2019-07-09,132.12,132.73,131.46,132.05,885400.0
2019-07-08,131.71,132.73,131.23,132.35,575600.0
2019-07-05,132.09,132.57,129.59,131.87,397900.0
2019-07-03,131.59,133.23,131.0,133.04,345900.0
2019-07-02,129.38,131.3829,129.02,131.21,569500.0
2019-07-01,129.76,129.76,127.26,129.1,656800.0
2019-06-28,128.25,130.35,128.25,129.0,982600.0
2019-06-27,128.54,129.54,127.58,128.03,901800.0
2019-06-26,130.94,131.76,126.895,128.5,1250900.0
2019-06-25,133.96,134.3385,130.72,130.8,584800.0
2019-06-24,136.4,136.3884,133.29,133.7,769800.0
2019-06-21,138.5,138.5,135.7,136.07,1975400.0
2019-06-20,138.25,139.2474,137.805,138.77,981400.0
2019-06-19,136.05,137.865,135.35,137.3,543800.0
2019-06-18,137.51,138.89,135.59,136.35,468500.0
2019-06-17,136.25,137.04,136.105,136.8,585500.0
2019-06-14,135.11,135.86,134.68,135.2,483800.0
2019-06-13,134.93,135.24,133.6,135.2,502500.0
2019-06-12,133.254,134.72,132.42,134.26,455200.0
2019-06-11,135.23,135.2375,132.715,133.69,640100.0
2019-06-10,136.57,136.57,134.32,134.63,518400.0
2019-06-07,136.37,137.25,136.16,136.16,520100.0
2019-06-06,135.32,135.92,134.34,135.89,518800.0
