,open,high,low,close,volume
2019-10-25,71.97,73.42,71.81,73.17,10299906.0
2019-10-24,72.55,72.86,71.86,72.3,7445700.0
2019-10-23,71.9,72.47,71.73,72.45,10327000.0
2019-10-22,71.72,72.87,71.47,72.06,11052300.0
2019-10-21,70.52,71.89,70.52,71.81,13080600.0
2019-10-18,69.32,70.09,69.14,69.74,10413600.0
2019-10-17,70.03,70.34,69.18,69.6,11382800.0
2019-10-16,70.82,71.46,69.42,69.5,17295400.0
2019-10-15,70.17,72.08,68.7,71.22,22030100.0
2019-10-14,69.53,70.5,69.46,70.24,11398600.0
2019-10-11,69.99,70.93,69.99,70.1,14921700.0
2019-10-10,67.77,69.29,67.55,68.62,9817000.0
2019-10-09,67.0,67.77,66.79,67.43,8357800.0
2019-10-08,67.03,67.18,66.03,66.4,13500700.0
2019-10-07,67.87,68.84,67.86,68.15,7835500.0
2019-10-04,66.76,68.24,66.67,68.18,10977100.0
2019-10-03,66.08,66.73,64.79,66.7,12646100.0
2019-10-02,67.76,67.8,66.19,66.26,14760900.0
2019-10-01,69.57,70.27,68.01,68.15,12428500.0
2019-09-30,69.8,69.9,69.01,69.08,8661000.0
2019-09-27,69.82,70.36,69.06,69.46,11559700.0
2019-09-26,69.32,69.53,68.8,69.11,8555500.0
2019-09-25,67.91,69.7,67.87,69.38,12243000.0
2019-09-24,69.5,69.57,67.56,67.9,16801900.0
2019-09-23,68.62,69.7,68.61,69.55,9546300.0
2019-09-20,70.15,70.54,69.33,69.35,26002100.0
2019-09-19,70.06,70.47,69.59,69.73,10069100.0
2019-09-18,69.21,70.35,68.96,70.09,11234500.0
2019-09-17,69.78,69.78,68.67,69.48,10916900.0
2019-09-16,68.96,70.11,68.96,69.83,12063700.0
2019-09-13,70.34,70.74,69.85,70.39,14313100.0
2019-09-12,68.11,70.06,67.93,69.3,15528700.0
2019-09-11,68.72,69.21,68.11,68.9,11858800.0
2019-09-10,69.18,70.01,68.45,68.98,18146200.0
2019-09-09,66.76,69.3,66.69,68.79,20193300.0
2019-09-06,66.19,66.5,65.75,65.97,10476000.0
2019-09-05,65.65,67.28,65.61,66.34,14723500.0
2019-09-04,64.0,64.48,63.84,64.28,9689800.0
2019-09-03,64.0,64.04,62.32,63.42,11991500.0
2019-08-30,64.34,64.82,64.19,64.35,11844600.0
2019-08-29,63.31,64.23,63.1,63.9,11478200.0
2019-08-28,61.3,62.8,61.3,62.36,12343500.0
2019-08-27,63.01,63.1,61.16,61.66,17219300.0
2019-08-26,62.57,62.82,62.17,62.72,10628800.0
2019-08-23,63.28,64.13,61.52,61.95,17997900.0
2019-08-22,63.81,64.21,63.41,63.91,9718500.0
2019-08-21,64.13,64.17,63.06,63.25,14692900.0
2019-08-20,63.72,64.08,63.35,63.42,9815800.0
2019-08-19,64.82,64.91,64.16,64.31,13312700.0
2019-08-16,61.93,63.66,60.72,63.48,16450700.0
2019-08-15,61.9813,62.37,60.72,61.32,16340400.0
2019-08-14,62.88,63.04,61.18,61.41,29370700.0
2019-08-13,63.9,65.96,63.51,64.83,19056700.0
2019-08-12,64.61,64.79,63.84,64.24,13039500.0
2019-08-09,66.33,66.57,65.21,66.05,13604600.0
2019-08-08,65.85,66.79,65.63,66.74,13577900.0
2019-08-07,64.63,65.32,63.64,65.14,18418300.0
2019-08-06,66.0,66.33,64.83,66.25,12411500.0
2019-08-05,65.5999,65.82,64.58,65.18,21144800.0
2019-08-02,67.61,68.06,66.63,67.61,14771400.0
2019-08-01,70.67,71.09,67.6,68.35,22571000.0
2019-07-31,71.4,71.66,70.81,71.16,13617300.0
2019-07-30,71.03,71.71,70.58,71.71,9208300.0
2019-07-29,71.91,72.34,71.73,71.76,8561200.0
2019-07-26,72.15,72.64,71.85,72.16,10625900.0
2019-07-25,72.96,73.08,70.93,71.39,15698300.0
2019-07-24,71.66,73.08,71.66,73.01,12512900.0
2019-07-23,71.33,72.18,71.3,71.99,11804300.0
2019-07-22,70.72,71.29,70.68,71.11,7930600.0
2019-07-19,71.73,72.17,70.86,70.92,11184600.0
2019-07-18,70.5408,71.9,70.48,71.79,13407400.0
2019-07-17,71.19,71.5,70.62,70.82,12278200.0
2019-07-16,71.7,72.0,71.09,71.32,16516600.0
2019-07-15,71.73,72.15,70.08,71.71,23365800.0
2019-07-12,71.89,72.02,71.58,71.77,15355700.0
2019-07-11,71.43,72.0,71.09,71.61,10739400.0
2019-07-10,71.5,71.94,70.65,71.13,12153200.0
2019-07-09,70.53,71.67,70.41,71.56,9477700.0
2019-07-08,70.76,71.69,70.64,71.13,10196000.0
2019-07-05,71.27,71.8,70.98,71.4,9107300.0
2019-07-03,70.71,71.1984,70.28,70.85,7632400.0
2019-07-02,70.36,70.98,70.09,70.44,10272200.0
2019-07-01,70.86,71.64,70.19,70.74,13573600.0
2019-06-28,69.28,70.205,69.125,70.03,20388700.0
2019-06-27,67.6162,68.43,67.53,68.15,11989100.0
2019-06-26,67.04,67.72,66.765,67.22,13654100.0
2019-06-25,67.46,67.48,66.48,66.54,14205600.0
2019-06-24,67.82,68.505,67.38,67.41,11223700.0
2019-06-21,68.03,68.96,67.82,67.97,19502500.0
2019-06-20,68.56,68.72,67.235,68.1,15557100.0
2019-06-19,68.16,68.59,67.58,67.59,12334800.0
2019-06-18,66.81,68.25,66.5,67.98,12199100.0
2019-06-17,67.5,67.51,66.4,66.54,8135900.0
2019-06-14,67.15,67.725,66.5,67.48,8901900.0
2019-06-13,66.83,67.435,66.765,67.08,9453600.0
2019-06-12,67.65,67.81,66.63,66.81,9878300.0
2019-06-11,67.58,68.03,67.16,67.88,9800900.0
2019-06-10,66.88,67.98,66.73,67.12,10994700.0
2019-06-07,66.16,66.8001,65.62,65.69,11674200.0
2019-06-06,65.82,66.77,65.5,66.47,10868900.0
