,open,high,low,close,volume
2019-06-07,65.5,65.5,65.5,65.5,150.0
2019-06-06,65.5,65.5,65.5,65.5,0.0
2019-06-04,65.5,65.5,65.5,65.5,0.0
2019-06-03,65.5,65.5,65.5,65.5,20.0
2019-05-31,65.5,65.5,65.5,65.5,0.0
2019-05-30,69.95,69.95,65.5,65.5,440.0
2019-05-29,68.0,68.0,68.0,68.0,0.0
2019-05-28,65.7,68.0,65.6,68.0,160.0
2019-05-24,66.0,66.0,66.0,66.0,0.0
2019-05-23,66.0,66.0,66.0,66.0,150.0
2019-05-22,66.0,66.0,66.0,66.0,0.0
2019-05-21,66.0,66.0,66.0,66.0,0.0
2019-05-20,66.0,66.0,66.0,66.0,500.0
2019-05-17,66.2,66.2,66.2,66.2,10.0
2019-05-16,65.8,65.8,65.8,65.8,0.0
2019-05-15,66.1,66.1,65.8,65.8,130.0
2019-05-14,66.1,66.1,66.1,66.1,0.0
2019-05-13,66.1,66.1,66.1,66.1,0.0
2019-05-10,66.1,66.1,66.1,66.1,0.0
2019-05-09,66.1,66.1,66.1,66.1,0.0
2019-05-08,66.1,66.1,66.1,66.1,0.0
2019-05-07,66.1,66.1,66.1,66.1,10.0
2019-05-06,66.3,66.3,66.3,66.3,0.0
2019-05-03,66.5,67.0,66.0,66.3,450.0
2019-05-02,68.3,68.3,68.3,68.3,0.0
2019-05-01,68.3,68.3,68.3,68.3,0.0
2019-04-30,68.3,68.3,68.3,68.3,0.0
2019-04-29,68.35,68.35,66.0,68.3,1100.0
2019-04-26,68.4,68.45,68.4,68.4,1250.0
2019-04-25,70.0,73.9,68.4,70.0,350.0
2019-04-24,69.0,69.0,68.35,68.35,270.0
2019-04-23,74.3,74.3,74.3,74.3,0.0
2019-04-22,74.3,74.3,74.3,74.3,0.0
2019-04-18,74.3,74.3,74.3,74.3,0.0
2019-04-17,74.3,74.3,74.3,74.3,0.0
2019-04-16,74.3,74.3,74.3,74.3,0.0
2019-04-15,74.3,74.3,74.3,74.3,0.0
