,open,high,low,close,volume
2019-10-25,75.76,75.76,74.88,74.89,1249850.0
2019-10-24,75.28,75.97,75.23,75.75,1783700.0
2019-10-23,74.01,75.29,73.87,75.28,1789100.0
2019-10-22,74.33,74.58,73.7,74.18,2253800.0
2019-10-21,73.89,74.0,73.19,73.7,1324200.0
2019-10-18,73.63,74.09,73.17,73.89,2161500.0
2019-10-17,73.23,73.86,73.05,73.76,1044200.0
2019-10-16,73.07,73.56,72.44,72.99,1454300.0
2019-10-15,73.63,74.07,72.4,72.8,1341500.0
2019-10-14,74.7,74.7,73.47,73.68,1759800.0
2019-10-11,75.24,75.24,74.11,74.12,1652400.0
2019-10-10,75.23,75.93,74.45,75.63,877500.0
2019-10-09,75.94,76.14,75.0,75.92,851500.0
2019-10-08,76.33,76.33,75.33,75.67,1123700.0
2019-10-07,75.94,76.43,75.58,76.05,985200.0
2019-10-04,75.45,76.1,75.42,76.05,1190000.0
2019-10-03,74.84,75.46,74.6,75.14,1454200.0
2019-10-02,75.59,76.05,74.39,74.85,2021300.0
2019-10-01,74.92,75.56,74.7,75.56,1756500.0
2019-09-30,75.19,75.86,75.14,75.24,1552000.0
2019-09-27,76.22,76.7,74.83,75.66,1983900.0
2019-09-26,73.75,74.89,73.51,74.64,1289100.0
2019-09-25,73.84,74.08,72.98,73.42,1474100.0
2019-09-24,73.65,74.32,72.53,73.84,1834300.0
2019-09-23,73.09,73.82,73.04,73.35,1838400.0
2019-09-20,73.07,73.18,72.65,72.8,2318200.0
2019-09-19,72.81,73.25,72.69,72.77,1685700.0
2019-09-18,73.14,73.18,72.19,72.81,2678900.0
2019-09-17,72.93,73.61,72.64,72.75,2614400.0
2019-09-16,72.05,72.55,70.7,72.38,2829700.0
2019-09-13,72.35,73.19,71.64,71.98,2907200.0
2019-09-12,73.09,74.04,72.48,72.65,3175100.0
2019-09-11,70.6,72.31,69.97,71.87,3589300.0
2019-09-10,72.99,72.99,71.07,71.58,3907000.0
2019-09-09,75.54,75.54,72.84,73.64,3285300.0
2019-09-06,77.44,77.73,75.4,75.9,3316300.0
2019-09-05,79.8,79.88,75.37,77.5,4867100.0
2019-09-04,79.74,80.33,79.74,80.19,922900.0
2019-09-03,79.56,80.56,79.53,79.87,1275900.0
2019-08-30,80.36,80.67,79.65,79.78,901500.0
2019-08-29,80.57,80.7,78.89,79.93,1001100.0
2019-08-28,79.95,80.39,79.44,80.28,1287800.0
2019-08-27,79.42,80.01,79.37,79.72,1512500.0
2019-08-26,78.78,79.32,78.46,79.15,872400.0
2019-08-23,79.23,79.96,78.14,78.5,990100.0
2019-08-22,78.99,79.52,78.7,79.32,568200.0
2019-08-21,78.45,79.23,78.22,78.89,864500.0
2019-08-20,79.8,79.93,78.05,78.24,1586700.0
2019-08-19,80.0,80.99,78.73,79.69,1725300.0
2019-08-16,79.32,79.8,78.03,79.7,1172600.0
2019-08-15,78.03,79.34,78.03,78.99,1087300.0
2019-08-14,77.97,78.99,77.63,77.67,1596900.0
2019-08-13,77.0711,78.47,77.0,78.43,1620800.0
2019-08-12,76.81,77.44,76.5,77.01,1257400.0
2019-08-09,77.3852,77.84,76.31,76.69,1171200.0
2019-08-08,75.79,77.2195,75.12,77.2,1074700.0
2019-08-07,74.75,76.2327,74.59,75.88,1223400.0
2019-08-06,74.19,75.1,73.65,74.66,1564300.0
2019-08-05,74.19,75.1,73.62,74.14,2071600.0
2019-08-02,74.38,74.9,73.94,74.32,1204300.0
2019-08-01,75.09,75.48,73.07,74.33,1815700.0
2019-07-31,76.2571,77.57,75.03,75.44,1728800.0
2019-07-30,76.65,77.11,76.06,76.63,1540200.0
2019-07-29,75.83,76.48,75.47,76.12,773200.0
2019-07-26,74.85,75.95,74.3,75.84,755200.0
2019-07-25,73.6152,74.79,73.37,74.48,1075800.0
2019-07-24,74.91,75.11,73.69,74.01,1053900.0
