,open,high,low,close,volume
2019-10-25,169.99,172.15,168.87,171.49,1100430.0
2019-10-24,172.87,173.67,168.0,170.11,1974300.0
2019-10-23,170.2,173.53,169.0,172.91,2088700.0
2019-10-22,166.08,172.23,166.08,170.38,2379000.0
2019-10-21,166.95,168.06,165.85,166.74,1891200.0
2019-10-18,165.84,167.38,163.83,166.88,2030300.0
2019-10-17,161.73,165.29,161.47,164.77,1796000.0
2019-10-16,159.74,161.68,157.81,161.47,1822100.0
2019-10-15,155.3,161.34,155.1,160.16,2792200.0
2019-10-14,152.21,152.8,150.79,151.58,1304300.0
2019-10-11,152.54,155.99,151.73,152.4,1946100.0
2019-10-10,149.1,152.46,148.55,150.83,2215600.0
2019-10-09,148.39,149.99,147.39,149.59,1796900.0
2019-10-08,147.98,148.78,146.5,147.19,1854900.0
2019-10-07,150.59,151.85,149.15,149.2,2216600.0
2019-10-04,148.37,151.26,148.0,150.74,2097400.0
2019-10-03,149.02,150.04,147.81,148.61,2010100.0
2019-10-02,149.21,152.05,148.41,149.24,2563800.0
2019-10-01,152.96,153.1,147.92,150.43,2231800.0
2019-09-30,150.53,152.89,148.23,151.79,1993700.0
2019-09-27,150.61,152.04,148.13,149.48,2463900.0
2019-09-26,155.91,156.3,149.46,149.79,3523500.0
2019-09-25,157.46,158.46,154.91,155.22,1689600.0
2019-09-24,160.79,161.61,156.73,157.91,1842600.0
2019-09-23,160.57,161.4,159.69,160.15,2112500.0
2019-09-20,165.54,166.72,161.32,161.38,2695700.0
2019-09-19,161.02,166.7,160.59,164.71,2006900.0
2019-09-18,160.53,161.96,159.38,160.44,1563100.0
2019-09-17,164.09,165.76,160.79,161.5,1620000.0
2019-09-16,159.98,165.62,159.98,165.5,1558600.0
2019-09-13,160.1,162.99,159.55,160.85,2194900.0
2019-09-12,165.13,165.28,158.75,158.98,3362700.0
2019-09-11,164.42,165.46,160.19,161.89,2194500.0
2019-09-10,162.39,166.96,160.27,164.99,2936500.0
2019-09-09,155.17,162.59,154.65,162.16,2945400.0
2019-09-06,150.86,154.72,150.0,153.8,2031300.0
2019-09-05,154.89,154.89,150.94,151.0,2092900.0
2019-09-04,156.44,157.58,152.54,152.94,1915700.0
2019-09-03,152.82,155.33,152.12,154.99,2994000.0
2019-08-30,153.3,155.37,152.54,153.97,1553500.0
2019-08-29,149.09,152.83,148.92,152.5,2045200.0
2019-08-28,146.28,149.38,145.51,147.45,2343300.0
2019-08-27,153.19,153.54,146.23,146.27,2794300.0
2019-08-26,154.23,154.51,152.2,152.91,1529200.0
2019-08-23,155.0,157.08,152.29,153.3,2201800.0
2019-08-22,162.4,162.4,155.41,155.78,2060100.0
2019-08-21,162.65,164.05,161.57,162.34,1263600.0
2019-08-20,162.56,164.03,160.7,161.15,1250500.0
2019-08-19,163.05,164.78,162.73,162.98,1265400.0
2019-08-16,160.33,163.17,157.13,161.24,1453000.0
2019-08-15,161.02,161.2109,157.13,159.7,1743200.0
2019-08-14,166.6,166.8609,160.04,160.18,2839100.0
2019-08-13,165.61,170.085,165.61,169.47,1321900.0
2019-08-12,168.38,169.65,165.04,165.61,1313800.0
2019-08-09,166.51,170.84,166.32,169.9,1664900.0
2019-08-08,166.6226,167.99,164.88,166.6,1590900.0
2019-08-07,161.57,166.83,160.38,166.48,1806300.0
2019-08-06,163.0,164.43,159.59,163.72,3088100.0
2019-08-05,162.36,163.28,157.13,159.0,2570500.0
2019-08-02,167.87,169.15,162.34,164.58,1905900.0
