,open,high,low,close,volume
2019-10-25,116.0,117.9,109.68,111.65,838324.0
2019-10-24,114.36,115.47,113.25,115.27,1052000.0
2019-10-23,113.19,114.08,113.05,113.96,437200.0
2019-10-22,115.98,115.98,113.01,113.38,482400.0
2019-10-21,115.87,116.26,114.65,116.04,521200.0
2019-10-18,114.95,116.14,114.57,115.72,635500.0
2019-10-17,115.63,115.94,114.36,115.12,713400.0
2019-10-16,115.57,115.61,113.78,115.25,671800.0
2019-10-15,116.62,116.86,115.65,116.08,428300.0
2019-10-14,115.77,116.84,115.52,116.16,371600.0
2019-10-11,117.89,118.19,116.05,116.13,567000.0
2019-10-10,114.83,116.52,114.83,116.23,390500.0
2019-10-09,113.92,115.4,113.92,114.83,541100.0
2019-10-08,115.48,115.48,113.48,113.82,605500.0
2019-10-07,117.21,117.34,115.94,115.98,476900.0
2019-10-04,114.75,117.6,114.55,117.41,534000.0
2019-10-03,112.35,114.38,112.35,114.19,513100.0
2019-10-02,113.54,113.69,111.56,113.02,515900.0
2019-10-01,116.89,117.05,114.09,114.2,463200.0
2019-09-30,116.02,116.84,115.52,116.67,522900.0
2019-09-27,117.0,117.05,115.04,115.76,396500.0
2019-09-26,115.29,117.16,115.2,116.59,588700.0
2019-09-25,114.27,115.31,113.87,115.1,717200.0
2019-09-24,114.96,115.18,113.85,114.35,580300.0
2019-09-23,113.36,114.82,113.36,114.28,389200.0
2019-09-20,114.06,114.4,112.82,113.81,892700.0
2019-09-19,114.25,115.15,114.09,114.3,374000.0
2019-09-18,114.01,114.62,113.16,114.55,411800.0
2019-09-17,112.43,114.08,112.43,114.05,636700.0
2019-09-16,112.56,112.97,111.96,112.78,461500.0
2019-09-13,113.25,113.6,112.2,112.95,534600.0
2019-09-12,111.91,113.66,111.75,113.24,521100.0
2019-09-11,111.45,111.87,109.7,111.48,634300.0
2019-09-10,113.31,113.31,111.18,111.78,770800.0
2019-09-09,115.23,115.33,112.51,113.4,801500.0
2019-09-06,114.11,115.56,114.02,114.94,451900.0
2019-09-05,114.33,115.25,113.55,113.93,450900.0
2019-09-04,113.39,113.74,112.5,113.66,552400.0
2019-09-03,112.5,113.27,112.16,112.68,609800.0
2019-08-30,113.13,113.69,111.96,112.49,475400.0
2019-08-29,112.07,112.94,111.16,112.68,540700.0
2019-08-28,109.84,111.33,109.18,111.1,741800.0
2019-08-27,110.8,111.12,109.84,110.39,469700.0
2019-08-26,109.35,110.34,108.42,110.33,589000.0
2019-08-23,110.73,111.7,107.48,108.23,542800.0
2019-08-22,110.5,111.32,109.84,111.03,403400.0
2019-08-21,110.36,110.55,109.52,110.48,326100.0
2019-08-20,110.33,111.0,109.39,109.43,418000.0
2019-08-19,111.04,111.04,109.93,110.55,522400.0
2019-08-16,109.18,110.12,108.595,109.7,636900.0
2019-08-15,107.1915,108.9,107.04,108.58,475500.0
2019-08-14,109.83,110.33,106.85,106.94,611700.0
2019-08-13,108.24,110.87,107.79,110.71,793800.0
2019-08-12,109.34,110.7,108.44,108.66,505500.0
2019-08-09,109.81,110.46,108.76,109.97,423700.0
2019-08-08,107.92,109.89,107.7,109.74,487100.0
2019-08-07,105.95,108.27,104.75,107.36,801300.0
2019-08-06,104.39,107.05,103.68,106.99,915700.0
2019-08-05,105.84,106.11,103.21,103.8,922500.0
2019-08-02,106.4,106.96,105.77,106.25,744200.0
2019-08-01,107.17,108.2,106.11,106.29,697300.0
2019-07-31,106.09,109.18,105.49,107.33,2421900.0
2019-07-30,105.53,106.6,105.46,105.87,659500.0
2019-07-29,108.06,108.11,105.8,106.26,722600.0
2019-07-26,107.4,107.86,106.49,107.83,550100.0
2019-07-25,107.4492,107.85,106.54,107.19,588300.0
2019-07-24,106.42,107.33,105.85,107.26,598700.0
2019-07-23,106.38,106.72,105.16,106.5,571700.0
2019-07-22,106.62,107.08,106.04,106.43,416100.0
2019-07-19,107.72,107.92,106.73,106.74,626700.0
2019-07-18,106.99,107.64,106.51,107.45,552600.0
2019-07-17,108.66,108.66,106.81,107.05,558100.0
2019-07-16,108.08,108.89,107.9987,108.67,645700.0
2019-07-15,107.88,108.36,107.21,107.82,569200.0
2019-07-12,107.32,107.76,106.33,107.68,537600.0
2019-07-11,107.13,107.13,105.73,106.81,680900.0
2019-07-10,107.5,108.5,106.74,107.07,942700.0
2019-07-09,106.94,107.7,106.49,107.5,827500.0
2019-07-08,107.47,108.34,107.23,107.38,762000.0
2019-07-05,107.27,108.18,106.46,107.83,485000.0
2019-07-03,105.8,107.7583,105.75,107.61,590900.0
2019-07-02,104.99,105.87,104.89,105.41,923800.0
2019-07-01,104.53,105.36,103.47,105.13,624600.0
2019-06-28,103.11,103.75,102.88,103.67,814800.0
2019-06-27,102.14,102.96,101.55,102.84,691700.0
2019-06-26,104.64,104.99,102.2,102.25,725900.0
2019-06-25,105.02,105.55,104.85,105.04,363100.0
2019-06-24,104.97,105.6733,104.83,105.02,846600.0
2019-06-21,105.99,106.4,104.42,104.59,1328200.0
2019-06-20,104.85,106.13,104.85,105.94,898700.0
2019-06-19,103.8256,105.025,103.76,104.84,420400.0
2019-06-18,104.33,104.434,103.4,103.9,697900.0
2019-06-17,103.38,104.3,103.38,103.86,854700.0
2019-06-14,102.83,103.72,102.3,103.54,505600.0
2019-06-13,103.11,103.41,102.3169,102.65,1991500.0
2019-06-12,102.0,103.0392,102.0,102.98,487500.0
2019-06-11,102.57,103.15,101.66,102.0,961500.0
2019-06-10,102.8895,102.99,102.396,102.58,948900.0
2019-06-07,101.97,103.1404,101.535,102.64,805600.0
2019-06-06,101.65,102.27,101.206,101.71,811500.0
