,open,high,low,close,volume
2019-10-25,45.18,45.7772,44.9501,45.65,12408699.0
2019-10-24,47.21,47.24,44.5,44.84,18968800.0
2019-10-23,46.01,46.19,45.47,45.72,23358700.0
2019-10-22,45.89,46.05,45.7,45.77,11926900.0
2019-10-21,45.89,46.22,45.81,46.08,10646900.0
2019-10-18,46.06,46.1,45.42,45.57,13553900.0
2019-10-17,45.83,45.96,45.51,45.93,9121100.0
2019-10-16,45.56,45.81,45.31,45.6,15002300.0
2019-10-15,45.31,45.82,45.1,45.67,9026200.0
2019-10-14,45.37,45.54,45.06,45.23,10105100.0
2019-10-11,44.84,45.94,44.63,45.55,22961800.0
2019-10-10,44.4,44.84,44.3,44.5,9366400.0
2019-10-09,44.49,44.52,44.05,44.38,10439800.0
2019-10-08,44.75,44.75,43.64,44.11,14241800.0
2019-10-07,44.39,44.96,44.33,44.59,12190800.0
2019-10-04,44.33,45.02,44.29,44.71,14900200.0
2019-10-03,44.07,44.17,43.61,44.06,11345000.0
2019-10-02,44.39,44.63,43.97,44.05,17195700.0
2019-10-01,45.18,45.71,44.48,44.52,15177800.0
2019-09-30,45.0,45.22,44.77,45.08,13892900.0
2019-09-27,45.16,45.3,44.33,44.81,15005300.0
2019-09-26,45.62,45.8,44.25,44.9,22216300.0
2019-09-25,45.79,45.98,45.32,45.83,22128500.0
2019-09-24,46.62,46.65,45.45,45.71,20731100.0
2019-09-23,46.17,46.51,46.16,46.22,13438500.0
2019-09-20,46.67,46.82,46.18,46.36,27252500.0
2019-09-19,47.04,47.16,46.57,46.68,10501200.0
2019-09-18,46.98,47.05,46.46,46.94,12996900.0
2019-09-17,46.12,46.71,45.88,46.67,9894800.0
2019-09-16,46.23,46.62,45.79,46.27,13581700.0
2019-09-13,46.96,47.16,46.79,46.88,11732700.0
2019-09-12,46.79,47.27,46.5,46.97,18660000.0
2019-09-11,46.28,46.57,46.09,46.4,12874400.0
2019-09-10,46.19,46.57,46.01,46.45,17566700.0
2019-09-09,46.65,46.69,46.14,46.42,16383100.0
2019-09-06,46.43,46.61,46.2,46.35,13101800.0
2019-09-05,46.43,46.62,45.99,46.41,22075600.0
2019-09-04,44.32,45.71,44.22,45.52,26196000.0
2019-09-03,43.89,44.08,43.53,43.88,12712000.0
2019-08-30,44.49,44.65,44.03,44.26,15484500.0
2019-08-29,44.15,44.5,43.95,44.17,11339500.0
2019-08-28,43.4,43.9,43.21,43.77,11761100.0
2019-08-27,43.9,43.92,43.42,43.6,12508000.0
2019-08-26,42.74,43.51,42.55,43.35,13009600.0
2019-08-23,43.5,43.84,42.27,42.43,18196700.0
2019-08-22,44.23,44.41,43.62,43.77,9960500.0
2019-08-21,43.76,44.16,43.48,44.11,11329400.0
2019-08-20,43.88,44.46,43.69,43.94,15758100.0
2019-08-19,43.63,44.14,43.61,44.0,13908500.0
2019-08-16,42.78,43.32,42.51,43.18,14052100.0
2019-08-15,42.45,42.88,42.05,42.35,14375400.0
2019-08-14,43.49,43.49,42.19,42.37,18319400.0
2019-08-13,42.54,44.04,42.47,43.46,21465800.0
2019-08-12,42.73,42.77,42.2,42.46,15941500.0
2019-08-09,42.63,43.1441,42.38,42.93,15782200.0
2019-08-08,41.97,42.88,41.8968,42.66,14085300.0
2019-08-07,41.3,41.8431,40.719,41.73,22674700.0
2019-08-06,41.69,42.19,41.3,42.07,18433400.0
2019-08-05,42.14,42.2,41.1303,41.61,23618700.0
2019-08-02,42.75,42.92,42.2,42.65,20839500.0
2019-08-01,43.19,43.84,42.78,42.88,17420900.0
2019-07-31,43.7959,43.9,42.7,43.17,18509200.0
2019-07-30,44.04,44.26,43.7197,44.08,10335700.0
2019-07-29,44.7,44.71,44.12,44.23,9840700.0
2019-07-26,44.02,45.08,44.02,44.63,17000300.0
2019-07-25,44.31,45.3,43.81,44.61,25659200.0
2019-07-24,44.31,44.88,44.2304,44.87,17642400.0
2019-07-23,44.01,44.42,43.95,44.32,16611000.0
2019-07-22,44.11,44.14,43.64,43.85,17162800.0
2019-07-19,44.75,44.76,44.02,44.06,18372000.0
2019-07-18,44.25,44.5806,44.09,44.56,12460900.0
2019-07-17,45.03,45.05,44.35,44.43,16688200.0
2019-07-16,44.83,45.26,44.77,45.09,17468500.0
2019-07-15,44.87,44.87,44.48,44.72,15964900.0
2019-07-12,44.07,45.01,43.96,44.64,18076700.0
2019-07-11,43.81,44.13,43.75,44.08,15189100.0
2019-07-10,44.04,44.14,43.2511,43.79,22178400.0
2019-07-09,42.56,43.14,42.36,42.98,15865000.0
2019-07-08,43.18,43.22,42.57,42.63,14804500.0
2019-07-05,43.15,43.35,42.8703,43.28,11608800.0
2019-07-03,43.0,43.34,42.95,43.32,8404300.0
2019-07-02,42.57,42.89,42.46,42.89,14996100.0
2019-07-01,42.65,43.0,42.34,42.71,19530300.0
2019-06-28,42.17,42.31,41.861,42.28,49937900.0
2019-06-27,42.29,42.32,41.41,42.0,19009300.0
2019-06-26,42.66,42.85,41.94,42.11,17737600.0
2019-06-25,43.52,43.563,42.69,42.75,19622200.0
2019-06-24,43.55,43.86,43.425,43.6,12693300.0
2019-06-21,43.43,43.78,43.28,43.56,24679500.0
2019-06-20,43.64,43.77,43.313,43.68,18166000.0
2019-06-19,43.22,43.76,43.07,43.14,14863700.0
2019-06-18,42.98,43.61,42.947,43.25,21811300.0
2019-06-17,42.34,42.78,42.09,42.56,14562000.0
2019-06-14,41.97,42.495,41.695,42.31,20943700.0
2019-06-13,41.46,41.73,41.37,41.69,26154900.0
2019-06-12,41.29,41.79,41.2514,41.45,24733900.0
2019-06-11,41.57,41.81,41.03,41.22,16895700.0
2019-06-10,41.48,41.63,41.12,41.29,16781700.0
2019-06-07,41.35,41.59,41.1,41.48,32287600.0
2019-06-06,41.27,41.341,40.81,41.15,23997700.0
