,open,high,low,close,volume
2019-10-25,203.52,204.4,200.4,200.46,1058441.0
2019-10-24,202.92,204.42,201.44,203.25,1197400.0
2019-10-23,201.9,204.12,200.12,202.23,1043100.0
2019-10-22,206.23,207.47,201.5,202.02,1584800.0
2019-10-21,212.21,212.94,205.79,206.07,1274400.0
2019-10-18,213.58,214.12,211.61,213.17,1245100.0
2019-10-17,211.95,213.22,210.3,213.01,1420900.0
2019-10-16,211.25,212.06,208.67,212.01,1166600.0
2019-10-15,213.13,214.0,211.4,212.57,721700.0
2019-10-14,213.43,214.89,212.01,212.35,774000.0
2019-10-11,217.79,217.79,211.75,212.83,1193900.0
2019-10-10,214.22,217.24,214.02,215.89,673100.0
2019-10-09,214.25,215.42,212.52,215.13,768700.0
2019-10-08,212.51,213.81,211.26,212.14,1264500.0
2019-10-07,214.57,215.6,212.68,213.33,916900.0
2019-10-04,210.25,216.19,209.96,216.02,1036900.0
2019-10-03,208.42,210.97,207.7,209.43,1007600.0
2019-10-02,210.05,211.81,206.88,207.84,1260600.0
2019-10-01,211.34,211.88,208.32,210.72,1106400.0
2019-09-30,214.8,214.83,210.59,211.34,1119700.0
2019-09-27,217.18,217.88,213.22,213.89,1030800.0
2019-09-26,214.82,216.69,214.22,215.99,1248300.0
2019-09-25,213.42,214.06,211.18,213.28,1119500.0
2019-09-24,213.06,216.67,211.99,212.91,1125800.0
2019-09-23,209.77,213.0,209.58,212.28,835200.0
2019-09-20,212.89,212.89,209.78,211.15,2050100.0
2019-09-19,214.06,216.15,210.94,211.95,1362700.0
2019-09-18,215.1,216.47,212.99,216.17,1166000.0
2019-09-17,207.02,214.86,205.63,214.73,2497000.0
2019-09-16,205.57,209.19,205.13,207.0,1244700.0
2019-09-13,206.13,206.54,202.54,205.8,1122600.0
2019-09-12,201.98,205.77,201.78,205.38,1764800.0
2019-09-11,206.0,206.7,201.94,202.58,2564200.0
2019-09-10,215.38,216.65,204.51,205.43,2569700.0
2019-09-09,223.99,224.0,214.85,215.58,1343200.0
2019-09-06,221.52,224.91,221.32,223.07,1093900.0
2019-09-05,224.03,224.86,220.55,221.18,1185100.0
2019-09-04,217.62,221.76,217.54,221.06,1131700.0
2019-09-03,216.07,218.1,215.67,217.76,1045300.0
2019-08-30,215.91,217.74,214.67,217.29,947300.0
2019-08-29,216.83,216.87,213.09,215.69,667200.0
2019-08-28,216.57,217.22,214.31,215.76,817900.0
2019-08-27,215.44,217.51,214.81,216.22,993500.0
2019-08-26,211.82,214.81,211.82,214.64,798600.0
2019-08-23,212.53,213.75,210.4,211.22,1547500.0
2019-08-22,214.52,214.79,213.14,213.24,755400.0
2019-08-21,215.07,215.2,211.99,213.49,1089500.0
2019-08-20,216.74,217.65,213.61,213.85,871800.0
2019-08-19,215.0,217.24,213.93,216.7,754400.0
2019-08-16,214.34,214.34,211.93,213.58,1168700.0
2019-08-15,210.77,213.2884,209.02,212.71,1293200.0
2019-08-14,211.09,213.22,208.2599,208.34,1455300.0
2019-08-13,212.4,214.782,208.7,213.3,986300.0
2019-08-12,213.2,216.7,211.79,212.25,1122600.0
2019-08-09,212.38,216.7071,211.68,215.72,1051900.0
2019-08-08,209.73,211.24,207.07,211.1,1050000.0
2019-08-07,206.74,210.17,204.8,208.89,1869800.0
2019-08-06,202.38,209.15,202.13,208.38,1431800.0
2019-08-05,203.29,205.41,199.2,201.88,1767800.0
2019-08-02,201.18,206.37,199.58,205.16,1788300.0
2019-08-01,194.05,201.92,193.65,200.6,2524700.0
2019-07-31,194.66,195.98,193.09,194.42,2187500.0
2019-07-30,199.03,200.63,196.82,197.31,1181400.0
2019-07-29,201.55,202.15,198.92,199.64,1295600.0
2019-07-26,201.44,202.17,200.34,201.07,1189900.0
2019-07-25,201.88,203.65,201.27,201.66,838900.0
2019-07-24,206.02,206.65,198.21,201.64,1764800.0
2019-07-23,204.79,205.78,203.93,205.35,1007300.0
2019-07-22,205.62,206.72,204.01,206.14,962200.0
2019-07-19,206.47,207.4,204.76,204.85,823700.0
2019-07-18,203.8664,206.56,203.39,206.26,811300.0
2019-07-17,203.4524,205.0,203.41,204.09,972700.0
2019-07-16,206.67,207.18,203.3,203.48,1214000.0
2019-07-15,207.51,207.51,205.03,206.02,1221900.0
2019-07-12,207.01,207.84,205.13,207.47,1425700.0
2019-07-11,203.67,206.48,202.5,206.41,1168800.0
2019-07-10,202.16,204.36,201.92,203.17,1099100.0
2019-07-09,201.3,202.12,200.47,201.99,971000.0
2019-07-08,202.51,203.53,201.22,201.99,718200.0
2019-07-05,201.83,203.35,200.5636,202.81,884600.0
2019-07-03,200.0,201.7,199.2047,201.67,865100.0
2019-07-02,196.3,200.36,195.36,199.77,1031500.0
2019-07-01,195.47,196.99,193.375,196.59,1403500.0
2019-06-28,194.74,194.99,193.05,194.11,2138900.0
2019-06-27,192.64,195.39,192.53,193.9,1252000.0
