,open,high,low,close,volume
2019-10-25,175.72,179.18,175.58,178.52,1290400.0
2019-10-24,175.66,175.72,173.39,175.43,914300.0
2019-10-23,174.03,175.31,172.88,175.19,971300.0
2019-10-22,172.34,175.5,170.11,175.1,1274000.0
2019-10-21,171.64,172.86,170.7,171.32,962300.0
2019-10-18,167.85,170.88,167.24,170.28,1223600.0
2019-10-17,167.31,168.56,166.27,167.64,647700.0
2019-10-16,166.2,168.45,165.81,166.18,894400.0
2019-10-15,163.14,167.44,162.21,166.35,1078000.0
2019-10-14,159.9,163.9,157.85,163.76,870700.0
2019-10-11,160.31,165.0,160.31,162.76,1342400.0
2019-10-10,155.69,158.6,155.19,157.05,802100.0
2019-10-09,154.82,156.02,153.52,155.01,791800.0
2019-10-08,154.49,155.22,152.55,153.14,1031400.0
2019-10-07,157.07,158.34,155.86,156.5,831900.0
2019-10-04,154.81,158.13,154.81,157.86,944900.0
2019-10-03,153.65,155.04,151.15,154.99,1444500.0
2019-10-02,155.45,157.0,153.65,154.12,1250300.0
2019-10-01,164.02,165.35,157.03,157.54,1310200.0
2019-09-30,161.2,163.73,160.65,162.67,990500.0
2019-09-27,161.06,161.73,159.27,161.3,1002300.0
2019-09-26,161.42,162.25,159.4,159.95,889200.0
2019-09-25,160.12,162.5,159.09,161.37,1439200.0
2019-09-24,163.22,163.55,159.82,160.61,1428100.0
2019-09-23,160.43,163.51,160.2,162.19,1324800.0
2019-09-20,162.06,163.93,161.13,161.57,3617100.0
2019-09-19,162.9,164.06,161.57,162.02,783700.0
2019-09-18,162.19,162.81,160.11,162.35,1078300.0
2019-09-17,163.0,163.44,161.31,163.02,1330500.0
2019-09-16,163.87,165.4,163.46,163.7,1126800.0
2019-09-13,166.17,167.35,164.88,165.11,1058500.0
2019-09-12,165.34,166.41,162.87,165.05,984500.0
2019-09-11,163.5,165.5,160.6,165.49,1254700.0
2019-09-10,161.27,165.47,160.68,163.99,1836900.0
2019-09-09,155.32,160.99,155.1,160.82,1704800.0
2019-09-06,155.01,156.19,153.87,154.9,1124800.0
2019-09-05,151.06,156.16,150.55,154.66,1563600.0
2019-09-04,148.0,149.15,147.5,148.97,975200.0
2019-09-03,147.62,148.22,144.12,145.91,1268900.0
2019-08-30,150.25,151.18,148.75,149.27,939500.0
2019-08-29,147.34,149.75,147.07,149.1,1368300.0
2019-08-28,142.63,145.88,141.53,145.6,1169200.0
2019-08-27,144.47,144.94,142.8,142.8,1171100.0
2019-08-26,143.66,143.91,141.52,143.14,1197800.0
2019-08-23,145.59,146.23,141.14,142.02,1533200.0
2019-08-22,148.28,149.42,145.65,146.68,1021300.0
2019-08-21,147.91,149.41,147.16,147.76,1014000.0
2019-08-20,147.64,147.85,145.77,146.21,1150500.0
2019-08-19,151.64,152.15,148.72,149.04,2291200.0
2019-08-16,147.0,150.26,144.05,149.25,1237800.0
2019-08-15,144.99,146.43,144.05,146.03,1505600.0
2019-08-14,148.28,148.99,144.13,144.49,1839000.0
2019-08-13,147.5,154.26,147.31,151.07,1413800.0
2019-08-12,149.41,150.17,147.2,148.16,1089000.0
2019-08-09,152.74,153.25,148.41,149.96,1396000.0
2019-08-08,152.86,154.38,152.3,153.72,1240600.0
2019-08-07,151.73,153.7759,149.39,152.26,1478300.0
2019-08-06,152.51,154.42,151.29,154.4,1223500.0
2019-08-05,155.57,156.22,150.01,151.43,2317900.0
2019-08-02,158.6,159.6,157.05,158.68,1317100.0
2019-08-01,163.88,165.24,158.67,159.73,1435500.0
2019-07-31,164.76,166.8,162.06,164.0,1907100.0
2019-07-30,162.5,166.51,162.33,165.17,2352200.0
2019-07-29,174.86,175.43,173.3,173.97,1194100.0
2019-07-26,174.2,175.28,173.14,174.74,855200.0
2019-07-25,175.02,175.54,172.95,174.96,940900.0
2019-07-24,172.34,175.91,171.55,175.37,1026500.0
2019-07-23,171.49,173.55,170.69,173.37,1144500.0
2019-07-22,173.27,173.67,170.39,170.73,1038500.0
2019-07-19,168.98,175.18,168.67,172.8,1904600.0
2019-07-18,169.11,169.7,166.65,167.94,959100.0
2019-07-17,172.09,172.2118,169.04,169.29,1075300.0
2019-07-16,170.01,172.6,169.32,172.35,750200.0
2019-07-15,171.58,172.36,169.92,171.12,650500.0
2019-07-12,169.68,172.09,169.65,171.09,1254200.0
2019-07-11,168.4,168.9,166.09,168.86,951500.0
2019-07-10,168.0,169.1,167.03,167.4,827100.0
2019-07-09,167.83,168.46,166.1,167.29,1231300.0
2019-07-08,168.99,170.0,168.26,169.06,996300.0
2019-07-05,168.96,169.65,165.77,169.15,829200.0
2019-07-03,171.71,172.01,168.89,170.24,756700.0
2019-07-02,171.06,171.625,169.255,170.2,1164900.0
2019-07-01,173.0,173.7663,170.24,172.86,2381900.0
2019-06-28,169.03,171.44,168.541,171.34,2680500.0
2019-06-27,169.31,169.86,166.86,168.25,705600.0
2019-06-26,169.7,170.18,168.61,168.91,831600.0
2019-06-25,170.7,170.7,167.93,168.85,1987500.0
2019-06-24,170.22,171.309,169.34,170.16,1163100.0
2019-06-21,171.42,171.6,169.491,169.96,1713600.0
2019-06-20,170.0,171.8464,168.78,171.6,1556600.0
2019-06-19,166.77,168.18,165.965,167.95,1064300.0
2019-06-18,163.095,168.0,163.09,166.84,1031900.0
2019-06-17,163.93,164.1482,161.97,162.28,787100.0
2019-06-14,164.21,164.21,161.555,163.86,958600.0
2019-06-13,163.52,164.41,162.0,164.36,836700.0
2019-06-12,164.08,164.16,162.17,163.07,1068900.0
2019-06-11,165.18,167.2699,164.02,164.21,1062400.0
2019-06-10,163.1,164.84,162.445,163.08,885100.0
2019-06-07,161.4,163.02,160.01,161.95,803400.0
2019-06-06,159.12,161.2129,158.61,160.77,983800.0
