,open,high,low,close,volume
2019-10-25,64.91,64.91,63.28,63.65,2214092.0
2019-10-24,64.3,65.01,63.64,64.45,2945000.0
2019-10-23,63.88,64.29,63.22,63.29,5176800.0
2019-10-22,64.13,64.36,63.69,63.73,2494000.0
2019-10-21,63.91,64.07,63.42,63.95,1075200.0
2019-10-18,63.61,64.11,63.24,64.01,1326900.0
2019-10-17,63.47,63.89,63.38,63.68,1676600.0
2019-10-16,63.12,63.55,62.84,63.54,1233500.0
2019-10-15,63.56,63.82,63.01,63.23,1470800.0
2019-10-14,64.06,64.16,63.26,63.48,908000.0
2019-10-11,64.08,64.34,63.37,63.88,1772300.0
2019-10-10,64.44,64.58,63.81,64.33,1516600.0
2019-10-09,64.24,64.86,64.15,64.6,1441900.0
2019-10-08,64.46,64.65,63.99,64.1,1994300.0
2019-10-07,64.78,64.79,64.27,64.45,1220000.0
2019-10-04,64.17,65.02,64.04,64.92,1272000.0
2019-10-03,63.68,64.01,63.49,64.0,1594300.0
2019-10-02,64.06,64.26,63.43,63.58,1917000.0
2019-10-01,63.77,64.24,63.37,64.15,1683200.0
2019-09-30,64.15,64.61,63.77,63.95,1867500.0
2019-09-27,65.12,65.13,63.68,64.01,2780200.0
2019-09-26,64.61,65.31,64.55,65.04,2369300.0
2019-09-25,64.27,64.42,63.81,64.33,2077600.0
2019-09-24,63.34,64.83,63.26,64.09,2070600.0
2019-09-23,63.26,63.41,62.97,63.19,1651800.0
2019-09-20,62.99,63.55,62.64,63.11,3487900.0
2019-09-19,62.78,62.98,62.46,62.85,2265200.0
2019-09-18,62.77,62.82,62.13,62.63,1186500.0
2019-09-17,61.6,62.6,61.55,62.37,1962600.0
2019-09-16,61.23,61.74,61.05,61.46,1281300.0
2019-09-13,61.27,61.68,60.98,61.27,1303200.0
2019-09-12,61.79,62.14,61.27,61.63,2120500.0
2019-09-11,60.86,61.53,60.54,61.25,2182700.0
2019-09-10,61.45,61.49,60.1,60.99,3088000.0
2019-09-09,62.52,62.67,61.3,61.45,3260500.0
2019-09-06,63.56,63.69,62.6,62.76,2363900.0
2019-09-05,64.13,64.17,63.22,63.4,1788300.0
2019-09-04,64.47,64.67,64.03,64.48,1008900.0
2019-09-03,63.07,64.39,63.01,64.38,1817400.0
2019-08-30,63.22,63.31,62.8,63.05,1254200.0
2019-08-29,62.77,63.06,62.27,63.03,1596000.0
2019-08-28,62.61,63.02,62.29,62.47,2056500.0
2019-08-27,62.64,63.13,62.56,62.56,1823700.0
2019-08-26,61.75,62.46,61.66,62.41,1127200.0
2019-08-23,62.35,62.61,61.33,61.58,1608800.0
2019-08-22,61.85,62.28,61.55,62.14,1010400.0
2019-08-21,61.43,62.1,61.38,62.06,1064600.0
2019-08-20,61.75,61.75,61.07,61.46,1433600.0
2019-08-19,61.16,61.95,61.01,61.57,1546600.0
2019-08-16,61.09,61.4669,59.68,61.2,2069300.0
2019-08-15,59.83,61.46,59.68,61.27,2559300.0
2019-08-14,60.34,60.5,59.59,59.77,2107100.0
2019-08-13,59.73,60.32,59.32,60.09,2034700.0
2019-08-12,60.4085,60.59,59.75,59.94,1570400.0
2019-08-09,60.2,60.76,60.04,60.32,1990500.0
2019-08-08,59.04,60.195,58.68,60.07,2053200.0
2019-08-07,58.826,59.48,58.09,59.11,1938100.0
2019-08-06,58.17,59.09,57.43,58.9,2041400.0
2019-08-05,58.63,59.26,57.93,58.22,2960100.0
2019-08-02,59.12,59.48,58.6,58.7,1496400.0
2019-08-01,57.82,59.29,57.59,58.99,2080000.0
2019-07-31,58.5406,58.93,57.97,58.22,2652500.0
2019-07-30,59.13,59.54,58.32,58.56,1973800.0
2019-07-29,58.74,59.25,58.48,59.18,1960100.0
2019-07-26,58.17,58.89,58.09,58.69,1926000.0
2019-07-25,57.85,58.42,57.45,57.96,1929100.0
2019-07-24,58.4,58.55,57.67,58.01,1945500.0
2019-07-23,58.4486,58.54,57.92,58.27,2117900.0
2019-07-22,58.39,58.58,57.85,58.29,1383800.0
2019-07-19,59.0,59.17,58.24,58.26,1494900.0
2019-07-18,58.61,59.15,58.21,59.13,1053300.0
2019-07-17,58.61,59.06,58.61,58.67,1344800.0
2019-07-16,58.48,58.7223,58.03,58.4,1060100.0
2019-07-15,58.41,58.83,58.17,58.62,1348300.0
2019-07-12,58.96,59.1,58.2893,58.58,1432600.0
2019-07-11,58.83,59.21,58.44,59.0,1404200.0
2019-07-10,59.01,59.23,58.72,58.92,1373000.0
2019-07-09,58.88,58.9708,58.42,58.88,1520400.0
2019-07-08,58.87,59.06,58.53,58.88,1257400.0
2019-07-05,58.53,58.78,57.74,58.72,1307600.0
2019-07-03,58.42,59.21,58.42,58.98,984900.0
2019-07-02,57.9,58.44,57.86,58.23,2037600.0
2019-07-01,57.7768,57.92,57.06,57.66,1772000.0
2019-06-28,57.51,58.18,57.48,57.91,2563100.0
