,open,high,low,close,volume
2019-10-25,91.5,93.44,90.46,93.25,2600668.0
2019-10-24,92.85,93.13,91.29,91.98,2205600.0
2019-10-23,91.9,92.86,91.81,92.79,1986800.0
2019-10-22,91.13,92.56,90.74,92.16,2162500.0
2019-10-21,90.71,91.72,90.57,91.32,1301900.0
2019-10-18,89.92,90.52,89.57,89.8,2182300.0
2019-10-17,90.54,91.09,89.58,90.01,1385100.0
2019-10-16,90.11,91.14,89.79,89.94,2181300.0
2019-10-15,89.04,90.75,88.28,90.13,1542200.0
2019-10-14,88.52,89.32,88.3,88.61,1836600.0
2019-10-11,88.51,90.4,88.27,88.82,2472300.0
2019-10-10,85.9,87.81,85.74,87.03,1648100.0
2019-10-09,85.17,86.15,85.02,85.69,1645700.0
2019-10-08,85.7,86.5,84.36,84.4,1895700.0
2019-10-07,86.99,87.95,86.86,86.88,1330800.0
2019-10-04,85.93,87.38,85.67,87.32,2008800.0
2019-10-03,86.1,86.29,83.73,85.83,2507000.0
2019-10-02,88.12,88.15,85.92,86.25,2300100.0
2019-10-01,91.68,92.1,88.87,89.07,1491600.0
2019-09-30,91.85,91.85,90.86,90.98,1619300.0
2019-09-27,91.8,92.26,90.76,91.34,1357200.0
2019-09-26,91.42,91.94,90.8,91.13,1621600.0
2019-09-25,91.24,91.95,90.23,91.29,2124000.0
2019-09-24,93.22,93.32,90.92,91.35,3304700.0
2019-09-23,92.07,93.18,91.72,92.85,1696800.0
2019-09-20,93.33,94.19,92.73,92.74,2808200.0
2019-09-19,93.86,94.73,93.25,93.27,1373500.0
2019-09-18,93.44,94.26,92.51,93.9,1450300.0
2019-09-17,94.12,94.19,92.77,93.83,1887900.0
2019-09-16,92.89,94.39,92.65,94.34,2402100.0
2019-09-13,93.92,94.66,93.12,93.62,1787700.0
2019-09-12,91.85,93.21,91.01,92.91,3212000.0
2019-09-11,91.83,92.1,90.12,92.09,1921800.0
2019-09-10,91.35,92.46,90.8,91.83,2184500.0
2019-09-09,88.98,91.35,88.77,90.96,2531200.0
2019-09-06,88.42,88.68,87.79,88.19,1594200.0
2019-09-05,86.98,88.9,86.82,88.32,1872600.0
2019-09-04,86.25,86.47,85.35,85.96,2334300.0
2019-09-03,85.75,86.0,84.47,85.35,2647500.0
2019-08-30,86.89,87.27,86.21,86.62,1879100.0
2019-08-29,85.63,86.62,85.55,86.22,1861600.0
2019-08-28,82.76,84.86,82.67,84.59,1818500.0
2019-08-27,84.82,85.03,82.63,83.11,1927800.0
2019-08-26,83.55,84.32,83.15,84.28,1428900.0
2019-08-23,85.12,85.89,82.68,83.11,2172400.0
2019-08-22,86.24,86.8,85.24,85.73,2074700.0
2019-08-21,86.36,86.58,85.78,86.02,1073200.0
2019-08-20,86.53,86.65,85.11,85.22,1838000.0
2019-08-19,86.85,87.45,86.25,86.97,2066400.0
2019-08-16,84.51,85.77,83.2663,85.5,1797000.0
2019-08-15,83.94,85.08,83.27,83.67,2113900.0
2019-08-14,85.21,85.77,83.4,83.45,3022600.0
2019-08-13,85.51,87.95,85.33,87.21,3063400.0
2019-08-12,86.6528,87.09,85.31,85.69,1983000.0
2019-08-09,88.37,88.595,87.22,87.71,2000800.0
2019-08-08,88.4,89.47,87.94,88.76,2597700.0
2019-08-07,86.53,88.195,85.36,87.95,2824500.0
2019-08-06,87.15,88.42,85.89,88.3,2810000.0
2019-08-05,88.18,88.58,85.85,86.62,3189100.0
2019-08-02,90.703,90.7,88.28,89.85,2802100.0
2019-08-01,92.42,93.65,91.07,91.3,3517000.0
