,open,high,low,close,volume
2019-10-25,18.51,19.34,18.33,18.81,9277101.0
2019-10-24,18.6,18.61,18.04,18.46,7876100.0
2019-10-23,18.48,18.77,16.7,18.52,8236000.0
2019-10-22,18.23,18.81,18.22,18.52,6653700.0
2019-10-21,17.89,18.3,17.65,18.25,6876300.0
2019-10-18,17.92,18.2,17.92,17.95,4199100.0
2019-10-17,17.95,18.03,17.68,17.9,4803800.0
2019-10-16,17.88,18.16,17.82,17.85,4315600.0
2019-10-15,17.59,18.34,17.55,17.99,6513500.0
2019-10-14,17.56,17.6,17.28,17.59,5111900.0
2019-10-11,17.7,17.85,17.55,17.56,4450500.0
2019-10-10,17.37,17.56,17.2,17.51,4408800.0
2019-10-09,17.78,17.85,17.25,17.34,7114400.0
2019-10-08,18.01,18.08,17.55,17.69,7847400.0
2019-10-07,17.99,18.24,17.63,18.17,6323100.0
2019-10-04,17.54,18.02,17.54,17.98,6260100.0
2019-10-03,17.05,17.69,17.01,17.67,7014200.0
2019-10-02,17.48,17.67,17.1,17.13,9731300.0
2019-10-01,17.65,17.81,17.45,17.58,6288600.0
2019-09-30,17.43,17.85,17.37,17.57,8151100.0
2019-09-27,17.01,17.6,16.99,17.53,7767700.0
2019-09-26,17.49,17.52,16.97,17.17,9324900.0
2019-09-25,17.78,17.96,17.53,17.58,5362200.0
2019-09-24,18.11,18.15,17.9,17.94,4895400.0
2019-09-23,17.75,18.2,17.75,18.12,6502100.0
2019-09-20,18.22,18.25,17.9,18.05,9901100.0
2019-09-19,18.45,18.53,17.98,18.17,6703800.0
2019-09-18,18.36,18.59,18.27,18.33,7106100.0
2019-09-17,18.07,18.52,17.86,18.35,12067100.0
2019-09-16,18.77,19.29,17.89,18.15,13907000.0
2019-09-13,18.76,18.9,18.55,18.81,7414300.0
2019-09-12,18.84,19.02,18.5,18.65,7139700.0
2019-09-11,18.75,19.01,18.5,19.01,9478400.0
2019-09-10,18.23,18.73,18.2,18.59,11402700.0
2019-09-09,17.66,18.44,17.66,18.4,15727500.0
2019-09-06,17.27,17.61,17.18,17.55,5489600.0
2019-09-05,17.26,17.61,17.16,17.4,5500900.0
2019-09-04,17.19,17.24,17.01,17.13,4989100.0
2019-09-03,16.92,17.2,16.9,17.02,6305100.0
2019-08-30,17.19,17.28,16.86,17.12,5695500.0
2019-08-29,16.88,17.4,16.87,17.23,6898900.0
2019-08-28,16.67,16.86,16.5,16.79,4816500.0
2019-08-27,16.56,16.77,16.51,16.6,5322100.0
2019-08-26,16.93,17.0,16.41,16.55,7844800.0
2019-08-23,16.67,17.07,16.56,16.84,8163400.0
2019-08-22,16.7,16.96,16.61,16.82,6025100.0
2019-08-21,16.91,17.07,16.68,16.84,10899400.0
2019-08-20,16.95,16.96,16.73,16.81,7462100.0
2019-08-19,16.53,16.82,16.45,16.75,7820700.0
2019-08-16,16.31,16.52,16.01,16.47,4936200.0
2019-08-15,16.2,16.36,16.01,16.3,8550600.0
2019-08-14,16.82,16.82,16.08,16.16,9237000.0
2019-08-13,17.33,17.57,16.98,16.99,8743000.0
2019-08-12,17.39,17.62,17.25,17.35,5540900.0
2019-08-09,17.6005,17.82,17.35,17.37,5704300.0
2019-08-08,17.63,17.68,17.28,17.67,8531500.0
2019-08-07,17.1,17.655,16.82,17.46,10974700.0
2019-08-06,17.49,17.55,17.18,17.29,13708700.0
2019-08-05,18.01,18.12,17.22,17.45,15142700.0
2019-08-02,18.88,18.99,18.27,18.27,12909200.0
2019-08-01,19.16,19.16,18.39,18.73,17188000.0
2019-07-31,19.27,19.39,18.99,19.16,15323200.0
2019-07-30,19.09,19.48,19.06,19.33,14935500.0
2019-07-29,19.34,19.56,19.0,19.13,15141400.0
2019-07-26,20.54,20.54,19.04,19.16,22654200.0
2019-07-25,22.2003,22.4,21.71,21.79,6219300.0
2019-07-24,22.33,22.4,22.07,22.11,4301300.0
2019-07-23,22.26,22.379,22.06,22.27,4257700.0
2019-07-22,22.38,22.48,22.04,22.26,4100500.0
2019-07-19,22.43,22.56,22.3,22.32,4141300.0
2019-07-18,22.32,22.57,22.32,22.4,4598300.0
2019-07-17,23.18,23.22,22.35,22.39,6688700.0
2019-07-16,23.47,23.55,23.07,23.25,4413800.0
2019-07-15,23.79,23.94,23.5,23.51,5320500.0
2019-07-12,23.94,24.06,23.81,24.0,2900900.0
2019-07-11,24.06,24.06,23.54,23.81,3006300.0
2019-07-10,24.0,24.12,23.79,24.03,3510500.0
2019-07-09,23.8,24.02,23.5,23.93,4705500.0
2019-07-08,23.7,23.92,23.56,23.84,5143600.0
2019-07-05,23.53,23.7,23.36,23.64,4138200.0
2019-07-03,23.16,23.65,23.08,23.53,4495700.0
2019-07-02,23.23,23.37,22.965,23.02,6522500.0
2019-07-01,23.16,23.28,22.83,23.01,5479200.0
2019-06-28,22.61,22.96,22.61,22.96,6194300.0
2019-06-27,22.59,22.825,22.43,22.66,5151500.0
2019-06-26,23.05,23.19,22.4985,22.63,6750100.0
2019-06-25,23.1,23.224,22.9308,22.96,5639900.0
2019-06-24,23.44,23.585,23.195,23.23,6240500.0
2019-06-21,23.53,23.5991,23.29,23.43,7354400.0
2019-06-20,24.31,24.44,23.53,23.59,7070700.0
2019-06-19,23.79,24.185,23.58,24.07,6303200.0
2019-06-18,24.26,24.33,23.82,23.88,5690100.0
2019-06-17,23.68,24.05,23.58,24.0,6997900.0
2019-06-14,23.97,24.13,23.73,23.77,4864300.0
2019-06-13,23.92,24.1602,23.57,23.9,4250200.0
2019-06-12,23.85,23.965,23.5144,23.72,7253200.0
2019-06-11,24.23,24.3501,23.695,23.99,6823500.0
2019-06-10,25.42,25.46,24.09,24.18,8781100.0
2019-06-07,25.57,25.85,25.345,25.44,7642500.0
2019-06-06,25.33,25.5914,25.225,25.43,5421200.0
