,open,high,low,close,volume
2019-10-25,282.26,286.41,281.26,281.75,198291.0
2019-10-24,283.54,283.56,280.24,282.72,232100.0
2019-10-23,281.11,284.32,280.77,282.2,218300.0
2019-10-22,288.96,290.5,280.26,281.18,322100.0
2019-10-21,289.28,289.74,286.48,287.34,305200.0
2019-10-18,292.19,293.39,287.6,287.81,308300.0
2019-10-17,292.62,295.0,291.32,292.25,213100.0
2019-10-16,294.44,295.02,290.75,291.53,322700.0
2019-10-15,295.24,297.21,291.78,295.15,262000.0
2019-10-14,294.06,294.31,291.44,292.51,139600.0
2019-10-11,293.47,298.27,289.72,293.89,327100.0
2019-10-10,287.82,292.99,287.8,290.81,344000.0
2019-10-09,287.32,290.31,286.52,288.98,388700.0
2019-10-08,292.03,292.03,285.97,286.07,440600.0
2019-10-07,294.88,296.72,293.38,293.94,423700.0
2019-10-04,294.87,297.88,294.0,296.87,420300.0
2019-10-03,289.39,294.15,285.05,293.75,523500.0
2019-10-02,291.22,292.81,286.96,288.93,319500.0
2019-10-01,297.54,298.99,292.56,292.84,288000.0
2019-09-30,294.32,299.17,294.25,297.0,272800.0
2019-09-27,300.82,301.73,292.68,294.25,254300.0
2019-09-26,298.59,301.92,297.27,298.88,279900.0
2019-09-25,299.98,299.98,294.73,297.28,355300.0
2019-09-24,302.98,305.88,297.56,298.94,391300.0
2019-09-23,301.39,303.69,299.3,302.19,251600.0
2019-09-20,301.71,306.37,301.35,302.32,373900.0
2019-09-19,302.92,304.7,301.04,301.25,186100.0
2019-09-18,306.38,307.39,300.6,303.1,412300.0
2019-09-17,302.65,307.0,302.2,305.55,349700.0
2019-09-16,300.01,305.1,298.52,303.09,266300.0
2019-09-13,304.03,306.72,299.85,301.51,408500.0
2019-09-12,302.02,305.32,300.74,305.0,512200.0
2019-09-11,297.0,300.15,297.0,299.17,313200.0
2019-09-10,296.74,299.52,290.86,296.89,404800.0
2019-09-09,302.35,302.35,296.6,297.68,401100.0
2019-09-06,307.8,309.87,302.55,302.84,300500.0
2019-09-05,304.77,307.98,303.21,307.73,457800.0
2019-09-04,300.72,302.4,298.48,301.23,368400.0
2019-09-03,308.78,309.69,296.01,299.54,523800.0
2019-08-30,303.81,309.9,295.25,309.75,771800.0
2019-08-29,322.9,332.7,322.9,328.59,430400.0
2019-08-28,324.0,325.69,318.2,320.97,343300.0
2019-08-27,325.2,327.96,323.24,326.39,190700.0
2019-08-26,323.4,325.0,322.18,324.24,206500.0
2019-08-23,330.03,332.12,320.31,321.67,306500.0
2019-08-22,333.12,334.56,329.46,329.82,270200.0
2019-08-21,333.0,335.15,327.22,332.61,389200.0
2019-08-20,335.75,338.68,332.09,332.33,249200.0
2019-08-19,337.92,339.17,334.59,335.38,228200.0
2019-08-16,338.03,341.85,332.17,335.38,221500.0
2019-08-15,334.12,337.59,332.45,335.96,174200.0
2019-08-14,338.22,343.6,332.608,332.74,176600.0
2019-08-13,334.88,344.318,334.88,340.18,230000.0
2019-08-12,335.42,337.27,332.27,333.05,155800.0
2019-08-09,333.58,338.58,333.58,336.87,260700.0
2019-08-08,330.44,334.89,329.415,334.14,255700.0
2019-08-07,326.07,331.115,322.94,330.62,332300.0
