,open,high,low,close,volume
2019-10-25,11.74,11.9,11.535,11.76,2569580.0
2019-10-24,11.9,11.9,11.66,11.78,2768000.0
2019-10-23,11.9,11.97,11.68,11.9,4051800.0
2019-10-22,11.65,11.93,11.4,11.91,6830500.0
2019-10-21,11.0,11.65,10.7,11.48,17740300.0
2019-10-18,10.15,10.27,10.06,10.12,3163900.0
2019-10-17,10.32,10.39,10.16,10.2,1807400.0
2019-10-16,10.43,10.5,10.28,10.3,3470200.0
2019-10-15,10.63,10.63,10.36,10.38,3009300.0
2019-10-14,10.61,10.9,10.57,10.65,2830700.0
2019-10-11,10.18,10.66,10.09,10.57,3507400.0
2019-10-10,10.1,10.16,10.01,10.07,2557700.0
2019-10-09,10.22,10.25,10.0,10.07,2641300.0
2019-10-08,10.24,10.32,10.08,10.18,2064500.0
2019-10-07,10.33,10.53,10.31,10.34,2032000.0
2019-10-04,10.29,10.36,10.18,10.33,1877600.0
2019-10-03,10.02,10.24,9.85,10.24,1915600.0
2019-10-02,10.51,10.51,10.03,10.05,3120200.0
2019-10-01,10.54,10.63,10.29,10.6,5203400.0
2019-09-30,10.4,10.67,10.36,10.51,3350300.0
2019-09-27,10.47,10.6,10.37,10.53,2322500.0
2019-09-26,10.49,10.52,10.33,10.36,2379500.0
2019-09-25,10.46,10.55,10.41,10.49,1911700.0
2019-09-24,10.39,10.5,10.32,10.42,2718600.0
2019-09-23,10.1,10.36,10.0,10.35,2709200.0
2019-09-20,10.27,10.38,10.14,10.17,6199100.0
2019-09-19,10.47,10.47,10.17,10.27,3376800.0
2019-09-18,10.55,10.66,10.36,10.49,2463700.0
2019-09-17,10.81,10.81,10.46,10.56,3360200.0
2019-09-16,10.59,10.89,10.55,10.85,3876200.0
2019-09-13,10.57,10.73,10.57,10.66,2349900.0
2019-09-12,10.8,10.8,10.51,10.58,3349400.0
2019-09-11,10.55,10.75,10.35,10.74,4523900.0
2019-09-10,10.18,10.63,10.18,10.58,8966600.0
2019-09-09,10.01,10.3,9.98,10.27,4678000.0
2019-09-06,9.75,10.16,9.75,10.02,4830400.0
2019-09-05,9.9,9.98,9.58,9.91,6802300.0
2019-09-04,9.12,9.41,9.01,9.39,5471100.0
2019-09-03,9.5,9.6,9.07,9.11,8927900.0
2019-08-30,9.44,9.64,9.44,9.55,5301600.0
2019-08-29,9.35,9.46,9.17,9.35,6189300.0
2019-08-28,9.37,9.41,9.02,9.33,10250400.0
2019-08-27,8.84,8.86,8.75,8.8,7574300.0
2019-08-26,8.72,8.81,8.7,8.75,2847400.0
2019-08-23,8.89,8.92,8.61,8.68,5153400.0
2019-08-22,8.85,9.05,8.85,8.92,2832800.0
2019-08-21,8.87,9.06,8.77,8.85,3975900.0
2019-08-20,9.08,9.09,8.71,8.81,8547900.0
2019-08-19,9.41,9.45,9.16,9.19,5991300.0
2019-08-16,9.05,9.61,8.96,9.11,4477000.0
2019-08-15,9.56,9.61,9.0,9.01,6739400.0
2019-08-14,9.58,9.61,9.29,9.54,6416900.0
2019-08-13,9.8,9.99,9.67,9.67,7266100.0
2019-08-12,10.29,10.29,9.8309,9.84,3533800.0
2019-08-09,10.41,10.45,10.16,10.37,2346400.0
2019-08-08,10.48,10.64,10.41,10.42,3888000.0
2019-08-07,10.22,10.48,10.105,10.44,4454200.0
2019-08-06,10.26,10.37,10.03,10.29,4641100.0
2019-08-05,10.59,10.62,10.12,10.15,6082000.0
