,open,high,low,close,volume
2019-10-25,47.18,47.18,46.27,46.46,1527121.0
2019-10-24,47.63,47.74,46.73,47.08,1854900.0
2019-10-23,47.71,48.07,47.45,47.8,1784300.0
2019-10-22,48.0,48.0,47.45,47.67,2143700.0
2019-10-21,47.56,48.2,47.56,47.89,1846600.0
2019-10-18,47.9,48.23,47.54,47.56,2235300.0
2019-10-17,47.5,48.38,47.35,47.96,2886800.0
2019-10-16,46.61,47.2,46.53,47.17,1498300.0
2019-10-15,46.83,46.83,45.77,46.61,1592300.0
2019-10-14,46.88,47.02,46.55,46.83,2255400.0
2019-10-11,47.32,47.47,46.82,46.87,1954200.0
2019-10-10,46.59,47.38,46.53,47.32,2402300.0
2019-10-09,46.59,46.84,46.38,46.83,995000.0
2019-10-08,47.01,47.22,46.66,46.77,1609300.0
2019-10-07,47.06,47.38,46.8,47.0,909700.0
2019-10-04,46.94,47.42,46.78,47.34,1573000.0
2019-10-03,46.29,46.94,45.95,46.77,1593100.0
2019-10-02,46.64,46.8,46.12,46.16,1937700.0
2019-10-01,47.0,47.2,46.66,46.82,1750600.0
2019-09-30,46.85,47.27,46.79,46.92,1630700.0
2019-09-27,46.73,46.98,46.41,46.87,1167400.0
2019-09-26,46.91,46.94,46.42,46.7,1334800.0
2019-09-25,46.26,46.89,46.23,46.56,2179800.0
2019-09-24,46.85,46.94,46.13,46.15,1481600.0
2019-09-23,46.91,47.04,46.66,46.66,1421800.0
2019-09-20,46.49,47.25,46.49,46.76,7062000.0
2019-09-19,46.59,46.73,46.18,46.61,1859200.0
2019-09-18,46.71,46.94,46.12,46.58,2606700.0
2019-09-17,46.57,47.12,46.44,46.69,2841700.0
2019-09-16,46.07,46.78,45.82,46.74,1932200.0
2019-09-13,46.89,47.35,46.01,46.28,4608600.0
2019-09-12,46.9,47.46,46.89,47.15,4153800.0
2019-09-11,45.89,46.66,45.64,46.66,3144400.0
2019-09-10,44.43,45.94,44.3,45.89,3165200.0
2019-09-09,45.07,45.08,44.11,44.59,2620300.0
2019-09-06,44.78,45.2,44.53,44.98,1851600.0
2019-09-05,45.13,45.13,44.27,44.62,2129300.0
2019-09-04,45.7,46.2,45.05,45.07,2396600.0
2019-09-03,44.81,45.5,44.14,45.43,3118200.0
2019-08-30,44.92,48.03,44.75,45.0,11450600.0
2019-08-29,42.23,43.52,41.89,43.31,4164400.0
2019-08-28,41.98,42.08,41.56,41.97,1641800.0
2019-08-27,42.6,42.66,41.67,42.05,1829100.0
2019-08-26,42.83,43.11,42.41,42.66,1581500.0
2019-08-23,43.68,43.7,42.4,42.68,1531200.0
2019-08-22,43.27,43.84,43.27,43.68,1120300.0
2019-08-21,43.29,43.76,42.87,43.27,4363900.0
2019-08-20,43.43,43.43,42.81,43.08,2634000.0
2019-08-19,42.66,43.37,42.47,43.19,2145700.0
2019-08-16,42.41,42.72,41.26,42.64,935800.0
2019-08-15,41.47,42.35,41.26,42.16,1266200.0
2019-08-14,42.23,42.2402,41.38,41.46,1626000.0
2019-08-13,42.06,42.57,41.79,42.26,1526000.0
2019-08-12,41.75,42.3,41.62,42.11,1372400.0
2019-08-09,42.15,42.7,41.6524,41.79,1252300.0
2019-08-08,41.21,42.13,41.15,42.03,1692300.0
2019-08-07,41.17,41.73,40.61,41.57,2088000.0
2019-08-06,41.18,41.43,40.69,41.26,1421600.0
2019-08-05,42.1,42.29,40.8208,41.21,1621700.0
2019-08-02,42.25,42.72,41.8601,42.34,1957700.0
2019-08-01,41.53,42.47,41.53,42.11,2265900.0
2019-07-31,41.65,41.75,40.82,41.34,1532200.0
2019-07-30,41.37,41.79,41.17,41.66,1749500.0
2019-07-29,41.02,41.42,40.81,41.34,1384800.0
2019-07-26,40.58,41.07,40.18,40.96,1224600.0
2019-07-25,40.33,40.66,40.03,40.4,1483200.0
2019-07-24,41.33,41.33,40.38,40.52,1517000.0
2019-07-23,41.29,41.64,41.06,41.47,1427200.0
2019-07-22,41.28,41.41,40.95,41.14,1374800.0
2019-07-19,41.65,41.7995,41.23,41.27,1388600.0
2019-07-18,41.53,41.77,41.27,41.68,1101500.0
2019-07-17,41.38,41.49,41.08,41.35,1022800.0
2019-07-16,41.17,41.41,41.09,41.29,1550600.0
2019-07-15,40.95,41.27,40.71,41.12,1227500.0
2019-07-12,40.91,41.05,40.76,40.92,1056600.0
2019-07-11,41.23,41.23,40.39,40.87,1284200.0
2019-07-10,41.5,41.67,41.32,41.4,2645400.0
2019-07-09,41.57,41.6099,41.18,41.46,1586800.0
2019-07-08,41.58,41.65,41.2882,41.5,1275100.0
2019-07-05,41.47,41.66,40.81,41.57,1615000.0
2019-07-03,40.8519,41.775,40.81,41.67,1625400.0
2019-07-02,40.2728,40.68,39.99,40.64,1984700.0
2019-07-01,40.44,40.58,39.78,40.12,1865500.0
2019-06-28,39.8793,40.26,39.77,40.07,3221400.0
2019-06-27,40.07,40.13,39.24,39.75,2590800.0
2019-06-26,40.5,40.92,40.05,40.46,3931800.0
2019-06-25,40.5,41.13,40.5,41.04,2922100.0
2019-06-24,40.89,41.0866,40.415,40.53,3297900.0
2019-06-21,41.06,41.255,40.6,40.69,4017000.0
2019-06-20,41.28,41.4595,40.6,41.03,1820200.0
2019-06-19,40.76,41.38,40.7,41.26,2163500.0
2019-06-18,41.52,41.636,40.61,40.86,2396500.0
2019-06-17,42.22,42.22,40.8866,41.37,2905200.0
2019-06-14,42.74,42.74,42.15,42.26,1823200.0
2019-06-13,42.42,42.72,42.12,42.64,2331000.0
2019-06-12,42.68,43.06,42.27,42.43,2611900.0
2019-06-11,41.95,42.54,41.72,42.53,2300800.0
2019-06-10,43.08,43.11,41.58,42.01,3260300.0
2019-06-07,43.19,43.66,42.67,43.08,3613200.0
2019-06-06,41.73,43.22,41.66,43.01,5299500.0
