,open,high,low,close,volume
2019-10-25,71.93,72.485,71.57,72.32,2157104.0
2019-10-24,72.53,72.74,71.26,71.66,3001600.0
2019-10-23,72.0,72.43,71.55,72.26,7008700.0
2019-10-22,70.76,72.32,69.98,72.29,7590000.0
2019-10-21,68.91,70.81,68.91,70.75,8598800.0
2019-10-18,68.55,69.21,68.3,68.67,20265600.0
2019-10-17,70.96,72.12,69.54,69.78,11474300.0
2019-10-16,69.92,69.92,68.53,69.0,4570700.0
2019-10-15,68.56,69.6,68.4,69.17,4208700.0
2019-10-14,68.61,68.94,68.01,68.56,2711100.0
2019-10-11,68.0,69.64,67.56,69.05,4379100.0
2019-10-10,66.25,67.03,66.22,66.94,3810400.0
2019-10-09,66.18,66.87,66.04,66.22,4026200.0
2019-10-08,66.05,66.8,65.63,65.86,4050900.0
2019-10-07,66.58,67.42,66.23,66.79,3462800.0
2019-10-04,66.34,67.03,65.93,66.71,6504200.0
2019-10-03,66.13,67.23,65.37,66.96,4915400.0
2019-10-02,66.61,67.31,66.1,66.27,6949400.0
2019-10-01,69.61,70.0,66.7,67.02,4072600.0
2019-09-30,68.95,69.92,68.95,69.27,3095900.0
2019-09-27,69.68,70.0,68.55,68.91,2597700.0
2019-09-26,68.89,69.76,68.68,69.42,2933800.0
2019-09-25,68.85,69.19,68.21,68.87,3048300.0
2019-09-24,69.22,70.39,68.35,68.63,5386200.0
2019-09-23,68.61,69.06,67.97,68.86,4060300.0
2019-09-20,70.72,71.0,68.42,68.62,12804900.0
2019-09-19,71.34,71.44,70.57,70.79,2851200.0
2019-09-18,70.92,71.24,70.08,71.15,3652700.0
2019-09-17,72.36,72.36,70.75,71.18,3110200.0
2019-09-16,71.71,72.85,71.55,72.39,5190000.0
2019-09-13,71.98,72.75,71.98,72.47,5511300.0
2019-09-12,71.04,71.81,70.47,71.55,6672900.0
2019-09-11,70.69,71.23,69.76,70.97,8121600.0
2019-09-10,69.04,70.81,69.03,70.69,6610700.0
2019-09-09,67.91,69.07,67.52,69.05,4890800.0
2019-09-06,68.44,68.59,67.14,67.52,5419900.0
2019-09-05,68.01,68.78,67.96,68.06,5767200.0
2019-09-04,66.55,67.55,66.55,67.5,6065900.0
2019-09-03,66.34,66.72,65.44,66.35,3794600.0
2019-08-30,67.14,67.67,66.91,67.02,3897700.0
2019-08-29,65.9,67.0,65.85,66.51,4669900.0
2019-08-28,64.25,65.41,64.07,65.39,3703200.0
2019-08-27,65.53,65.65,64.41,64.41,3526900.0
2019-08-26,65.24,65.65,64.53,65.03,3952000.0
2019-08-23,65.7,66.25,64.27,64.62,5330600.0
2019-08-22,65.74,66.76,65.39,66.14,5539300.0
