,open,high,low,close,volume
2019-10-25,272.31,272.63,269.97,270.34,235188.0
2019-10-24,268.64,272.64,267.94,272.34,402600.0
2019-10-23,265.88,268.17,264.69,268.13,282200.0
2019-10-22,270.32,270.64,265.91,266.13,263300.0
2019-10-21,270.04,271.96,268.44,269.99,300500.0
2019-10-18,268.58,270.0,266.79,269.31,451900.0
2019-10-17,268.76,269.65,266.16,268.33,376200.0
2019-10-16,269.18,269.18,265.77,266.97,420500.0
2019-10-15,266.62,269.5,266.0,269.45,472900.0
2019-10-14,267.7,268.28,265.79,265.94,519000.0
2019-10-11,270.3,271.78,267.31,267.61,443400.0
2019-10-10,263.37,266.7,262.1,266.07,382500.0
2019-10-09,261.15,264.43,260.9,263.57,275300.0
2019-10-08,258.87,262.79,257.26,260.33,570800.0
2019-10-07,262.37,262.96,259.78,260.97,301200.0
2019-10-04,260.11,263.19,259.48,262.86,445300.0
2019-10-03,258.07,259.4,253.86,258.63,456100.0
2019-10-02,261.93,261.98,256.75,258.95,683500.0
2019-10-01,268.53,268.82,262.36,262.39,518700.0
2019-09-30,267.18,269.55,265.46,268.1,561200.0
2019-09-27,268.17,270.11,264.21,266.13,893400.0
2019-09-26,266.33,268.68,265.06,268.02,700900.0
2019-09-25,262.0,267.89,260.17,266.62,1725600.0
2019-09-24,256.26,257.9,251.24,252.14,612800.0
2019-09-23,254.44,255.36,252.37,254.65,569700.0
2019-09-20,252.72,256.88,251.92,253.78,1090100.0
2019-09-19,248.87,252.96,248.87,251.42,491700.0
2019-09-18,250.12,250.12,246.89,249.67,544500.0
2019-09-17,247.98,250.34,247.98,249.95,384400.0
2019-09-16,245.5,249.01,244.0,247.46,770600.0
2019-09-13,246.6,247.62,244.59,246.68,858700.0
2019-09-12,247.79,249.75,246.38,246.51,715400.0
2019-09-11,249.99,250.0,244.78,246.02,878700.0
2019-09-10,253.55,254.17,246.96,248.97,1047900.0
2019-09-09,267.56,267.56,255.23,255.66,930100.0
2019-09-06,267.19,269.27,265.95,266.19,288400.0
2019-09-05,266.92,270.24,266.37,267.24,380800.0
2019-09-04,262.15,265.33,260.0,264.01,647700.0
2019-09-03,262.6,264.0,258.53,259.93,390500.0
2019-08-30,263.42,266.67,262.79,263.8,391300.0
2019-08-29,264.0,266.0,263.74,264.6,365400.0
2019-08-28,259.81,262.56,258.25,262.18,387600.0
2019-08-27,263.24,263.46,260.85,261.15,530600.0
2019-08-26,259.73,260.45,257.52,260.34,567400.0
2019-08-23,263.53,264.15,254.67,256.04,537400.0
2019-08-22,268.68,268.68,263.47,264.46,323500.0
2019-08-21,267.9,269.03,266.39,267.65,659700.0
2019-08-20,269.25,270.36,266.58,267.84,355700.0
2019-08-19,267.79,268.96,265.0,267.82,467000.0
