,open,high,low,close,volume
2019-10-25,12.82,12.93,12.76,12.89,6138248.0
2019-10-24,13.05,13.07,12.65,12.77,12552800.0
2019-10-23,12.77,13.1,12.62,13.09,14966400.0
2019-10-22,12.35,12.83,12.21,12.81,12276500.0
2019-10-21,12.5,12.79,12.31,12.41,12326700.0
2019-10-18,12.02,12.71,11.99,12.44,16496600.0
2019-10-17,12.2,12.21,11.92,12.04,6980300.0
2019-10-16,12.03,12.4,12.03,12.17,12312500.0
2019-10-15,11.7,12.25,11.68,12.11,14070300.0
2019-10-14,11.73,11.82,11.57,11.81,7411300.0
2019-10-11,11.77,11.92,11.71,11.73,7310400.0
2019-10-10,11.42,11.74,11.42,11.63,7019400.0
2019-10-09,11.45,11.55,11.39,11.42,4870300.0
2019-10-08,11.43,11.53,11.25,11.35,12844200.0
2019-10-07,11.49,11.56,11.35,11.49,13190200.0
2019-10-04,11.48,11.62,11.34,11.54,9317600.0
2019-10-03,11.53,11.58,11.36,11.5,8857900.0
2019-10-02,12.05,12.1,11.51,11.53,12858800.0
2019-10-01,12.5,12.58,12.05,12.13,15106100.0
2019-09-30,12.43,12.61,12.35,12.48,11897800.0
2019-09-27,12.62,12.82,12.39,12.39,13681300.0
2019-09-26,12.92,12.93,12.52,12.54,8096600.0
2019-09-25,12.71,12.99,12.66,12.92,7262500.0
2019-09-24,12.96,12.98,12.65,12.73,9989300.0
2019-09-23,12.46,12.94,12.39,12.92,10451000.0
2019-09-20,12.88,12.94,12.48,12.52,18167700.0
2019-09-19,12.81,12.93,12.74,12.81,9407000.0
2019-09-18,12.66,12.81,12.53,12.8,11994900.0
2019-09-17,12.88,13.07,12.69,12.81,12840600.0
2019-09-16,12.75,13.01,12.64,12.88,10268100.0
2019-09-13,13.57,13.62,12.79,12.9,16283500.0
2019-09-12,13.4,13.61,12.87,13.53,17361000.0
2019-09-11,12.68,13.36,12.67,13.31,22745900.0
2019-09-10,12.0,12.61,11.98,12.6,20445700.0
2019-09-09,11.92,12.23,11.91,11.96,10193400.0
2019-09-06,11.88,11.97,11.79,11.8,7122000.0
2019-09-05,11.73,11.9,11.65,11.86,10834500.0
2019-09-04,11.65,11.88,11.6,11.66,9938600.0
2019-09-03,11.3,11.53,11.21,11.52,10688600.0
2019-08-30,11.32,11.47,11.27,11.38,8428200.0
2019-08-29,11.28,11.43,11.22,11.31,8016200.0
2019-08-28,11.38,11.56,11.21,11.56,12222400.0
2019-08-27,11.7,11.75,11.36,11.36,11290400.0
2019-08-26,11.33,11.61,11.31,11.6,6165200.0
2019-08-23,11.5,11.62,11.17,11.21,11600800.0
2019-08-22,11.44,11.7,11.36,11.57,8709400.0
2019-08-21,11.32,11.41,11.22,11.35,6829900.0
2019-08-20,11.46,11.71,11.21,11.26,12676100.0
2019-08-19,11.27,11.6,11.22,11.53,14485600.0
2019-08-16,10.7,11.4,10.5,11.21,11492000.0
2019-08-15,11.32,11.4,10.5,10.56,15091800.0
2019-08-14,11.32,11.42,11.19,11.29,13149800.0
2019-08-13,11.26,11.72,11.17,11.48,12494800.0
2019-08-12,10.77,11.23,10.74,11.2,14970900.0
2019-08-09,10.6401,10.84,10.29,10.78,12820600.0
2019-08-08,11.4,11.64,10.4,10.7,37874100.0
2019-08-07,11.7,11.745,11.45,11.58,13692000.0
2019-08-06,11.85,11.95,11.56,11.95,10833800.0
2019-08-05,11.79,11.87,11.65,11.79,10207700.0
2019-08-02,11.9908,12.02,11.65,12.02,9076500.0
2019-08-01,12.2,12.31,11.99,12.06,11355700.0
2019-07-31,12.12,12.44,12.02,12.09,11572400.0
2019-07-30,11.74,12.12,11.58,12.11,13173200.0
2019-07-29,11.78,11.8,11.57,11.77,7255100.0
2019-07-26,11.52,11.77,11.4,11.75,6221100.0
2019-07-25,11.47,11.51,11.39,11.46,6878900.0
2019-07-24,11.2506,11.7,11.2,11.47,9327100.0
2019-07-23,11.1,11.22,10.9396,11.17,11710900.0
2019-07-22,11.33,11.38,10.86,11.08,14410800.0
2019-07-19,11.41,11.49,11.29,11.37,10688400.0
2019-07-18,11.76,11.76,11.25,11.4,15470600.0
2019-07-17,12.17,12.1693,11.77,11.79,10657900.0
2019-07-16,12.25,12.34,12.13,12.16,10890900.0
2019-07-15,12.2,12.2702,12.1,12.26,6854800.0
2019-07-12,12.09,12.22,11.97,12.2,6750700.0
2019-07-11,11.94,12.21,11.93,12.07,10760900.0
2019-07-10,11.86,11.99,11.8,11.93,8349500.0
2019-07-09,11.68,11.8,11.61,11.78,5848700.0
2019-07-08,11.77,11.84,11.63,11.68,13604300.0
2019-07-05,11.71,11.86,11.62,11.77,5795200.0
2019-07-03,11.7,11.76,11.54,11.75,15235900.0
2019-07-02,11.7,11.84,11.63,11.64,9730600.0
2019-07-01,11.92,11.97,11.65,11.7,12630000.0
2019-06-28,11.7,11.83,11.6,11.76,18675400.0
2019-06-27,11.14,11.74,11.09,11.64,14638400.0
2019-06-26,10.81,10.94,10.78,10.91,8665900.0
2019-06-25,11.06,11.085,10.67,10.75,16681800.0
2019-06-24,11.38,11.38,11.075,11.12,15178300.0
2019-06-21,11.35,11.41,11.25,11.34,29562200.0
2019-06-20,11.44,11.53,11.28,11.35,9432800.0
2019-06-19,11.45,11.57,11.28,11.33,11484000.0
2019-06-18,11.26,11.45,11.2606,11.45,12370400.0
2019-06-17,11.15,11.39,11.0996,11.26,14432600.0
2019-06-14,11.16,11.2,10.9703,11.1,9681500.0
2019-06-13,10.82,11.16,10.77,11.15,14498200.0
2019-06-12,10.62,10.84,10.52,10.77,12741900.0
2019-06-11,10.39,10.87,10.3503,10.67,12742100.0
2019-06-10,10.54,10.675,10.29,10.33,11059200.0
2019-06-07,10.53,10.62,10.38,10.54,8047000.0
2019-06-06,10.15,10.5,10.13,10.48,10865600.0
