,open,high,low,close,volume
2019-10-25,65.71,66.76,65.2,65.82,1404874.0
2019-10-24,65.71,66.16,64.37,65.84,1324600.0
2019-10-23,64.75,66.14,63.79,65.44,1123900.0
2019-10-22,63.6,65.91,63.3,65.05,1588500.0
2019-10-21,62.26,63.98,62.21,63.38,1413800.0
2019-10-18,63.46,64.22,62.24,62.45,1863300.0
2019-10-17,64.98,64.98,62.79,63.14,2801200.0
2019-10-16,65.61,66.66,64.67,64.77,1418400.0
2019-10-15,65.61,67.21,64.97,66.32,1254400.0
2019-10-14,64.46,66.05,64.27,65.82,1834200.0
2019-10-11,65.02,66.66,63.99,65.74,1597000.0
2019-10-10,63.34,65.01,62.76,64.19,1975300.0
2019-10-09,62.91,63.33,62.04,63.16,1996400.0
2019-10-08,62.31,62.86,61.37,61.95,2474800.0
2019-10-07,64.91,65.25,63.19,63.27,2023300.0
2019-10-04,64.88,65.69,63.64,64.6,1996800.0
2019-10-03,62.71,65.27,62.56,64.9,2445200.0
2019-10-02,64.21,65.86,62.97,63.1,2968400.0
2019-10-01,68.6,68.76,64.5,64.5,2303800.0
2019-09-30,68.51,69.17,67.72,67.9,1383500.0
2019-09-27,67.43,69.25,67.03,68.8,1746800.0
2019-09-26,69.42,69.44,68.0,68.35,1791400.0
2019-09-25,70.5,71.36,69.16,70.16,1430600.0
2019-09-24,72.33,72.77,70.91,71.37,1588300.0
2019-09-23,71.78,73.47,71.53,72.91,1405900.0
2019-09-20,73.21,74.44,72.59,73.23,3634700.0
2019-09-19,74.05,74.86,72.11,72.68,1744700.0
2019-09-18,73.17,74.61,72.26,73.46,1844100.0
2019-09-17,75.59,76.07,71.14,74.38,2919100.0
2019-09-16,78.93,78.93,73.95,76.15,4899500.0
2019-09-13,73.55,74.11,71.44,73.56,1737800.0
2019-09-12,73.0,73.34,71.44,72.39,3133100.0
2019-09-11,75.34,77.3,74.13,74.75,2016200.0
2019-09-10,74.99,77.43,74.45,74.77,2250900.0
2019-09-09,70.54,74.3,70.48,74.24,2370400.0
2019-09-06,69.82,70.15,68.49,69.68,4079600.0
2019-09-05,73.5,73.89,70.12,70.36,3900300.0
2019-09-04,71.0,73.18,70.35,72.97,3330500.0
2019-09-03,71.76,72.23,69.28,69.44,7471300.0
2019-08-30,72.78,73.63,71.63,73.15,2209500.0
2019-08-29,71.25,73.4,70.78,72.67,1539500.0
2019-08-28,69.59,71.31,69.19,70.73,1334600.0
2019-08-27,69.82,69.98,68.25,69.02,1282700.0
2019-08-26,70.87,71.28,68.72,69.19,1118300.0
2019-08-23,71.5,73.13,69.59,69.96,2150400.0
2019-08-22,73.13,74.25,72.6,73.05,1407700.0
2019-08-21,73.25,74.01,71.52,72.76,1362600.0
2019-08-20,72.3,72.77,71.1,72.33,3048800.0
2019-08-19,73.19,73.62,72.27,72.98,1569400.0
2019-08-16,69.51,71.79,68.41,71.63,2829500.0
2019-08-15,68.94,70.31,68.41,69.26,2335000.0
2019-08-14,69.08,69.21,67.3,68.87,3347200.0
2019-08-13,70.25,72.87,69.71,71.22,2185400.0
2019-08-12,71.34,71.7,69.76,70.98,2402900.0
2019-08-09,73.5905,73.64,71.84,71.91,2096500.0
2019-08-08,69.47,73.51,69.3,73.41,5159500.0
2019-08-07,65.09,69.41,63.92,68.0,10101600.0
2019-08-06,69.4,70.22,66.2,66.64,6437900.0
2019-08-05,70.75,71.96,69.65,70.23,4567000.0
2019-08-02,76.05,77.21,72.76,72.85,8016800.0
2019-08-01,78.7,81.13,72.9788,75.97,17881200.0
2019-07-31,97.86,99.42,96.93,97.68,1707500.0
2019-07-30,94.85,98.57,94.42,97.93,1445200.0
2019-07-29,97.01,97.56,94.44,95.1,1186300.0
2019-07-26,97.91,98.33,96.4,97.13,1326700.0
2019-07-25,103.58,103.746,98.07,98.31,1660900.0
2019-07-24,101.72,104.876,101.72,102.26,1277700.0
2019-07-23,100.7129,102.2,99.9,102.07,990700.0
2019-07-22,101.69,102.32,99.64,100.69,1169800.0
2019-07-19,98.94,101.79,97.97,101.62,1975800.0
2019-07-18,97.92,99.46,97.4,98.84,2510400.0
2019-07-17,98.5,99.7,98.04,98.22,2097100.0
2019-07-16,99.33,99.69,97.34,98.8,1608800.0
2019-07-15,102.59,103.02,98.68,99.07,1124700.0
2019-07-12,102.44,103.25,101.65,102.19,935200.0
2019-07-11,103.14,103.51,101.86,102.7,1102500.0
2019-07-10,101.28,103.25,101.11,103.0,1317900.0
2019-07-09,100.4,100.61,98.82,100.27,1338000.0
2019-07-08,100.07,102.0,99.68,100.85,893900.0
2019-07-05,98.69,101.01,98.69,100.93,1055500.0
2019-07-03,99.47,99.97,98.55,98.8,883300.0
2019-07-02,103.01,103.48,98.51,98.97,1774600.0
2019-07-01,105.5,105.935,101.54,103.4,2056500.0
2019-06-28,102.19,103.92,102.12,103.18,2261000.0
