,open,high,low,close,volume
2019-10-25,82.94,83.05,81.41,81.89,2382954.0
2019-10-24,82.71,83.13,82.55,82.72,2265700.0
2019-10-23,82.82,83.19,82.14,82.72,2685100.0
2019-10-22,82.58,83.23,82.33,82.82,2570700.0
2019-10-21,82.27,82.47,81.86,82.42,2087900.0
2019-10-18,82.06,82.44,81.72,82.16,3210300.0
2019-10-17,81.86,82.68,81.66,82.38,2369600.0
2019-10-16,81.29,81.89,81.02,81.8,2585200.0
2019-10-15,81.3,81.55,80.95,81.38,2383600.0
2019-10-14,82.09,82.19,81.07,81.24,3246500.0
2019-10-11,81.98,82.59,81.35,81.9,3088600.0
2019-10-10,81.13,81.84,80.45,81.78,3258100.0
2019-10-09,80.94,81.64,80.8,81.34,2764000.0
2019-10-08,81.06,81.22,80.45,80.72,2742700.0
2019-10-07,81.51,81.62,80.88,81.18,2731700.0
2019-10-04,79.79,81.76,79.73,81.7,4538100.0
2019-10-03,80.01,80.04,78.95,79.62,4008200.0
2019-10-02,80.99,81.18,79.81,79.97,3561500.0
2019-10-01,80.86,81.26,80.55,81.22,3095100.0
2019-09-30,81.03,81.39,80.72,81.04,2711100.0
2019-09-27,80.97,81.02,80.45,80.99,2793900.0
2019-09-26,80.7,81.05,80.18,80.76,2497400.0
2019-09-25,80.84,80.89,79.83,80.39,3663700.0
2019-09-24,80.88,81.43,80.61,80.84,4284000.0
2019-09-23,80.73,81.17,80.53,80.85,3247600.0
2019-09-20,81.24,81.24,80.33,80.84,8128700.0
2019-09-19,80.35,81.04,79.93,80.92,3032700.0
2019-09-18,79.39,80.51,79.35,80.06,4502700.0
2019-09-17,78.89,79.43,78.53,79.03,3281200.0
2019-09-16,78.54,78.72,77.92,78.49,2517600.0
2019-09-13,78.17,79.0,77.94,78.52,3669200.0
2019-09-12,78.78,79.08,77.92,78.54,3063900.0
2019-09-11,77.0,78.43,76.69,78.43,4484300.0
2019-09-10,76.42,77.08,76.36,77.01,3233300.0
2019-09-09,76.37,76.89,76.05,76.67,3848800.0
2019-09-06,77.65,77.84,76.27,76.37,3740300.0
2019-09-05,77.91,78.1,77.15,77.43,3943100.0
2019-09-04,79.09,79.29,78.62,79.15,2718000.0
