,open,high,low,close,volume
2019-10-25,53.61,54.737,53.6,54.6,4295946.0
2019-10-24,54.3,54.66,53.48,53.79,4825300.0
2019-10-23,54.05,54.24,53.6,53.81,4876100.0
2019-10-22,54.69,54.96,54.06,54.65,5646900.0
2019-10-21,54.19,54.98,54.1,54.58,6699600.0
2019-10-18,53.19,53.99,53.18,53.83,6966400.0
2019-10-17,53.52,53.76,53.25,53.37,4402000.0
2019-10-16,53.75,54.13,53.07,53.17,5532800.0
2019-10-15,53.21,53.99,53.01,53.64,8413300.0
2019-10-14,52.05,53.2,51.97,52.99,6631900.0
2019-10-11,53.5,53.77,52.64,52.95,10935000.0
2019-10-10,51.95,53.26,51.07,53.1,22703500.0
2019-10-09,54.01,54.4,53.59,53.92,7615300.0
2019-10-08,53.02,54.1,52.89,53.2,8039400.0
2019-10-07,53.75,54.11,53.24,53.36,8659800.0
2019-10-04,52.85,53.96,52.68,53.81,6620900.0
2019-10-03,53.12,53.86,51.81,52.83,14346800.0
2019-10-02,55.74,55.75,52.87,54.35,13770400.0
2019-10-01,58.05,58.68,56.65,57.01,7102200.0
2019-09-30,58.51,58.69,57.52,57.6,5208200.0
2019-09-27,58.97,59.38,58.16,58.28,4395800.0
2019-09-26,58.11,58.81,57.93,58.78,3795400.0
2019-09-25,58.04,58.49,57.68,58.31,3193100.0
2019-09-24,58.62,58.91,57.56,58.0,5047700.0
2019-09-23,58.31,58.66,57.84,58.02,4387100.0
2019-09-20,58.8,59.18,58.49,58.63,6139400.0
2019-09-19,59.25,59.25,58.31,58.69,3569900.0
2019-09-18,59.45,59.5,58.67,59.31,4075600.0
2019-09-17,58.31,59.77,58.16,59.37,8176700.0
2019-09-16,58.03,59.13,57.25,59.07,9556400.0
2019-09-13,60.0,60.58,59.61,60.01,7548400.0
2019-09-12,58.78,59.89,58.78,59.44,5188700.0
2019-09-11,58.62,59.18,58.14,58.78,4163700.0
2019-09-10,58.08,58.72,57.8,58.64,4409600.0
2019-09-09,57.98,58.45,57.56,58.11,5740500.0
2019-09-06,58.7,58.96,57.89,57.98,5741100.0
2019-09-05,57.66,58.94,57.55,58.19,4461600.0
2019-09-04,57.62,58.04,56.74,57.23,4939600.0
2019-09-03,57.44,57.91,56.65,57.29,6601700.0
2019-08-30,58.15,58.86,57.59,57.86,4268300.0
2019-08-29,57.12,58.13,57.06,57.88,4101400.0
2019-08-28,55.84,57.17,55.8,56.68,5264100.0
2019-08-27,56.63,56.68,55.57,56.14,7702800.0
2019-08-26,56.76,56.87,55.95,56.28,3414500.0
2019-08-23,57.82,58.07,55.84,56.2,5921400.0
2019-08-22,58.13,58.28,57.47,57.96,3436400.0
2019-08-21,58.25,58.57,57.85,58.01,3014900.0
2019-08-20,58.02,58.17,57.59,57.68,2513700.0
2019-08-19,58.68,59.0,58.14,58.19,3503500.0
2019-08-16,57.43,58.36,56.78,58.04,4226100.0
2019-08-15,57.47,57.7,56.78,57.11,4360400.0
2019-08-14,57.92,58.06,56.7,57.23,7662800.0
2019-08-13,58.2,59.92,58.17,58.84,6156200.0
2019-08-12,59.07,59.3,58.27,58.66,4788300.0
2019-08-09,59.69,60.16,59.07,59.53,5606400.0
2019-08-08,59.93,60.45,59.4,60.03,5414000.0
2019-08-07,58.02,59.55,57.43,59.24,7648800.0
2019-08-06,58.49,58.9,58.09,58.79,4704500.0
2019-08-05,59.37,59.39,57.03,57.82,8855700.0
2019-08-02,59.9,60.53,59.48,60.13,3739500.0
2019-08-01,61.31,61.77,59.77,60.32,5838000.0
2019-07-31,62.5,62.53,60.68,61.04,7229600.0
2019-07-30,62.31,62.68,62.09,62.63,2910000.0
2019-07-29,61.98,62.72,61.85,62.46,4972200.0
2019-07-26,62.25,62.66,61.91,62.16,3857900.0
2019-07-25,62.77,63.13,61.84,62.23,5351700.0
2019-07-24,62.39,63.44,62.38,63.16,5718800.0
2019-07-23,61.45,63.11,61.27,63.09,7452200.0
2019-07-22,61.45,61.63,61.06,61.29,4786300.0
