,open,high,low,close,volume
2019-10-25,100.54,101.19,99.94,100.63,755765.0
2019-10-24,102.49,102.81,99.57,100.29,1180800.0
2019-10-23,101.19,103.73,100.81,102.92,1230300.0
2019-10-22,102.2,102.27,100.13,100.75,2669600.0
2019-10-21,102.83,103.0,102.0,102.28,1469000.0
2019-10-18,104.83,104.83,102.0,102.66,1649700.0
2019-10-17,105.89,106.23,104.61,104.73,1072500.0
2019-10-16,105.03,105.99,104.59,105.82,746400.0
2019-10-15,104.66,105.34,104.11,104.81,711700.0
2019-10-14,103.53,104.25,103.15,103.73,388200.0
2019-10-11,103.89,104.9,103.48,103.52,488200.0
2019-10-10,103.37,103.7,102.66,103.0,637700.0
2019-10-09,102.77,103.58,102.43,103.25,453800.0
2019-10-08,104.15,104.15,101.94,102.14,626600.0
2019-10-07,104.43,105.21,104.14,104.67,1015300.0
2019-10-04,103.69,104.75,103.42,104.75,1105200.0
2019-10-03,104.32,104.39,101.92,103.46,1122000.0
2019-10-02,105.72,105.92,104.63,105.34,955600.0
2019-10-01,107.43,107.73,106.14,106.32,702100.0
2019-09-30,105.62,107.37,105.5,107.03,755400.0
2019-09-27,107.0,107.0,104.81,105.49,789200.0
2019-09-26,106.21,106.62,105.36,106.46,811600.0
2019-09-25,106.36,106.45,105.13,105.66,737700.0
2019-09-24,107.3,107.42,105.85,106.41,785800.0
2019-09-23,106.82,107.44,106.58,106.82,749700.0
2019-09-20,105.98,107.97,105.87,107.42,1234200.0
2019-09-19,106.54,106.92,105.51,105.72,411400.0
2019-09-18,106.26,106.42,105.44,106.22,641800.0
2019-09-17,105.61,106.56,105.49,106.25,800400.0
2019-09-16,103.74,105.73,103.74,105.67,484500.0
2019-09-13,105.33,106.0,104.28,104.4,819800.0
2019-09-12,104.73,105.32,103.96,104.97,1219200.0
2019-09-11,104.76,105.0,102.79,103.93,1012800.0
2019-09-10,104.93,105.32,103.9,104.55,1164600.0
2019-09-09,104.51,105.23,103.35,105.01,1412000.0
2019-09-06,102.84,104.4,102.12,104.21,1542500.0
2019-09-05,103.69,103.69,102.23,102.72,703100.0
2019-09-04,102.95,103.06,102.07,102.73,539400.0
2019-09-03,101.58,102.41,101.33,102.28,741100.0
2019-08-30,102.55,103.58,102.15,102.37,1413800.0
2019-08-29,101.86,102.48,101.11,102.35,898600.0
2019-08-28,100.25,101.14,100.11,100.93,800300.0
2019-08-27,101.89,102.24,100.46,100.46,806900.0
2019-08-26,102.14,102.26,100.88,101.31,972600.0
2019-08-23,102.57,103.67,101.23,101.6,1758700.0
2019-08-22,103.3,103.6,102.03,102.62,938800.0
2019-08-21,102.04,103.29,101.75,103.15,883500.0
2019-08-20,102.34,102.34,101.4,101.44,734000.0
2019-08-19,101.33,102.4,101.06,102.08,792400.0
2019-08-16,100.56,101.08,99.23,100.6,897100.0
2019-08-15,99.99,100.41,99.23,99.89,963600.0
2019-08-14,100.5,101.15,99.5,99.53,866500.0
2019-08-13,99.82,102.19,99.82,101.5,511800.0
2019-08-12,100.57,101.19,99.91,100.29,424600.0
2019-08-09,101.25,101.75,100.29,100.74,594500.0
2019-08-08,100.22,101.58,100.22,101.23,1015800.0
2019-08-07,98.26,100.1269,97.4,99.97,981300.0
2019-08-06,98.29,99.06,97.35,98.92,912400.0
2019-08-05,99.34,100.0,96.94,97.85,1102700.0
2019-08-02,101.33,101.49,99.94,100.34,672100.0
2019-08-01,101.94,102.67,101.04,101.25,815100.0
2019-07-31,104.1,104.1,101.35,102.08,1058700.0
2019-07-30,101.34,103.72,100.17,103.65,1126700.0
2019-07-29,101.07,102.55,101.0,102.5,1062300.0
2019-07-26,102.36,103.39,101.01,101.28,1029400.0
2019-07-25,103.4,103.58,101.47,102.22,990100.0
2019-07-24,103.8,104.32,102.95,103.36,1453300.0
2019-07-23,103.71,104.9,101.57,103.38,2662300.0
2019-07-22,99.68,100.1,97.6652,98.08,1536800.0
2019-07-19,100.77,100.98,99.21,99.28,993400.0
2019-07-18,100.16,100.98,99.66,100.87,894400.0
2019-07-17,101.32,101.47,99.93,100.16,1073400.0
2019-07-16,101.83,102.14,100.59,101.47,867500.0
2019-07-15,100.4,101.22,99.75,101.12,1186900.0
2019-07-12,103.28,103.62,102.49,102.98,620900.0
2019-07-11,103.33,104.2,102.46,103.5,810900.0
2019-07-10,102.46,103.04,102.14,102.52,427300.0
2019-07-09,101.68,102.22,101.07,102.01,548500.0
2019-07-08,102.9696,102.98,102.07,102.47,667300.0
2019-07-05,103.27,104.04,102.52,103.26,568200.0
2019-07-03,103.37,104.19,103.37,103.97,412200.0
2019-07-02,102.34,103.25,101.39,103.23,511400.0
2019-07-01,102.57,103.67,101.86,102.45,880100.0
2019-06-28,100.5,101.81,100.07,101.81,960900.0
2019-06-27,100.21,100.63,99.78,100.53,604900.0
2019-06-26,100.93,101.14,99.7,99.72,529600.0
2019-06-25,100.89,101.51,99.96,101.03,590000.0
2019-06-24,101.36,101.36,100.18,100.9,498200.0
2019-06-21,100.46,101.4,100.08,101.28,1497800.0
2019-06-20,102.11,102.21,99.94,100.34,922400.0
2019-06-19,100.85,102.17,100.32,101.92,679100.0
2019-06-18,102.5,102.5,100.34,100.57,1002200.0
2019-06-17,101.13,102.3,100.9,101.94,895800.0
2019-06-14,100.84,101.77,100.76,101.03,727900.0
2019-06-13,99.53,100.95,99.19,100.86,1541900.0
2019-06-12,98.59,99.53,98.3635,99.5,584500.0
2019-06-11,99.57,99.93,98.51,98.92,658700.0
2019-06-10,99.62,99.9891,99.21,99.67,781400.0
2019-06-07,99.18,99.81,98.69,99.34,600500.0
2019-06-06,97.97,99.32,97.55,98.75,957100.0
