,open,high,low,close,volume
2019-10-25,25.74,26.065,25.53,25.6,1192828.0
2019-10-24,26.14,26.21,25.11,25.62,1516300.0
2019-10-23,26.1,26.28,25.88,26.14,1165800.0
2019-10-22,26.15,26.29,25.75,26.16,1508000.0
2019-10-21,26.11,26.24,25.76,25.84,1103000.0
2019-10-18,25.99,26.45,25.87,25.9,2387300.0
2019-10-17,25.92,26.03,25.33,25.98,1940800.0
2019-10-16,25.86,26.22,25.49,25.87,2139100.0
2019-10-15,25.85,26.16,25.6,25.94,2980300.0
2019-10-14,26.01,26.01,25.7,25.83,1957700.0
2019-10-11,25.86,26.38,25.78,26.1,2373900.0
2019-10-10,25.24,25.67,25.15,25.57,2466300.0
2019-10-09,25.18,25.37,24.99,25.21,1370400.0
2019-10-08,25.25,25.3,24.94,24.96,2079400.0
2019-10-07,24.96,25.66,24.9,25.44,1172700.0
2019-10-04,25.15,25.36,24.98,25.16,2965600.0
2019-10-03,24.55,25.09,24.36,25.06,3238800.0
2019-10-02,24.64,24.83,24.09,24.64,2903200.0
2019-10-01,24.7,25.04,24.57,24.79,2182700.0
2019-09-30,24.73,25.03,24.6,24.62,2160300.0
2019-09-27,24.52,24.83,24.43,24.71,2080300.0
2019-09-26,24.72,24.72,24.19,24.45,2019900.0
2019-09-25,24.38,24.91,24.38,24.72,2337200.0
2019-09-24,24.91,25.07,24.22,24.45,3141100.0
2019-09-23,24.4,24.77,24.04,24.7,2482600.0
2019-09-20,25.04,25.06,24.36,24.37,7472300.0
2019-09-19,25.41,25.54,24.88,24.93,2184300.0
2019-09-18,25.53,25.53,24.9,25.46,4594100.0
2019-09-17,26.18,26.42,25.33,25.62,3705500.0
2019-09-16,26.21,26.36,25.99,26.32,2818900.0
2019-09-13,26.59,27.08,26.28,26.3,2759100.0
2019-09-12,27.02,27.02,26.08,26.51,3529000.0
2019-09-11,26.79,27.02,26.25,26.97,2404000.0
2019-09-10,25.77,26.88,25.77,26.88,3552800.0
2019-09-09,25.77,26.08,25.63,25.76,2874300.0
2019-09-06,25.86,26.22,25.64,25.67,2934500.0
2019-09-05,25.79,25.91,25.6,25.77,3560600.0
2019-09-04,25.62,25.86,25.12,25.54,2844200.0
2019-09-03,25.78,25.96,25.22,25.44,2729100.0
2019-08-30,26.32,26.49,25.83,26.03,2545500.0
2019-08-29,25.6,26.39,25.6,26.11,1720400.0
2019-08-28,24.87,25.46,24.7,25.37,3275600.0
2019-08-27,25.67,25.7,24.85,24.89,2745900.0
2019-08-26,25.62,25.79,25.41,25.57,2346600.0
2019-08-23,26.07,26.32,25.22,25.33,2795300.0
2019-08-22,26.51,26.81,26.25,26.26,2024900.0
2019-08-21,26.4,26.63,25.9,26.5,2513500.0
2019-08-20,26.55,26.73,26.37,26.4,1563000.0
2019-08-19,26.53,26.88,26.37,26.6,2092100.0
2019-08-16,25.53,26.27,25.4,26.1,2470500.0
2019-08-15,25.49,25.63,24.92,25.33,3268500.0
2019-08-14,27.0,27.0,25.41,25.52,3030400.0
2019-08-13,27.11,27.935,27.0,27.35,2042700.0
2019-08-12,27.07,27.36,27.01,27.09,1345200.0
2019-08-09,27.42,27.42,26.79,27.24,1851800.0
2019-08-08,27.48,27.87,27.24,27.42,2198000.0
2019-08-07,26.93,27.575,26.68,27.47,4017200.0
2019-08-06,28.04,28.31,27.01,27.28,2548900.0
2019-08-05,26.94,27.18,26.64,26.98,2999700.0
2019-08-02,27.79,27.79,26.8,27.32,2353700.0
2019-08-01,28.34,28.51,27.71,27.83,2166500.0
2019-07-31,28.9,28.92,28.01,28.24,2174200.0
2019-07-30,28.8,28.96,28.51,28.87,1376900.0
2019-07-29,29.3,29.32,28.8,29.0,2041800.0
2019-07-26,29.3015,29.45,29.03,29.26,1393100.0
2019-07-25,29.24,29.36,28.96,29.26,11193100.0
2019-07-24,28.72,29.36,27.77,29.28,2658700.0
2019-07-23,28.69,28.85,28.05,28.73,3047500.0
2019-07-22,29.04,29.15,28.6,28.66,2510900.0
2019-07-19,28.94,29.16,28.77,29.0,4873300.0
2019-07-18,29.22,29.27,28.72,28.82,1866900.0
2019-07-17,29.96,29.96,29.29,29.32,1288300.0
2019-07-16,29.82,30.29,29.73,30.03,7820900.0
2019-07-15,29.79,30.06,29.65,29.81,1409900.0
2019-07-12,29.07,30.05,29.07,29.8,2048700.0
2019-07-11,29.0,29.23,28.85,29.16,2463000.0
2019-07-10,29.16,29.29,28.62,28.97,2952600.0
2019-07-09,28.69,29.36,28.59,29.03,2480000.0
2019-07-08,28.63,28.81,28.52,28.8,1790100.0
2019-07-05,28.21,28.74,28.12,28.72,1413900.0
2019-07-03,28.53,28.74,28.35,28.38,1369300.0
2019-07-02,28.34,28.8,28.25,28.4,2156800.0
2019-07-01,28.82,28.9,28.02,28.33,2455700.0
2019-06-28,27.76,28.46,27.5392,28.45,2795900.0
2019-06-27,27.3,27.51,26.94,27.45,1889000.0
2019-06-26,27.62,27.81,27.25,27.28,4183600.0
2019-06-25,28.5279,28.62,27.34,27.57,4774400.0
2019-06-24,28.2199,28.6,28.09,28.54,4700800.0
2019-06-21,28.6,28.6,28.08,28.28,5223700.0
2019-06-20,28.33,28.5,27.95,28.41,4300700.0
2019-06-19,27.38,28.16,27.29,28.04,4924100.0
2019-06-18,27.24,27.64,27.04,27.25,5774100.0
2019-06-17,26.82,27.3207,26.52,27.2,3112200.0
2019-06-14,27.14,27.29,26.82,26.84,4180900.0
2019-06-13,27.34,27.82,27.14,27.77,3187000.0
2019-06-12,27.07,27.49,27.0,27.21,2045900.0
2019-06-11,26.42,27.0819,26.38,27.0,2688700.0
2019-06-10,26.57,26.7,26.22,26.34,1464100.0
2019-06-07,26.45,26.88,26.4,26.49,2138500.0
2019-06-06,26.31,26.48,26.15,26.39,2440400.0
