,open,high,low,close,volume
2019-10-25,134.19,134.19,132.541,132.82,703250.0
2019-10-24,136.01,136.01,133.94,134.35,681700.0
2019-10-23,135.22,136.32,134.21,135.74,1052500.0
2019-10-22,134.54,135.11,133.88,134.81,836300.0
2019-10-21,132.89,134.41,132.39,134.33,860100.0
2019-10-18,131.77,133.08,130.75,132.98,813100.0
2019-10-17,130.57,132.32,130.49,131.77,972500.0
2019-10-16,129.83,130.62,128.59,130.6,860400.0
2019-10-15,129.99,130.2,128.87,129.79,774500.0
2019-10-14,129.69,130.66,129.39,129.85,754400.0
2019-10-11,131.0,131.1,129.23,129.31,941900.0
2019-10-10,130.2,130.77,129.34,130.65,877300.0
2019-10-09,129.6,131.15,129.36,130.66,1404800.0
2019-10-08,128.56,130.32,127.63,129.0,1461500.0
2019-10-07,129.67,130.08,127.88,128.26,1688400.0
2019-10-04,129.89,130.37,129.25,130.27,1261600.0
2019-10-03,127.82,130.67,127.82,129.65,1783500.0
2019-10-02,129.39,129.87,126.16,127.66,1779800.0
2019-10-01,129.61,129.86,128.53,129.06,1222500.0
2019-09-30,128.87,130.1,128.55,129.81,983000.0
2019-09-27,128.72,129.5,128.25,128.85,1696800.0
2019-09-26,128.1,129.05,127.78,128.53,1439700.0
2019-09-25,127.68,128.03,126.83,127.67,1183200.0
2019-09-24,126.97,128.04,126.53,127.56,1824800.0
2019-09-23,124.72,126.83,124.72,126.31,1892600.0
2019-09-20,124.32,125.56,124.03,125.03,2217900.0
2019-09-19,125.03,127.01,123.78,123.83,2924800.0
2019-09-18,128.64,129.0,123.98,125.3,1599700.0
2019-09-17,126.78,128.33,126.78,128.08,1083800.0
2019-09-16,124.1,126.77,123.98,126.39,1801600.0
2019-09-13,126.22,126.83,124.0,124.32,2232400.0
2019-09-12,127.25,129.57,126.46,126.53,1944900.0
2019-09-11,126.77,128.72,126.52,128.5,1307600.0
2019-09-10,127.81,127.97,126.24,127.65,1620800.0
2019-09-09,128.62,128.71,127.43,128.09,1761800.0
2019-09-06,126.99,128.68,126.49,128.62,1123500.0
2019-09-05,126.38,126.9,125.2,126.67,1437900.0
2019-09-04,126.15,126.65,125.55,126.45,1022900.0
2019-09-03,123.34,125.54,122.79,125.53,1244800.0
2019-08-30,124.14,124.44,123.25,123.63,771000.0
2019-08-29,122.01,124.09,121.85,123.6,728000.0
2019-08-28,120.67,121.64,120.34,121.28,659800.0
2019-08-27,121.84,122.33,120.31,120.34,989000.0
2019-08-26,121.36,121.92,120.26,121.19,579100.0
2019-08-23,123.22,123.57,120.27,120.72,750500.0
2019-08-22,123.36,124.0,122.07,122.87,617900.0
2019-08-21,123.16,124.0,122.54,123.29,463000.0
2019-08-20,124.01,124.54,122.81,123.09,702000.0
2019-08-19,124.41,125.0,123.61,124.33,780200.0
2019-08-16,121.03,124.44,117.95,123.67,1484700.0
2019-08-15,118.29,120.77,117.95,120.56,1031400.0
