,open,high,low,close,volume
2019-10-25,115.21,116.2,114.02,114.55,1189478.0
2019-10-24,116.24,116.74,115.0,115.6,1091100.0
2019-10-23,117.86,118.1,115.51,116.63,1358000.0
2019-10-22,117.45,119.71,117.44,118.44,2008200.0
2019-10-21,117.26,117.51,115.95,116.69,1346200.0
2019-10-18,117.2,118.04,116.86,116.98,1348700.0
2019-10-17,117.27,117.62,116.71,117.37,1106100.0
2019-10-16,116.66,116.99,115.8,116.9,1639300.0
2019-10-15,115.0,116.63,115.0,116.51,1241200.0
2019-10-14,115.35,115.98,114.93,115.02,1154000.0
2019-10-11,115.0,116.59,114.8,115.19,2200000.0
2019-10-10,113.25,114.03,112.3,113.91,1107000.0
2019-10-09,113.16,114.69,112.92,112.99,1536200.0
2019-10-08,111.11,114.1,110.81,112.48,1731600.0
2019-10-07,115.13,115.66,111.83,112.16,1740900.0
2019-10-04,113.21,116.59,113.15,115.73,2595600.0
2019-10-03,112.77,113.14,110.65,112.92,1934300.0
2019-10-02,112.25,113.37,111.01,113.07,2456400.0
2019-10-01,115.09,115.09,113.0,113.25,1658100.0
2019-09-30,114.46,115.79,113.86,114.16,2011800.0
2019-09-27,113.29,114.42,112.6,114.3,1840200.0
2019-09-26,113.51,113.58,111.33,112.46,1384700.0
2019-09-25,113.37,114.16,111.85,112.95,1346300.0
2019-09-24,113.67,114.51,111.82,113.37,1693000.0
2019-09-23,111.1,113.94,111.1,113.42,1922900.0
2019-09-20,111.96,113.67,111.04,111.07,2548600.0
2019-09-19,112.46,112.92,111.68,111.74,1565100.0
2019-09-18,111.36,112.27,110.38,112.26,1728000.0
2019-09-17,109.74,111.1,109.25,111.04,1220900.0
2019-09-16,112.1,112.14,109.51,109.56,1746600.0
2019-09-13,111.89,113.12,111.51,112.86,1801600.0
2019-09-12,111.83,112.91,111.01,111.94,1549900.0
2019-09-11,111.02,112.65,110.42,111.36,3242900.0
2019-09-10,108.55,110.02,106.81,109.93,1826200.0
2019-09-09,109.87,110.72,107.71,108.9,2687100.0
2019-09-06,107.68,109.72,107.17,109.62,2531200.0
2019-09-05,106.43,108.29,106.19,107.63,2448500.0
2019-09-04,102.86,105.18,102.51,105.0,2570500.0
2019-09-03,101.19,102.15,99.88,101.99,2110800.0
2019-08-30,98.25,101.93,97.91,101.53,3975300.0
2019-08-29,102.5,104.24,96.68,97.67,6131300.0
2019-08-28,96.45,99.87,96.28,99.6,2971900.0
2019-08-27,96.37,97.97,95.88,96.75,2292700.0
2019-08-26,96.35,96.59,94.52,95.87,2596000.0
2019-08-23,96.92,98.09,94.83,95.16,2533300.0
2019-08-22,96.03,97.43,95.95,97.21,1355000.0
2019-08-21,95.84,96.23,94.88,96.08,1556700.0
2019-08-20,95.81,95.99,93.49,93.63,1512300.0
2019-08-19,95.17,96.4,94.64,96.2,2303800.0
2019-08-16,93.89,94.55,93.4,93.71,1504700.0
2019-08-15,93.72,94.92,92.3409,93.14,1563600.0
2019-08-14,92.3,94.08,92.13,93.17,2455100.0
2019-08-13,91.09,98.41,90.41,94.6,4286200.0
2019-08-12,89.92,91.34,89.41,91.0,2277700.0
2019-08-09,92.86,92.86,89.9,90.09,2153000.0
2019-08-08,92.26,93.18,91.615,92.92,1858400.0
2019-08-07,92.12,93.36,91.25,92.38,2237500.0
2019-08-06,92.89,93.66,91.74,92.72,2840600.0
2019-08-05,94.6,94.78,91.88,92.86,4313300.0
2019-08-02,97.43,98.93,96.33,96.87,2424500.0
2019-08-01,101.45,103.83,94.7,97.69,4272200.0
2019-07-31,101.5,102.94,100.0412,101.75,2641100.0
2019-07-30,103.47,103.86,101.19,101.49,1806200.0
2019-07-29,106.01,106.22,103.5365,103.84,1714200.0
2019-07-26,106.55,106.55,105.85,106.1,1504700.0
2019-07-25,106.18,106.85,105.53,106.55,1232300.0
2019-07-24,105.32,106.7,104.76,106.24,1192500.0
2019-07-23,107.6,107.77,104.32,105.49,2187500.0
