,open,high,low,close,volume
2019-10-25,103.18,104.76,102.865,103.65,729111.0
2019-10-24,103.53,103.91,102.55,103.11,536200.0
2019-10-23,103.83,104.04,102.67,103.29,832900.0
2019-10-22,103.73,104.57,103.12,104.12,879500.0
2019-10-21,102.69,103.94,102.57,103.49,1327100.0
2019-10-18,101.51,103.19,101.06,102.22,1849500.0
2019-10-17,102.99,104.44,99.06,101.38,2302100.0
2019-10-16,95.97,96.62,95.5,95.82,1060600.0
2019-10-15,94.86,96.43,94.29,95.98,1394200.0
2019-10-14,96.78,97.04,95.45,95.91,781500.0
2019-10-11,95.98,98.6,95.98,97.36,805600.0
2019-10-10,93.46,95.48,93.46,94.92,721500.0
2019-10-09,93.19,94.04,92.43,93.38,771900.0
2019-10-08,93.55,93.55,91.99,91.99,609400.0
2019-10-07,94.56,95.6,93.92,94.64,551700.0
2019-10-04,94.78,95.1,93.73,95.0,889400.0
2019-10-03,94.01,94.7,92.37,94.57,675500.0
2019-10-02,95.19,95.42,93.45,94.09,989600.0
2019-10-01,100.03,100.34,95.92,96.27,681500.0
2019-09-30,100.29,100.61,99.3,99.56,685200.0
2019-09-27,100.1,100.48,99.06,100.13,578100.0
2019-09-26,99.34,99.87,98.97,99.52,499000.0
2019-09-25,98.44,99.72,98.44,99.47,528400.0
2019-09-24,98.98,99.83,98.22,98.5,945100.0
2019-09-23,98.04,99.24,97.8,98.65,531900.0
2019-09-20,99.5,99.72,98.56,98.91,960500.0
2019-09-19,99.21,100.0,98.97,98.97,584000.0
2019-09-18,98.19,99.37,97.9,99.31,749000.0
2019-09-17,98.86,98.98,97.93,98.72,678900.0
2019-09-16,99.05,99.93,99.0,99.25,378700.0
2019-09-13,100.15,101.38,99.62,99.67,812400.0
2019-09-12,99.26,99.84,98.49,99.67,767000.0
2019-09-11,97.8,99.24,96.75,99.21,904600.0
2019-09-10,95.46,97.07,94.75,97.05,952100.0
2019-09-09,95.88,95.88,94.74,95.53,1114800.0
2019-09-06,96.3,96.75,94.86,95.14,1106000.0
2019-09-05,94.21,96.39,94.21,96.13,880500.0
2019-09-04,93.4,93.71,92.79,93.25,820400.0
2019-09-03,92.73,93.08,91.45,92.51,974300.0
2019-08-30,93.12,93.96,92.82,93.74,1058900.0
2019-08-29,91.41,92.59,91.36,92.25,970200.0
2019-08-28,88.54,90.84,88.41,90.78,653500.0
2019-08-27,89.42,89.59,88.28,88.93,871600.0
2019-08-26,89.11,89.49,87.07,88.64,603000.0
2019-08-23,90.43,90.62,87.71,88.1,727500.0
2019-08-22,92.08,92.43,90.5,90.93,736700.0
2019-08-21,92.45,92.77,91.24,91.68,697100.0
2019-08-20,90.97,91.64,90.26,91.3,629200.0
2019-08-19,91.85,91.85,90.99,91.24,884900.0
2019-08-16,89.52,91.26,87.89,90.72,595000.0
2019-08-15,88.37,89.1,87.89,89.0,653800.0
2019-08-14,89.73,90.27,88.16,88.29,967400.0
2019-08-13,89.67,92.96,89.46,91.28,556100.0
2019-08-12,91.74,91.86,90.01,90.12,562600.0
2019-08-09,92.381,93.01,91.66,92.19,834700.0
2019-08-08,91.21,92.9,90.865,92.42,958000.0
2019-08-07,89.7222,90.74,88.91,90.49,926600.0
2019-08-06,90.46,91.34,89.76,91.0,789300.0
2019-08-05,91.33,91.39,89.25,89.9,1108500.0
2019-08-02,94.54,95.08,92.58,92.75,879700.0
2019-08-01,96.66,96.99,94.13,94.39,1113800.0
2019-07-31,97.69,97.97,95.94,96.85,913500.0
2019-07-30,95.07,97.89,95.07,97.89,624500.0
2019-07-29,98.35,98.35,96.7,96.77,557300.0
2019-07-26,98.38,98.97,98.0,98.21,631600.0
2019-07-25,97.8064,98.93,96.75,98.78,1179800.0
2019-07-24,97.1,98.03,96.29,97.71,1047600.0
2019-07-23,97.84,98.22,96.54,98.11,1318500.0
2019-07-22,98.1274,98.67,96.81,97.2,1277800.0
2019-07-19,97.88,99.13,97.73,98.12,1184400.0
2019-07-18,94.98,98.48,93.76,97.22,1961900.0
2019-07-17,99.08,99.0779,95.27,95.46,1346000.0
2019-07-16,99.02,99.81,98.63,99.32,651700.0
2019-07-15,99.97,100.1,99.0,99.34,644300.0
2019-07-12,98.02,100.09,97.97,100.06,854900.0
2019-07-11,98.5915,98.94,96.72,97.63,1140400.0
2019-07-10,101.08,101.17,98.5,98.54,993300.0
2019-07-09,100.44,100.78,100.04,100.39,1003300.0
2019-07-08,102.5,102.5,100.75,101.26,731600.0
2019-07-05,102.57,103.0882,101.495,102.74,1019100.0
2019-07-03,102.34,103.47,102.23,103.39,643500.0
2019-07-02,102.49,103.19,101.83,102.19,1508200.0
2019-07-01,101.3,102.69,100.6,102.34,1569900.0
2019-06-28,98.8,100.43,98.59,100.2,1917000.0
2019-06-27,98.5529,98.62,97.69,98.54,788200.0
2019-06-26,98.65,99.12,98.09,98.35,596300.0
2019-06-25,97.97,98.67,97.52,98.61,709200.0
2019-06-24,97.5,98.285,96.87,97.95,656000.0
2019-06-21,98.13,98.26,97.09,97.22,1344000.0
2019-06-20,98.0,98.49,96.96,98.05,954700.0
2019-06-19,96.53,97.3231,95.71,96.94,609200.0
2019-06-18,96.01,97.03,95.85,96.36,642700.0
2019-06-17,96.01,96.33,95.38,95.41,429900.0
2019-06-14,96.44,96.99,95.32,96.07,432700.0
2019-06-13,96.98,97.27,96.14,96.78,874600.0
2019-06-12,96.38,96.75,95.87,96.54,433500.0
2019-06-11,97.67,98.44,96.251,96.37,756900.0
2019-06-10,96.78,97.12,96.46,96.59,545100.0
2019-06-07,95.35,96.32,94.97,96.05,513400.0
2019-06-06,95.32,95.65,94.4238,94.71,906600.0
