,open,high,low,close,volume
2019-10-25,110.1,112.705,110.1,112.37,970406.0
2019-10-24,110.71,111.33,109.59,110.41,1227400.0
2019-10-23,108.85,110.43,108.58,110.4,1196300.0
2019-10-22,110.29,110.68,108.57,108.82,1172600.0
2019-10-21,110.47,111.52,110.0,110.16,1021000.0
2019-10-18,109.4,110.72,109.15,110.45,1195600.0
2019-10-17,110.49,110.49,109.09,109.14,1007700.0
2019-10-16,110.32,111.02,109.7,110.0,1149700.0
2019-10-15,110.66,110.91,109.81,110.29,1275400.0
2019-10-14,112.75,112.82,110.39,110.45,1106300.0
2019-10-11,113.05,114.13,112.82,113.04,1424000.0
2019-10-10,112.62,113.16,111.59,112.03,2172300.0
2019-10-09,113.37,113.6,112.16,112.47,2019500.0
2019-10-08,115.21,115.59,113.91,113.94,1503900.0
2019-10-07,116.21,116.41,115.29,115.79,1210900.0
2019-10-04,115.24,116.55,115.23,116.42,1329700.0
2019-10-03,115.8,116.51,113.98,115.45,1782800.0
2019-10-02,116.11,116.6,114.05,115.86,2908400.0
2019-10-01,118.28,118.87,116.31,117.01,1735800.0
2019-09-30,116.8,118.6,116.8,118.22,1377700.0
2019-09-27,116.68,117.35,115.54,116.36,1113000.0
2019-09-26,118.03,118.39,115.64,116.44,1216600.0
2019-09-25,118.0,119.14,117.71,118.5,1555800.0
2019-09-24,119.85,121.13,117.38,117.82,2467100.0
2019-09-23,119.7,120.03,118.4,119.19,1528500.0
2019-09-20,120.61,121.55,119.05,119.8,1976300.0
2019-09-19,122.02,123.91,120.44,120.68,4339900.0
2019-09-18,126.45,127.6,126.36,127.13,1519000.0
2019-09-17,127.29,127.94,124.83,126.0,1330200.0
2019-09-16,126.24,128.07,126.07,126.91,1282200.0
2019-09-13,126.23,128.41,125.96,127.34,1088100.0
2019-09-12,127.08,127.46,125.97,126.06,1044800.0
2019-09-11,127.45,127.99,126.47,127.2,977300.0
2019-09-10,126.79,127.16,124.94,126.95,1049000.0
2019-09-09,125.87,127.71,125.07,127.57,1166600.0
2019-09-06,124.68,127.61,124.46,125.48,1812400.0
2019-09-05,123.17,124.78,121.83,124.06,1020000.0
2019-09-04,120.04,122.92,119.63,122.12,1200500.0
2019-09-03,120.57,121.45,118.62,119.52,805800.0
2019-08-30,121.77,122.92,120.71,120.98,905100.0
2019-08-29,120.49,122.46,120.37,121.84,941800.0
2019-08-28,119.42,120.71,119.04,120.2,639500.0
2019-08-27,121.2,121.47,119.15,119.52,1118100.0
2019-08-26,121.27,121.27,119.48,121.2,786600.0
2019-08-23,120.85,122.71,120.05,120.53,1038000.0
2019-08-22,119.56,121.95,119.56,120.9,844700.0
2019-08-21,119.34,119.98,118.52,119.53,947200.0
2019-08-20,119.42,119.68,117.36,118.87,698600.0
2019-08-19,118.46,120.33,117.89,119.57,921800.0
2019-08-16,115.32,117.65,114.64,117.1,839900.0
2019-08-15,116.78,117.25,114.6454,114.91,1480000.0
2019-08-14,120.0,120.32,116.78,116.8,1173600.0
2019-08-13,120.6939,122.92,119.92,121.16,899500.0
2019-08-12,122.13,122.725,118.13,120.66,1038200.0
2019-08-09,121.72,123.89,120.805,122.43,1513900.0
2019-08-08,119.43,122.09,118.89,122.05,1075900.0
2019-08-07,117.36,119.37,116.365,118.93,1092800.0
2019-08-06,118.31,119.36,117.72,117.89,974500.0
2019-08-05,118.76,119.8,116.72,118.02,1000400.0
2019-08-02,120.94,121.8,119.85,120.09,890200.0
2019-08-01,121.6,122.06,120.12,120.88,977900.0
2019-07-31,124.12,124.12,120.14,121.56,1159200.0
2019-07-30,126.13,126.35,123.75,124.68,651400.0
2019-07-29,125.96,126.75,125.13,126.62,1009900.0
2019-07-26,124.26,126.34,123.71,125.96,827500.0
2019-07-25,124.01,124.33,123.0,123.59,955300.0
2019-07-24,125.19,126.0576,123.57,124.24,989800.0
2019-07-23,126.1503,126.45,124.69,125.16,954400.0
2019-07-22,124.73,125.78,124.06,125.46,941800.0
2019-07-19,123.88,125.14,123.22,124.41,999000.0
2019-07-18,122.42,124.1,121.96,124.07,988900.0
2019-07-17,123.44,123.89,121.26,122.21,1437900.0
2019-07-16,124.18,125.47,123.13,123.21,1511900.0
2019-07-15,124.98,125.99,124.71,125.42,842600.0
2019-07-12,123.02,125.14,122.73,124.76,1000800.0
2019-07-11,121.73,122.73,120.91,122.33,958500.0
2019-07-10,122.62,123.2135,120.71,121.5,1128300.0
2019-07-09,123.92,124.83,122.15,122.58,1370800.0
2019-07-08,123.27,125.18,122.5,124.98,1860100.0
2019-07-05,121.87,123.68,121.31,123.64,630200.0
2019-07-03,120.95,122.44,120.95,121.71,605900.0
2019-07-02,121.6,121.68,120.32,120.83,1076400.0
2019-07-01,122.87,123.31,120.35,121.59,1201300.0
2019-06-28,120.99,121.99,120.17,121.73,2434900.0
2019-06-27,120.0,121.7,119.705,121.54,1047100.0
2019-06-26,123.02,123.45,119.27,120.01,1788600.0
2019-06-25,122.3915,123.9,122.08,123.14,1561500.0
2019-06-24,121.62,123.97,121.5,121.99,2263700.0
2019-06-21,119.04,121.45,118.67,121.23,2277600.0
2019-06-20,114.85,119.84,112.5,118.67,4003800.0
2019-06-19,117.91,119.26,115.78,117.41,2491700.0
2019-06-18,118.34,119.39,117.25,117.93,2129500.0
2019-06-17,119.83,119.98,116.93,118.31,1833000.0
2019-06-14,118.7574,120.19,118.62,119.68,895300.0
2019-06-13,118.11,119.5,118.01,118.9,1265900.0
2019-06-12,119.84,120.02,117.13,117.81,1143600.0
2019-06-11,119.57,120.77,118.72,119.03,1094900.0
2019-06-10,121.61,122.75,118.46,118.98,886400.0
2019-06-07,121.34,122.64,121.0037,121.32,1146000.0
2019-06-06,118.0,121.37,117.75,120.68,1114600.0
