,open,high,low,close,volume
2019-10-25,129.44,129.465,127.39,128.21,1263460.0
2019-10-24,129.42,129.72,128.89,129.11,818800.0
2019-10-23,128.68,129.59,128.45,129.32,943000.0
2019-10-22,129.67,129.75,128.68,128.98,996700.0
2019-10-21,127.82,129.25,127.37,129.2,1062400.0
2019-10-18,128.18,128.18,125.7,127.34,2473800.0
2019-10-17,129.22,129.75,128.82,129.48,892100.0
2019-10-16,128.97,129.41,128.31,129.26,908600.0
2019-10-15,128.11,129.53,128.01,129.03,1391500.0
2019-10-14,129.95,129.95,128.02,128.11,641300.0
2019-10-11,130.0,130.74,129.19,129.89,1102300.0
2019-10-10,129.47,130.41,128.61,130.29,1109500.0
2019-10-09,130.52,130.84,129.27,129.86,1186700.0
2019-10-08,131.99,132.35,129.94,130.18,1283300.0
2019-10-07,133.0,133.11,132.04,132.45,945600.0
2019-10-04,130.77,132.47,130.39,132.24,1220800.0
2019-10-03,131.27,131.59,130.01,130.61,1731300.0
2019-10-02,132.92,133.24,130.78,131.22,1152900.0
2019-10-01,132.61,133.39,132.46,133.19,912400.0
2019-09-30,132.71,133.25,132.28,132.96,935200.0
2019-09-27,133.45,133.66,131.62,132.49,749700.0
2019-09-26,134.12,134.37,132.93,133.44,1269500.0
2019-09-25,133.47,134.01,133.01,133.8,1340400.0
2019-09-24,131.93,134.02,131.62,133.68,1065700.0
2019-09-23,132.18,132.79,131.12,131.49,2079100.0
2019-09-20,132.03,132.78,131.44,132.29,1635300.0
2019-09-19,132.0,132.19,131.23,131.87,770900.0
2019-09-18,131.13,131.71,130.11,131.63,865700.0
2019-09-17,130.14,132.02,130.02,130.72,1966900.0
2019-09-16,128.83,130.12,127.66,130.05,1187800.0
2019-09-13,127.71,129.17,127.21,128.43,900100.0
2019-09-12,130.0,130.87,128.27,129.23,2471900.0
2019-09-11,128.21,129.64,127.69,129.25,794700.0
2019-09-10,128.0,129.07,127.17,128.57,1189300.0
2019-09-09,128.88,128.88,127.16,127.97,986600.0
2019-09-06,130.16,130.49,127.94,128.88,1091200.0
2019-09-05,131.41,131.65,129.67,129.91,1498000.0
2019-09-04,131.99,132.5,130.95,132.06,1125000.0
2019-09-03,129.63,131.9,129.29,131.88,1025200.0
2019-08-30,130.58,130.6,129.37,129.66,958500.0
2019-08-29,130.1,130.3,129.12,129.98,613700.0
2019-08-28,130.64,130.73,129.15,129.53,693100.0
2019-08-27,130.89,131.73,130.33,130.4,1098800.0
2019-08-26,129.16,130.19,128.47,130.15,879200.0
2019-08-23,130.61,130.98,127.91,128.39,1128500.0
2019-08-22,130.7,131.17,129.41,130.25,838500.0
2019-08-21,129.43,130.63,129.01,130.51,822200.0
2019-08-20,130.94,130.94,129.16,129.57,1182600.0
2019-08-19,129.34,131.23,128.89,130.79,1439400.0
2019-08-16,128.99,129.48,125.87,129.29,921300.0
2019-08-15,125.87,129.14,125.87,128.66,843500.0
2019-08-14,128.8159,129.0,125.9,126.16,1081000.0
2019-08-13,127.58,128.97,127.25,128.23,867300.0
2019-08-12,129.5888,129.59,127.72,128.07,644000.0
2019-08-09,129.67,130.19,129.015,129.37,819200.0
2019-08-08,128.25,129.74,126.59,129.29,952900.0
2019-08-07,127.83,129.04,126.14,128.18,829700.0
2019-08-06,127.0,128.45,124.93,127.82,946900.0
2019-08-05,128.55,129.57,126.29,126.92,929100.0
2019-08-02,129.38,130.45,128.44,128.66,773300.0
2019-08-01,127.0,129.73,126.46,129.05,809600.0
2019-07-31,127.9,128.5979,126.44,127.11,994600.0
2019-07-30,129.08,129.7,127.25,127.95,776000.0
2019-07-29,130.0,130.0,127.83,128.98,1145800.0
2019-07-26,128.0,129.43,127.71,129.37,930800.0
2019-07-25,127.59,128.99,127.23,128.06,757200.0
2019-07-24,128.8,128.8087,126.9,127.71,1037700.0
2019-07-23,128.56,128.71,127.2486,128.17,938100.0
2019-07-22,128.8,129.14,127.46,128.61,612200.0
2019-07-19,131.11,131.3015,128.73,128.79,662400.0
2019-07-18,130.28,131.4,129.13,131.36,784400.0
2019-07-17,130.08,130.66,129.78,130.08,694700.0
2019-07-16,129.58,130.29,128.59,129.55,731500.0
2019-07-15,130.23,131.0,129.52,129.99,1149600.0
2019-07-12,131.88,131.88,130.12,130.4,571600.0
2019-07-11,131.56,132.09,130.38,131.62,673800.0
2019-07-10,131.38,131.94,130.87,131.56,643500.0
2019-07-09,130.89,131.39,130.16,131.22,974400.0
2019-07-08,131.07,131.44,130.1,131.03,727600.0
2019-07-05,130.1,131.03,128.6,130.87,535100.0
2019-07-03,130.3218,131.58,130.31,131.09,457100.0
2019-07-02,128.6038,129.95,128.61,129.84,828900.0
2019-07-01,127.95,128.31,126.18,128.28,898700.0
2019-06-28,127.3,128.5,127.13,127.88,1117000.0
2019-06-27,127.74,128.14,126.97,127.56,592500.0
2019-06-26,129.89,130.33,127.42,127.47,669500.0
2019-06-25,131.82,131.87,129.89,130.22,870700.0
2019-06-24,131.6127,131.68,130.72,131.59,769300.0
2019-06-21,131.1687,131.46,129.58,131.11,1421700.0
2019-06-20,130.61,131.41,129.93,131.18,585800.0
2019-06-19,128.37,130.91,128.33,130.47,726100.0
2019-06-18,130.0,130.31,128.12,128.97,1340500.0
2019-06-17,129.71,130.27,128.6,129.74,1091400.0
