,open,high,low,close,volume
2019-10-25,95.54,96.35,94.61,96.31,1895519.0
2019-10-24,96.16,96.97,95.17,95.98,3237900.0
2019-10-23,94.43,96.25,94.36,95.71,2132300.0
2019-10-22,94.17,95.77,93.21,94.3,3364200.0
2019-10-21,95.48,96.83,95.0,95.81,1982700.0
2019-10-18,96.05,96.1,94.05,95.13,3151100.0
2019-10-17,96.71,98.0,96.52,96.76,2421100.0
2019-10-16,94.41,96.36,94.4,96.22,2981100.0
2019-10-15,94.14,95.28,93.22,95.15,2124900.0
2019-10-14,94.0,94.66,92.71,93.88,2369000.0
2019-10-11,93.93,95.87,93.75,94.19,3131700.0
2019-10-10,92.66,93.56,92.21,92.53,1963000.0
2019-10-09,93.02,94.5,92.8,92.88,1584400.0
2019-10-08,93.03,93.83,92.16,92.54,2803400.0
2019-10-07,95.12,95.82,93.32,93.57,2923200.0
2019-10-04,94.34,95.77,94.34,95.61,2221100.0
2019-10-03,93.53,95.03,92.88,94.34,3855600.0
2019-10-02,96.0,96.0,92.44,94.25,4097200.0
2019-10-01,97.81,98.0,95.13,96.75,3717900.0
2019-09-30,95.85,97.99,95.68,97.82,2522000.0
2019-09-27,97.02,97.75,95.05,95.67,1967900.0
2019-09-26,97.61,97.97,95.66,96.62,1954200.0
2019-09-25,97.1,97.82,95.83,97.63,1964500.0
2019-09-24,98.08,98.38,96.73,97.36,2855200.0
2019-09-23,98.23,99.41,97.86,98.18,2067400.0
2019-09-20,100.2,100.52,98.27,98.7,3494900.0
2019-09-19,98.28,99.9,98.28,99.69,2546900.0
2019-09-18,97.73,98.34,96.53,98.28,1815800.0
2019-09-17,99.48,99.55,97.54,98.42,1815400.0
2019-09-16,98.03,99.24,97.52,99.12,1820400.0
2019-09-13,98.57,99.35,98.16,98.48,1719400.0
2019-09-12,99.89,101.78,98.05,98.34,4123000.0
2019-09-11,100.03,100.65,98.76,99.11,2409300.0
2019-09-10,98.45,101.23,97.77,99.5,4010500.0
2019-09-09,99.01,99.88,97.44,98.68,3115800.0
2019-09-06,98.03,99.82,97.65,98.53,2886000.0
2019-09-05,98.7,99.48,96.56,97.45,3020400.0
2019-09-04,95.24,98.12,94.76,97.95,3434700.0
2019-09-03,92.73,95.17,92.65,94.83,3263400.0
2019-08-30,93.53,94.21,92.98,93.68,1704300.0
2019-08-29,93.29,93.73,92.59,93.03,2601200.0
2019-08-28,93.77,94.04,91.57,92.4,3710100.0
2019-08-27,94.75,96.3,94.06,94.06,3773100.0
2019-08-26,93.77,94.53,93.25,94.38,2919400.0
2019-08-23,94.59,95.73,92.62,92.91,4213300.0
2019-08-22,94.44,94.95,92.72,94.62,2718400.0
2019-08-21,93.55,94.98,92.62,94.04,3007200.0
2019-08-20,90.58,93.57,90.28,92.7,4328000.0
2019-08-19,91.24,91.7,90.12,90.91,2511800.0
2019-08-16,88.56,90.38,88.07,89.56,2814900.0
2019-08-15,88.95,88.95,87.23,87.88,2821100.0
2019-08-14,90.408,90.75,87.5,88.1,5458800.0
2019-08-13,91.96,93.56,91.25,92.34,2414600.0
2019-08-12,91.5,92.5596,91.04,91.77,1845800.0
2019-08-09,94.37,94.87,91.4,91.97,3496700.0
2019-08-08,92.95,95.29,92.475,95.23,3849300.0
2019-08-07,89.12,92.35,88.7,92.27,4498100.0
2019-08-06,90.81,91.56,89.62,90.1,3604500.0
2019-08-05,90.31,91.76,88.22,88.59,5117100.0
2019-08-02,94.75,95.37,91.83,92.89,2764900.0
