,open,high,low,close,volume
2019-10-25,190.75,192.01,189.805,191.94,471885.0
2019-10-24,188.92,192.26,188.52,190.83,1416400.0
2019-10-23,189.24,190.51,187.54,188.35,1588400.0
2019-10-22,191.61,191.85,188.34,188.4,1151800.0
2019-10-21,194.06,194.5,190.79,191.61,1111700.0
2019-10-18,194.2,194.86,192.31,193.82,673300.0
2019-10-17,196.11,196.44,193.07,194.04,739600.0
2019-10-16,194.56,195.91,193.29,195.23,784900.0
2019-10-15,195.37,195.74,194.38,194.65,644700.0
2019-10-14,194.39,195.71,193.94,194.01,691200.0
2019-10-11,195.08,197.44,194.5,194.74,794100.0
2019-10-10,190.93,193.39,190.48,193.19,695800.0
2019-10-09,191.49,192.59,190.58,191.31,833400.0
2019-10-08,190.87,191.39,189.29,189.65,1103100.0
2019-10-07,193.54,194.46,191.06,191.11,1328900.0
2019-10-04,193.23,196.38,193.15,194.62,783200.0
2019-10-03,191.65,192.94,189.01,192.83,775100.0
2019-10-02,194.46,195.7,190.62,191.83,946000.0
2019-10-01,198.97,199.43,195.39,195.86,965600.0
2019-09-30,197.99,199.1,197.55,198.04,786700.0
2019-09-27,199.78,200.0,196.42,197.79,985000.0
2019-09-26,197.02,199.36,196.1,198.43,746100.0
2019-09-25,195.62,197.38,194.42,197.3,752600.0
2019-09-24,197.31,198.85,194.66,194.86,1075500.0
2019-09-23,195.25,196.65,195.22,195.83,541400.0
2019-09-20,196.79,197.72,195.6,196.06,1585700.0
2019-09-19,195.16,197.33,195.16,196.5,764100.0
2019-09-18,195.5,196.37,194.25,196.06,820200.0
2019-09-17,192.91,196.53,192.33,194.82,1095900.0
2019-09-16,197.28,197.95,191.56,192.11,1396700.0
2019-09-13,198.43,199.08,196.67,198.89,948800.0
2019-09-12,199.42,202.0,196.94,197.77,1036000.0
2019-09-11,197.3,198.4,195.37,197.19,1335000.0
2019-09-10,199.92,200.23,195.86,197.26,1978500.0
2019-09-09,208.0,208.0,198.94,200.78,1381500.0
2019-09-06,206.46,207.7,205.05,206.69,988900.0
2019-09-05,208.17,208.75,205.24,205.33,900900.0
2019-09-04,206.86,207.23,205.54,206.83,856100.0
2019-09-03,204.97,205.82,203.1,204.49,1110300.0
2019-08-30,208.0,208.39,205.7,206.31,1079800.0
2019-08-29,206.0,207.96,205.81,207.0,1084500.0
2019-08-28,203.56,205.2,202.79,204.78,1157800.0
2019-08-27,204.76,206.93,203.96,204.72,1761000.0
2019-08-26,203.16,203.77,202.23,202.9,1109500.0
2019-08-23,206.65,207.84,200.67,201.82,1167100.0
2019-08-22,208.11,209.09,204.86,206.88,794400.0
2019-08-21,207.76,208.26,206.43,207.1,677500.0
2019-08-20,208.3,208.57,206.26,206.6,734100.0
2019-08-19,209.22,209.87,206.01,208.57,963700.0
2019-08-16,204.24,207.63,201.82,206.81,1177100.0
2019-08-15,202.94,204.13,201.82,203.67,945900.0
2019-08-14,205.0,206.23,201.2457,201.64,1091600.0
2019-08-13,205.22,208.3,203.76,207.46,833200.0
2019-08-12,205.72,206.85,204.34,204.87,938200.0
2019-08-09,204.67,206.92,203.4,205.97,704200.0
2019-08-08,202.02,205.17,201.23,205.04,806500.0
2019-08-07,196.02,201.07,195.0,200.19,1196300.0
2019-08-06,195.81,197.0218,192.53,196.73,1364300.0
2019-08-05,197.658,198.49,192.18,194.35,1325200.0
2019-08-02,200.66,201.22,198.264,199.99,1178800.0
2019-08-01,202.41,204.72,199.45,200.93,1150100.0
2019-07-31,206.01,207.85,199.1,201.73,1590500.0
2019-07-30,199.37,209.24,198.43,205.68,2193400.0
2019-07-29,199.67,201.2,199.66,200.62,1606300.0
2019-07-26,198.3,199.82,196.48,199.62,623100.0
2019-07-25,198.27,199.08,195.89,198.33,738300.0
2019-07-24,199.58,199.58,197.48,197.95,765100.0
2019-07-23,198.21,199.99,197.885,199.96,594800.0
2019-07-22,197.98,198.06,196.65,197.24,494100.0
2019-07-19,198.24,198.78,197.13,197.28,627600.0
2019-07-18,196.46,197.72,195.27,197.69,688200.0
2019-07-17,198.0,198.315,195.8,195.95,887400.0
2019-07-16,199.03,199.62,197.46,197.93,847800.0
2019-07-15,199.99,200.0,198.24,198.93,656500.0
2019-07-12,200.2,200.39,197.9583,199.8,813200.0
2019-07-11,198.12,199.6,196.78,199.56,1103400.0
2019-07-10,197.44,199.22,196.62,198.13,1676700.0
2019-07-09,196.74,197.25,195.13,195.86,737000.0
2019-07-08,197.0,198.91,195.82,197.55,871700.0
2019-07-05,197.78,197.78,194.195,197.07,850200.0
2019-07-03,198.29,199.805,197.65,199.78,586500.0
2019-07-02,195.96,198.04,195.308,197.97,908000.0
