,open,high,low,close,volume
2019-10-25,94.86,94.9262,92.9,93.32,1264748.0
2019-10-24,93.89,94.42,93.51,94.29,1028900.0
2019-10-23,93.36,94.07,93.05,93.7,1465000.0
2019-10-22,92.68,93.34,92.4,93.28,1183200.0
2019-10-21,91.65,92.74,91.5,92.68,2118000.0
2019-10-18,91.17,91.63,90.73,91.49,1135200.0
2019-10-17,90.85,91.52,90.81,91.3,1096100.0
2019-10-16,90.59,90.93,90.26,90.84,1295000.0
2019-10-15,91.19,91.57,90.63,90.74,1521400.0
2019-10-14,92.34,92.34,91.22,91.25,1017500.0
2019-10-11,92.85,92.98,91.93,92.22,1311700.0
2019-10-10,93.29,93.49,92.54,93.05,1179200.0
2019-10-09,93.14,93.74,92.97,93.36,847500.0
2019-10-08,93.84,93.91,92.86,93.0,1445700.0
2019-10-07,93.85,94.11,93.51,93.86,851400.0
2019-10-04,93.31,94.23,92.83,94.14,1151900.0
2019-10-03,92.79,93.1,92.41,93.02,1439800.0
2019-10-02,93.87,94.25,92.58,92.67,1688400.0
2019-10-01,94.17,94.48,93.62,94.1,1223900.0
2019-09-30,94.71,94.97,94.01,94.47,1396000.0
2019-09-27,94.65,94.83,93.92,94.62,1160800.0
2019-09-26,94.36,94.96,93.99,94.65,1254200.0
2019-09-25,93.65,94.09,93.35,93.99,1220900.0
2019-09-24,92.94,94.14,92.71,93.96,2008100.0
2019-09-23,93.27,93.32,92.49,92.75,1336400.0
2019-09-20,92.18,92.53,91.4,92.4,3570900.0
2019-09-19,91.77,91.98,91.41,91.88,1004500.0
2019-09-18,91.27,91.64,90.69,91.48,1133000.0
2019-09-17,90.04,91.45,90.04,90.93,1241100.0
2019-09-16,89.89,90.21,89.48,89.93,1248800.0
2019-09-13,89.36,90.22,89.15,89.81,1801400.0
2019-09-12,90.47,90.87,89.61,90.19,1695700.0
2019-09-11,89.0,90.08,88.64,89.93,1481400.0
2019-09-10,90.35,90.39,88.58,89.33,2188800.0
2019-09-09,90.69,90.78,90.02,90.39,2276600.0
2019-09-06,91.11,91.58,90.74,91.14,2236000.0
2019-09-05,90.26,91.01,89.73,90.88,2572400.0
2019-09-04,90.8,91.12,90.19,90.85,1273400.0
2019-09-03,88.9,90.69,88.67,90.64,2005300.0
2019-08-30,88.54,89.11,87.91,88.9,1719200.0
2019-08-29,88.18,88.23,87.52,88.15,2714100.0
2019-08-28,88.13,88.53,87.35,87.77,1666800.0
2019-08-27,88.24,88.8,87.98,88.04,1445300.0
2019-08-26,87.27,87.82,86.82,87.77,959700.0
2019-08-23,88.48,88.79,86.51,86.91,1755700.0
2019-08-22,88.18,88.68,87.76,88.24,1476600.0
2019-08-21,87.7,88.34,87.62,88.28,1547000.0
2019-08-20,88.43,88.48,87.53,87.76,1013000.0
2019-08-19,87.21,88.49,86.93,88.14,1085900.0
2019-08-16,86.95,87.46,85.68,87.2,1213100.0
2019-08-15,85.77,87.29,85.68,86.97,1194600.0
2019-08-14,86.8,87.44,85.72,85.97,1598000.0
2019-08-13,86.74,87.007,85.9843,86.75,1318300.0
2019-08-12,87.31,87.68,86.82,87.46,1695700.0
2019-08-09,87.5317,87.88,86.95,87.26,984500.0
2019-08-08,86.86,87.71,86.44,87.53,1508500.0
2019-08-07,86.57,87.56,85.33,87.06,1405500.0
2019-08-06,85.43,86.91,84.45,86.63,1709800.0
2019-08-05,86.28,86.62,84.79,85.48,2530600.0
2019-08-02,87.07,87.39,85.96,86.13,2339400.0
2019-08-01,84.78,86.5,84.59,85.93,1362500.0
2019-07-31,85.36,85.89,84.42,84.96,2917200.0
2019-07-30,86.38,86.82,84.96,85.4,1846100.0
2019-07-29,86.53,86.84,85.98,86.66,1147400.0
2019-07-26,86.02,86.64,85.687,86.34,1098900.0
2019-07-25,86.59,87.05,85.74,86.09,1113000.0
2019-07-24,86.82,87.1,86.01,86.53,1828500.0
2019-07-23,86.58,86.82,86.04,86.51,1444800.0
2019-07-22,87.4842,87.58,86.24,86.82,1484000.0
2019-07-19,88.27,88.53,87.1,87.24,1427800.0
2019-07-18,87.56,88.52,87.05,88.35,1331000.0
2019-07-17,88.12,88.4,87.55,87.59,1375200.0
2019-07-16,88.38,88.63,87.25,87.82,1335100.0
2019-07-15,88.35,88.94,88.03,88.55,1401900.0
2019-07-12,89.27,89.27,88.2462,88.96,1272700.0
2019-07-11,89.11,89.6,88.28,89.24,1006600.0
2019-07-10,89.04,89.42,88.62,89.11,1046400.0
