,open,high,low,close,volume
2019-10-25,136.92,138.75,135.92,137.9,801997.0
2019-10-24,140.0,141.35,131.9,137.69,3019700.0
2019-10-23,139.0,139.95,137.92,139.37,1845700.0
2019-10-22,145.66,145.66,139.21,139.33,1087800.0
2019-10-21,145.35,146.13,144.05,145.51,952200.0
2019-10-18,145.7,146.45,144.5,144.68,1069900.0
2019-10-17,145.81,146.8,144.95,146.7,480100.0
2019-10-16,145.11,145.23,142.96,145.18,376700.0
2019-10-15,143.85,145.44,143.56,144.96,422200.0
2019-10-14,143.71,145.65,142.69,143.33,382900.0
2019-10-11,142.97,144.95,142.71,143.93,697600.0
2019-10-10,139.46,141.67,139.02,141.51,634600.0
2019-10-09,137.4,139.65,136.71,139.52,971600.0
2019-10-08,136.65,137.12,134.24,136.07,1016200.0
2019-10-07,137.8,138.59,137.15,137.76,1036700.0
2019-10-04,137.24,139.17,136.98,138.04,713300.0
2019-10-03,134.46,136.73,132.95,136.5,1102100.0
2019-10-02,136.95,137.15,134.18,134.42,676300.0
2019-10-01,140.66,141.8,137.95,138.27,756000.0
2019-09-30,140.88,141.88,140.4,140.67,723200.0
2019-09-27,143.91,143.91,140.17,141.31,1182600.0
2019-09-26,143.16,143.81,142.58,143.21,528200.0
2019-09-25,141.31,142.99,140.45,142.84,819900.0
2019-09-24,141.38,142.98,140.19,140.85,809000.0
2019-09-23,140.67,141.53,139.93,140.95,717700.0
2019-09-20,141.52,141.78,139.63,141.05,793200.0
2019-09-19,141.86,142.83,141.18,141.34,616900.0
2019-09-18,141.68,142.06,139.21,141.62,566800.0
2019-09-17,140.56,142.12,139.96,141.59,728100.0
2019-09-16,140.64,141.79,139.96,139.98,506900.0
2019-09-13,142.79,143.29,140.92,141.3,763500.0
2019-09-12,142.13,144.17,141.8,141.94,453000.0
2019-09-11,140.18,142.85,139.67,141.14,705500.0
2019-09-10,143.7,143.83,137.54,140.0,1345100.0
2019-09-09,147.64,147.64,144.18,144.5,615500.0
2019-09-06,146.36,147.91,146.36,146.76,630700.0
2019-09-05,147.85,148.59,146.53,146.78,445400.0
2019-09-04,146.64,146.64,145.76,146.42,508000.0
2019-09-03,145.51,147.32,145.38,145.62,854800.0
2019-08-30,147.0,147.47,145.94,146.38,573600.0
2019-08-29,146.28,146.69,145.46,146.06,523500.0
2019-08-28,144.04,145.3,143.19,144.89,420100.0
2019-08-27,144.37,145.19,143.7,144.71,506900.0
2019-08-26,142.68,143.43,141.39,143.42,483200.0
2019-08-23,143.41,143.85,141.25,141.75,949900.0
2019-08-22,144.47,144.84,142.62,143.91,347800.0
2019-08-21,143.57,144.89,142.81,144.22,876400.0
2019-08-20,143.82,143.9,142.41,142.75,1129800.0
2019-08-19,145.0,145.56,143.89,144.0,861600.0
2019-08-16,142.011,143.99,139.25,143.74,440000.0
2019-08-15,140.34,141.59,139.25,141.29,899200.0
2019-08-14,140.58,141.665,139.09,139.94,970300.0
2019-08-13,139.53,143.6,139.53,142.76,702300.0
2019-08-12,141.1,141.47,139.3675,139.86,898000.0
2019-08-09,143.88,143.96,141.295,141.7,1222400.0
2019-08-08,140.6,144.46,140.26,144.01,1107700.0
2019-08-07,135.93,140.399,135.25,140.25,972600.0
2019-08-06,135.3,137.57,134.26,137.41,882200.0
2019-08-05,135.63,136.75,133.53,134.68,1361400.0
2019-08-02,137.86,138.8,136.9873,138.07,723600.0
2019-08-01,139.21,140.32,137.34,138.2,1290200.0
2019-07-31,141.56,141.8,138.1337,139.09,976000.0
2019-07-30,142.12,142.18,140.25,141.4,1034200.0
2019-07-29,142.34,143.03,141.65,142.72,666000.0
2019-07-26,138.33,143.05,137.99,142.34,887900.0
2019-07-25,142.42,144.03,136.91,137.59,1846400.0
2019-07-24,140.15,142.907,139.54,142.25,1540000.0
2019-07-23,138.01,140.8,138.01,140.49,730300.0
2019-07-22,139.09,140.28,137.66,137.84,586900.0
2019-07-19,140.52,140.52,137.26,137.3,531700.0
2019-07-18,137.79,139.26,136.93,139.24,599300.0
2019-07-17,137.09,138.85,137.09,137.99,462900.0
2019-07-16,137.21,137.53,136.81,137.42,388400.0
2019-07-15,137.8938,137.89,136.48,137.21,623200.0
2019-07-12,136.8953,137.77,135.96,137.66,499200.0
2019-07-11,135.48,136.87,135.05,136.67,403400.0
2019-07-10,137.72,137.9511,135.05,135.25,674100.0
2019-07-09,135.97,137.24,135.34,137.19,612200.0
2019-07-08,137.69,137.69,135.78,136.2,863800.0
2019-07-05,138.075,138.42,136.35,138.06,419400.0
2019-07-03,136.91,138.85,136.67,138.61,459400.0
2019-07-02,135.8,136.68,135.02,136.11,884100.0
2019-07-01,136.84,136.99,135.15,135.83,813100.0
2019-06-28,132.64,135.6384,132.64,135.24,1839700.0
2019-06-27,131.61,132.71,130.81,132.43,716500.0
2019-06-26,131.11,131.43,130.41,131.1,709700.0
2019-06-25,132.99,132.99,130.86,130.98,605100.0
2019-06-24,134.39,134.39,133.03,133.16,554400.0
2019-06-21,134.5,135.07,134.0578,134.07,1601500.0
2019-06-20,134.6,136.21,134.29,134.98,854500.0
2019-06-19,132.99,134.2083,132.29,133.87,633700.0
