,open,high,low,close,volume
2019-10-25,187.0,190.3799,186.41,188.63,1306318.0
2019-10-24,187.16,188.86,186.3,187.57,1451200.0
2019-10-23,185.15,188.11,184.94,185.9,1606300.0
2019-10-22,187.57,189.7,184.46,185.1,1587200.0
2019-10-21,185.0,187.49,184.84,185.71,2219700.0
2019-10-18,186.65,186.94,183.84,185.53,3567000.0
2019-10-17,193.81,195.59,187.51,187.7,1914700.0
2019-10-16,192.55,192.77,189.02,192.74,1166200.0
2019-10-15,193.1,194.46,190.99,191.09,1241700.0
2019-10-14,194.2,195.16,191.02,192.83,860900.0
2019-10-11,191.59,195.75,190.64,193.85,1200900.0
2019-10-10,191.0,191.79,188.58,189.69,2292000.0
2019-10-09,190.57,192.67,189.72,191.1,1338600.0
2019-10-08,193.26,193.99,188.67,189.09,1443200.0
2019-10-07,197.9,198.96,195.05,195.22,1117900.0
2019-10-04,194.2,198.46,194.2,198.14,969500.0
2019-10-03,192.21,194.58,191.67,193.7,1352300.0
2019-10-02,195.4,196.0,191.32,192.03,1456000.0
2019-10-01,198.92,201.42,196.37,197.25,1183800.0
2019-09-30,195.56,199.51,195.56,198.95,1321500.0
2019-09-27,197.22,197.45,194.55,196.33,998800.0
2019-09-26,193.98,196.24,193.68,195.34,951200.0
2019-09-25,195.0,195.83,192.69,193.38,1123600.0
2019-09-24,195.4,198.58,194.31,195.0,1656000.0
2019-09-23,192.66,194.69,191.55,193.0,979400.0
2019-09-20,192.77,194.79,191.84,191.91,2212600.0
2019-09-19,191.77,194.32,191.77,192.92,1263600.0
2019-09-18,191.45,192.25,189.82,192.02,1270500.0
2019-09-17,193.4,194.45,191.12,191.34,1596500.0
2019-09-16,193.53,194.41,190.34,192.55,1747700.0
2019-09-13,195.45,197.75,193.58,194.82,1746600.0
2019-09-12,199.9,200.98,197.02,197.22,1439400.0
2019-09-11,198.48,199.99,197.1,197.27,1334200.0
2019-09-10,203.76,204.0,198.0,199.46,2317200.0
2019-09-09,207.0,207.16,204.44,205.4,1823000.0
2019-09-06,205.08,207.5,204.99,207.03,1899900.0
2019-09-05,205.7,206.79,203.55,204.98,2111900.0
2019-09-04,201.47,203.97,199.14,202.72,2422600.0
2019-09-03,196.76,199.61,196.6,199.49,2012200.0
2019-08-30,202.87,203.43,196.34,197.99,2365700.0
2019-08-29,204.49,205.56,201.89,203.61,1608900.0
2019-08-28,199.74,202.57,199.02,202.55,1679900.0
2019-08-27,202.03,202.74,199.68,200.55,1238500.0
2019-08-26,199.14,201.96,197.53,200.16,1674700.0
2019-08-23,201.53,203.21,196.23,197.15,1816100.0
2019-08-22,204.16,205.32,200.09,202.56,1410500.0
2019-08-21,204.27,205.14,201.28,203.72,2360300.0
2019-08-20,199.39,206.0,198.61,202.2,3406500.0
2019-08-19,195.2,202.84,191.31,201.65,5316300.0
2019-08-16,176.58,181.12,174.69,179.22,2451500.0
2019-08-15,176.26,178.04,174.69,175.43,2162000.0
2019-08-14,176.36,177.51,174.65,175.12,2164000.0
2019-08-13,176.6187,183.51,175.3,180.79,1729300.0
2019-08-12,181.0,181.0,175.03,177.72,1801300.0
2019-08-09,186.35,187.355,181.94,183.61,1187200.0
2019-08-08,183.23,187.448,182.74,186.43,1310600.0
2019-08-07,178.21,183.09,176.96,182.59,1852000.0
2019-08-06,175.9961,180.15,175.81,179.56,2354700.0
2019-08-05,179.86,179.873,173.22,174.56,1983800.0
2019-08-02,182.0,184.29,181.13,182.2,1233100.0
2019-08-01,184.49,187.14,182.45,182.76,1740800.0
2019-07-31,188.52,188.74,182.1,184.19,1925700.0
2019-07-30,192.67,194.74,188.43,188.98,1487500.0
2019-07-29,191.261,192.42,190.1,192.06,918500.0
2019-07-26,190.19,190.93,188.37,190.87,686100.0
2019-07-25,188.37,189.84,187.46,189.54,785500.0
2019-07-24,189.01,189.67,188.06,189.45,1196600.0
2019-07-23,189.4,189.83,188.0,189.48,723500.0
2019-07-22,191.25,191.78,188.31,188.64,949800.0
2019-07-19,192.57,192.97,190.32,190.83,1241000.0
2019-07-18,189.56,190.84,188.79,190.24,764800.0
2019-07-17,188.9147,191.14,188.83,189.73,1013200.0
2019-07-16,188.09,189.84,187.2,189.11,1269900.0
2019-07-15,187.4,188.85,186.8,187.29,938700.0
2019-07-12,186.22,188.59,185.82,186.81,875500.0
2019-07-11,184.52,187.05,183.76,186.08,1283100.0
2019-07-10,184.37,185.79,183.61,184.29,922700.0
2019-07-09,184.57,184.69,183.32,183.9,938800.0
2019-07-08,184.88,185.63,184.56,185.25,671000.0
2019-07-05,185.9,185.99,183.2804,185.35,819700.0
2019-07-03,184.21,186.88,183.02,186.03,650000.0
2019-07-02,182.51,185.59,182.45,184.0,1228300.0
2019-07-01,184.88,185.91,180.93,182.23,2152500.0
2019-06-28,182.6,183.4348,182.25,183.11,1235800.0
2019-06-27,183.5,183.99,182.03,182.05,1386200.0
2019-06-26,183.68,184.7,181.753,182.5,933600.0
2019-06-25,183.91,184.48,182.36,183.95,1257800.0
2019-06-24,182.56,184.091,181.85,183.91,1096500.0
2019-06-21,182.94,183.29,180.92,181.31,1900200.0
2019-06-20,181.5,183.61,180.78,182.96,1356300.0
2019-06-19,178.62,180.42,177.29,179.82,1266300.0
2019-06-18,179.95,179.97,178.27,179.14,1541900.0
