,open,high,low,close,volume
2019-10-25,73.19,77.27,71.71,76.28,3080998.0
2019-10-24,75.62,75.97,74.04,75.05,1353100.0
2019-10-23,74.37,74.91,73.54,74.82,870200.0
2019-10-22,73.52,74.53,72.19,74.23,639700.0
2019-10-21,74.1,74.31,73.28,73.62,961200.0
2019-10-18,72.65,73.29,72.59,73.09,786200.0
2019-10-17,73.39,73.71,72.17,72.72,643500.0
2019-10-16,73.63,74.95,72.98,73.05,982800.0
2019-10-15,72.44,73.82,72.14,72.92,720100.0
2019-10-14,71.73,72.56,70.97,72.29,957300.0
2019-10-11,71.26,73.52,71.26,72.61,1068000.0
2019-10-10,69.83,70.56,69.12,69.79,864400.0
2019-10-09,69.46,69.77,68.71,69.35,916700.0
2019-10-08,69.84,69.84,68.64,68.64,1017200.0
2019-10-07,70.89,71.43,70.13,70.41,620100.0
2019-10-04,70.76,71.41,70.23,71.07,787400.0
2019-10-03,69.86,70.84,69.12,70.82,789400.0
2019-10-02,70.62,71.2,69.66,70.1,942300.0
2019-10-01,74.22,74.85,71.52,71.69,780000.0
2019-09-30,73.27,73.94,72.81,73.83,772900.0
2019-09-27,72.85,73.72,72.53,73.29,1092300.0
2019-09-26,72.82,73.15,71.77,72.45,671700.0
2019-09-25,70.73,72.91,70.47,72.67,823600.0
2019-09-24,72.34,72.71,70.74,70.89,1213700.0
2019-09-23,71.25,72.86,70.96,72.41,995300.0
2019-09-20,72.54,73.56,72.09,72.33,1551100.0
2019-09-19,72.21,73.17,71.87,72.37,1016500.0
2019-09-18,72.46,72.84,71.4,72.07,1171600.0
2019-09-17,73.33,73.81,71.55,72.69,1143300.0
2019-09-16,74.91,75.92,74.0,74.29,1490100.0
2019-09-13,74.91,75.99,74.47,75.47,1168100.0
2019-09-12,74.47,74.86,72.66,74.67,1829900.0
2019-09-11,73.62,74.95,71.76,74.64,1448400.0
2019-09-10,71.02,74.59,70.83,74.33,1938400.0
2019-09-09,68.79,70.61,68.65,70.46,1084200.0
2019-09-06,67.65,68.31,66.8,68.05,979700.0
2019-09-05,66.1,68.03,66.1,67.49,1087200.0
2019-09-04,65.74,66.0,64.69,65.08,890200.0
2019-09-03,64.4,64.72,63.65,64.31,830000.0
2019-08-30,65.56,66.43,65.14,65.37,1365300.0
2019-08-29,63.78,65.33,63.55,64.58,926000.0
2019-08-28,61.49,63.23,61.22,62.79,634600.0
2019-08-27,62.79,62.95,61.39,61.55,894500.0
2019-08-26,62.93,63.11,61.91,62.22,719300.0
2019-08-23,64.2,64.42,61.54,61.83,1092200.0
2019-08-22,65.93,66.4,64.8,65.0,697000.0
2019-08-21,66.16,66.16,65.25,65.6,909500.0
2019-08-20,65.95,66.17,64.73,65.23,1214400.0
2019-08-19,66.75,67.6,66.37,66.54,1054200.0
2019-08-16,64.69,65.81,63.43,65.49,967400.0
2019-08-15,64.3971,64.67,63.43,64.25,1687600.0
2019-08-14,65.44,65.45,63.52,63.68,1192700.0
2019-08-13,65.61,68.8208,64.95,67.15,1374800.0
2019-08-12,67.23,67.2262,65.67,65.68,815600.0
2019-08-09,67.79,68.11,67.0,67.4,1066500.0
2019-08-08,68.31,68.99,68.19,68.45,1207600.0
2019-08-07,66.93,67.7,66.0,67.51,1678400.0
2019-08-06,68.75,68.79,66.95,67.68,1219200.0
2019-08-05,69.25,69.25,67.19,67.94,1448600.0
