,open,high,low,close,volume
2019-10-25,70.11,71.1,69.91,70.82,1706482.0
2019-10-24,70.75,70.8,69.44,69.88,1733300.0
2019-10-23,70.25,70.63,69.92,70.56,2228500.0
2019-10-22,69.56,70.43,68.95,70.23,2188300.0
2019-10-21,69.06,69.75,68.94,69.43,2121900.0
2019-10-18,67.97,68.82,67.92,68.65,3637300.0
2019-10-17,67.8,68.47,67.7,68.05,2715500.0
2019-10-16,67.43,68.09,67.28,67.32,2580700.0
2019-10-15,67.21,68.42,66.64,67.73,4775600.0
2019-10-14,66.61,67.38,66.54,67.21,2137300.0
2019-10-11,66.25,68.03,65.97,67.04,3737400.0
2019-10-10,63.78,65.43,63.78,65.05,2786400.0
2019-10-09,63.68,64.12,62.98,63.62,2752000.0
2019-10-08,63.76,64.02,63.1,63.16,2502300.0
2019-10-07,65.03,65.49,64.44,64.45,1997800.0
2019-10-04,64.36,65.2,64.36,65.19,3190200.0
2019-10-03,63.1,64.43,62.8,64.4,3202600.0
2019-10-02,64.28,64.6,62.98,63.5,4156500.0
2019-10-01,67.97,68.27,65.18,65.25,7704200.0
2019-09-30,66.95,67.21,66.62,66.86,4904400.0
2019-09-27,65.08,66.8,64.0,66.4,6472400.0
2019-09-26,64.48,64.48,63.83,64.19,1916600.0
2019-09-25,63.89,64.59,63.75,64.46,2329000.0
2019-09-24,65.0,65.28,63.78,63.99,3633000.0
2019-09-23,64.4,65.26,64.15,64.93,2431500.0
2019-09-20,65.35,65.74,64.51,64.95,4119400.0
2019-09-19,65.1,65.54,64.79,65.17,2067500.0
2019-09-18,64.57,64.92,64.02,64.91,3519900.0
2019-09-17,65.3,65.4,64.35,64.95,2217800.0
2019-09-16,65.53,65.91,65.22,65.66,2279400.0
2019-09-13,65.58,66.21,65.16,65.55,2247700.0
2019-09-12,65.0,65.52,64.41,64.71,2408500.0
2019-09-11,64.96,65.37,64.19,65.2,3047300.0
2019-09-10,63.88,64.81,63.59,64.81,3056800.0
2019-09-09,62.54,63.88,62.41,63.78,3505800.0
2019-09-06,62.05,62.39,61.65,62.25,2653500.0
2019-09-05,60.63,62.13,60.5,61.84,3233400.0
2019-09-04,59.12,59.82,59.12,59.61,3244000.0
2019-09-03,59.0,59.0,58.03,58.4,3123600.0
2019-08-30,59.8,59.97,59.49,59.59,2678000.0
2019-08-29,58.69,59.36,58.47,59.14,2319300.0
2019-08-28,56.95,57.93,56.64,57.83,1730300.0
2019-08-27,57.65,57.72,56.84,57.27,2600300.0
2019-08-26,57.46,57.83,56.74,57.28,3167100.0
2019-08-23,57.65,58.54,56.69,57.0,3765700.0
2019-08-22,58.72,58.96,57.95,58.2,2178200.0
2019-08-21,58.81,58.85,58.3,58.46,2645500.0
2019-08-20,58.39,58.61,57.93,57.98,2531000.0
2019-08-19,59.0,59.04,58.35,58.55,4095200.0
2019-08-16,56.87,58.09,55.98,57.92,3332600.0
2019-08-15,56.77,57.1,55.98,56.41,4393400.0
2019-08-14,58.02,58.51,57.01,57.14,3880600.0
2019-08-13,57.73,60.53,57.65,59.19,3425700.0
2019-08-12,59.21,59.35,58.2,58.29,2396900.0
2019-08-09,60.37,60.46,59.24,59.48,2948400.0
2019-08-08,60.27,60.84,59.77,60.77,3217600.0
2019-08-07,59.65,59.88,58.38,59.58,3930600.0
2019-08-06,59.86,61.26,59.27,60.82,4068500.0
2019-08-05,60.34,60.6,59.04,59.45,5653500.0
2019-08-02,62.5,62.5,61.31,61.66,4570400.0
2019-08-01,64.93,65.3,62.527,62.76,4532400.0
2019-07-31,67.3,67.3,63.93,64.88,6588300.0
2019-07-30,66.2,67.3632,65.8,67.29,2298100.0
2019-07-29,66.12,66.6307,64.83,66.3,3196500.0
2019-07-26,66.9,67.0,66.27,66.66,2052200.0
2019-07-25,66.952,67.19,66.29,66.93,2204800.0
2019-07-24,66.27,67.38,66.09,67.26,1924400.0
2019-07-23,65.8,66.87,65.5061,66.85,2112900.0
2019-07-22,65.41,65.75,64.99,65.4,2216000.0
2019-07-19,64.85,65.61,64.5926,65.29,2929200.0
2019-07-18,64.47,64.64,63.9683,64.23,3047500.0
